event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group
1,1,Aileron_L,0,5,5.75,positive_first
2,1,Aileron_L,0.05,5.75,6.5,positive_first
3,1,Aileron_L,0.1,6.5,7.25,positive_first
4,1,Aileron_L,0.2,7.25,8,positive_first
5,1,Aileron_L,0.4,8,8.75,positive_first
6,1,Aileron_L,0.6,8.75,9.5,positive_first
7,1,Aileron_L,0.8,9.5,10.25,positive_first
8,1,Aileron_L,1,10.25,11,positive_first
9,1,Aileron_L,0,11,11.75,positive_first
10,1,Aileron_L,-0.05,11.75,12.5,positive_first
11,1,Aileron_L,-0.1,12.5,13.25,positive_first
12,1,Aileron_L,-0.2,13.25,14,positive_first
13,1,Aileron_L,-0.4,14,14.75,positive_first
14,1,Aileron_L,-0.6,14.75,15.5,positive_first
15,1,Aileron_L,-0.8,15.5,16.25,positive_first
16,1,Aileron_L,-1,16.25,17,positive_first
17,1,Aileron_L,0,17,17.75,positive_first
18,1,Aileron_L,0,17.75,18.5,negative_first
19,1,Aileron_L,-0.05,18.5,19.25,negative_first
20,1,Aileron_L,-0.1,19.25,20,negative_first
21,1,Aileron_L,-0.2,20,20.75,negative_first
22,1,Aileron_L,-0.4,20.75,21.5,negative_first
23,1,Aileron_L,-0.6,21.5,22.25,negative_first
24,1,Aileron_L,-0.8,22.25,23,negative_first
25,1,Aileron_L,-1,23,23.75,negative_first
26,1,Aileron_L,0,23.75,24.5,negative_first
27,1,Aileron_L,0.05,24.5,25.25,negative_first
28,1,Aileron_L,0.1,25.25,26,negative_first
29,1,Aileron_L,0.2,26,26.75,negative_first
30,1,Aileron_L,0.4,26.75,27.5,negative_first
31,1,Aileron_L,0.6,27.5,28.25,negative_first
32,1,Aileron_L,0.8,28.25,29,negative_first
33,1,Aileron_L,1,29,29.75,negative_first
34,1,Aileron_L,0,29.75,30.5,negative_first
35,2,Aileron_R,0,30.5,31.25,positive_first
36,2,Aileron_R,0.05,31.25,32,positive_first
37,2,Aileron_R,0.1,32,32.75,positive_first
38,2,Aileron_R,0.2,32.75,33.5,positive_first
39,2,Aileron_R,0.4,33.5,34.25,positive_first
40,2,Aileron_R,0.6,34.25,35,positive_first
41,2,Aileron_R,0.8,35,35.75,positive_first
42,2,Aileron_R,1,35.75,36.5,positive_first
43,2,Aileron_R,0,36.5,37.25,positive_first
44,2,Aileron_R,-0.05,37.25,38,positive_first
45,2,Aileron_R,-0.1,38,38.75,positive_first
46,2,Aileron_R,-0.2,38.75,39.5,positive_first
47,2,Aileron_R,-0.4,39.5,40.25,positive_first
48,2,Aileron_R,-0.6,40.25,41,positive_first
49,2,Aileron_R,-0.8,41,41.75,positive_first
50,2,Aileron_R,-1,41.75,42.5,positive_first
51,2,Aileron_R,0,42.5,43.25,positive_first
52,2,Aileron_R,0,43.25,44,negative_first
53,2,Aileron_R,-0.05,44,44.75,negative_first
54,2,Aileron_R,-0.1,44.75,45.5,negative_first
55,2,Aileron_R,-0.2,45.5,46.25,negative_first
56,2,Aileron_R,-0.4,46.25,47,negative_first
57,2,Aileron_R,-0.6,47,47.75,negative_first
58,2,Aileron_R,-0.8,47.75,48.5,negative_first
59,2,Aileron_R,-1,48.5,49.25,negative_first
60,2,Aileron_R,0,49.25,50,negative_first
61,2,Aileron_R,0.05,50,50.75,negative_first
62,2,Aileron_R,0.1,50.75,51.5,negative_first
63,2,Aileron_R,0.2,51.5,52.25,negative_first
64,2,Aileron_R,0.4,52.25,53,negative_first
65,2,Aileron_R,0.6,53,53.75,negative_first
66,2,Aileron_R,0.8,53.75,54.5,negative_first
67,2,Aileron_R,1,54.5,55.25,negative_first
68,2,Aileron_R,0,55.25,56,negative_first
69,3,Rudder,0,56,56.75,positive_first
70,3,Rudder,0.05,56.75,57.5,positive_first
71,3,Rudder,0.1,57.5,58.25,positive_first
72,3,Rudder,0.2,58.25,59,positive_first
73,3,Rudder,0.4,59,59.75,positive_first
74,3,Rudder,0.6,59.75,60.5,positive_first
75,3,Rudder,0.8,60.5,61.25,positive_first
76,3,Rudder,1,61.25,62,positive_first
77,3,Rudder,0,62,62.75,positive_first
78,3,Rudder,-0.05,62.75,63.5,positive_first
79,3,Rudder,-0.1,63.5,64.25,positive_first
80,3,Rudder,-0.2,64.25,65,positive_first
81,3,Rudder,-0.4,65,65.75,positive_first
82,3,Rudder,-0.6,65.75,66.5,positive_first
83,3,Rudder,-0.8,66.5,67.25,positive_first
84,3,Rudder,-1,67.25,68,positive_first
85,3,Rudder,0,68,68.75,positive_first
86,3,Rudder,0,68.75,69.5,negative_first
87,3,Rudder,-0.05,69.5,70.25,negative_first
88,3,Rudder,-0.1,70.25,71,negative_first
89,3,Rudder,-0.2,71,71.75,negative_first
90,3,Rudder,-0.4,71.75,72.5,negative_first
91,3,Rudder,-0.6,72.5,73.25,negative_first
92,3,Rudder,-0.8,73.25,74,negative_first
93,3,Rudder,-1,74,74.75,negative_first
94,3,Rudder,0,74.75,75.5,negative_first
95,3,Rudder,0.05,75.5,76.25,negative_first
96,3,Rudder,0.1,76.25,77,negative_first
97,3,Rudder,0.2,77,77.75,negative_first
98,3,Rudder,0.4,77.75,78.5,negative_first
99,3,Rudder,0.6,78.5,79.25,negative_first
100,3,Rudder,0.8,79.25,80,negative_first
101,3,Rudder,1,80,80.75,negative_first
102,3,Rudder,0,80.75,81.5,negative_first
103,4,Elevator,0,81.5,82.25,positive_first
104,4,Elevator,0.05,82.25,83,positive_first
105,4,Elevator,0.1,83,83.75,positive_first
106,4,Elevator,0.2,83.75,84.5,positive_first
107,4,Elevator,0.4,84.5,85.25,positive_first
108,4,Elevator,0.6,85.25,86,positive_first
109,4,Elevator,0.8,86,86.75,positive_first
110,4,Elevator,1,86.75,87.5,positive_first
111,4,Elevator,0,87.5,88.25,positive_first
112,4,Elevator,-0.05,88.25,89,positive_first
113,4,Elevator,-0.1,89,89.75,positive_first
114,4,Elevator,-0.2,89.75,90.5,positive_first
115,4,Elevator,-0.4,90.5,91.25,positive_first
116,4,Elevator,-0.6,91.25,92,positive_first
117,4,Elevator,-0.8,92,92.75,positive_first
118,4,Elevator,-1,92.75,93.5,positive_first
119,4,Elevator,0,93.5,94.25,positive_first
120,4,Elevator,0,94.25,95,negative_first
121,4,Elevator,-0.05,95,95.75,negative_first
122,4,Elevator,-0.1,95.75,96.5,negative_first
123,4,Elevator,-0.2,96.5,97.25,negative_first
124,4,Elevator,-0.4,97.25,98,negative_first
125,4,Elevator,-0.6,98,98.75,negative_first
126,4,Elevator,-0.8,98.75,99.5,negative_first
127,4,Elevator,-1,99.5,100.25,negative_first
128,4,Elevator,0,100.25,101,negative_first
129,4,Elevator,0.05,101,101.75,negative_first
130,4,Elevator,0.1,101.75,102.5,negative_first
131,4,Elevator,0.2,102.5,103.25,negative_first
132,4,Elevator,0.4,103.25,104,negative_first
133,4,Elevator,0.6,104,104.75,negative_first
134,4,Elevator,0.8,104.75,105.5,negative_first
135,4,Elevator,1,105.5,106.25,negative_first
136,4,Elevator,0,106.25,107,negative_first
