t_read_host_s,line_text
7.1746357,"COMMIT_EVENT,33,2,19589505,19602260,828,1500,1550,1500,1500,1500,1500,1500,1500"
7.1746357,"RX_EVENT,34,2,19607547,32768,36044,32768,32768"
7.1889001,"COMMIT_EVENT,34,2,19607547,19622260,829,1500,1550,1500,1500,1500,1500,1500,1500"
7.1889001,"RX_EVENT,35,2,19623830,32768,36044,32768,32768"
7.2152024,"COMMIT_EVENT,35,2,19623830,19642260,830,1500,1550,1500,1500,1500,1500,1500,1500"
7.2152024,"RX_EVENT,36,2,19650027,32768,36044,32768,32768"
7.2309491,"COMMIT_EVENT,36,2,19650027,19662260,831,1500,1550,1500,1500,1500,1500,1500,1500"
7.2309491,"RX_EVENT,37,2,19664028,32768,36044,32768,32768"
7.2450106,"COMMIT_EVENT,37,2,19664028,19682260,832,1500,1550,1500,1500,1500,1500,1500,1500"
7.261896,"RX_EVENT,38,2,19694172,32768,36044,32768,32768"
7.2756813,"COMMIT_EVENT,38,2,19694172,19702260,833,1500,1550,1500,1500,1500,1500,1500,1500"
7.2756813,"RX_EVENT,39,2,19710728,32768,39321,32768,32768"
7.290214,"COMMIT_EVENT,39,2,19710728,19722260,834,1500,1600,1500,1500,1500,1500,1500,1500"
7.290214,"RX_EVENT,40,2,19724752,32768,39321,32768,32768"
7.3151755,"COMMIT_EVENT,40,2,19724752,19742260,835,1500,1600,1500,1500,1500,1500,1500,1500"
7.3282129,"RX_EVENT,41,2,19749713,32768,39321,32768,32768"
7.3282129,"COMMIT_EVENT,41,2,19749713,19762260,836,1500,1600,1500,1500,1500,1500,1500,1500"
7.3282129,"RX_EVENT,42,2,19763927,32768,39321,32768,32768"
7.35656,"COMMIT_EVENT,42,2,19763927,19782260,837,1500,1600,1500,1500,1500,1500,1500,1500"
7.35656,"RX_EVENT,43,2,19791551,32768,39321,32768,32768"
7.370898,"COMMIT_EVENT,43,2,19791551,19802260,838,1500,1600,1500,1500,1500,1500,1500,1500"
7.370898,"RX_EVENT,44,2,19805478,32768,39321,32768,32768"
7.3839526,"COMMIT_EVENT,44,2,19805478,19822260,839,1500,1600,1500,1500,1500,1500,1500,1500"
7.3977351,"RX_EVENT,45,2,19832809,32768,39321,32768,32768"
7.423136,"COMMIT_EVENT,45,2,19832809,19842260,840,1500,1600,1500,1500,1500,1500,1500,1500"
7.423136,"RX_EVENT,46,2,19846592,32768,39321,32768,32768"
7.4370414,"COMMIT_EVENT,46,2,19846592,19862260,841,1500,1600,1500,1500,1500,1500,1500,1500"
7.4370414,"RX_EVENT,47,2,19871913,32768,39321,32768,32768"
7.4500317,"COMMIT_EVENT,47,2,19871913,19882260,842,1500,1600,1500,1500,1500,1500,1500,1500"
7.4500317,"RX_EVENT,48,2,19885799,32768,39321,32768,32768"
7.462448,"COMMIT_EVENT,48,2,19885799,19902260,843,1500,1600,1500,1500,1500,1500,1500,1500"
7.476209,"RX_EVENT,49,2,19911455,32768,39321,32768,32768"
7.4923229,"COMMIT_EVENT,49,2,19911455,19922260,844,1500,1600,1500,1500,1500,1500,1500,1500"
7.4923229,"RX_EVENT,50,2,19925103,32768,39321,32768,32768"
7.5166471,"COMMIT_EVENT,50,2,19925103,19942261,845,1500,1600,1500,1500,1500,1500,1500,1500"
7.5303207,"RX_EVENT,51,2,19951750,32768,39321,32768,32768"
7.5303207,"COMMIT_EVENT,51,2,19951750,19962261,846,1500,1600,1500,1500,1500,1500,1500,1500"
7.5303207,"RX_EVENT,52,2,19965437,32768,39321,32768,32768"
7.5568497,"COMMIT_EVENT,52,2,19965437,19982260,847,1500,1600,1500,1500,1500,1500,1500,1500"
7.5568497,"RX_EVENT,53,2,19991334,32768,39321,32768,32768"
7.5709158,"COMMIT_EVENT,53,2,19991334,20002260,848,1500,1600,1500,1500,1500,1500,1500,1500"
7.5709158,"RX_EVENT,54,2,20005666,32768,39321,32768,32768"
7.5849024,"COMMIT_EVENT,54,2,20005666,20022260,849,1500,1600,1500,1500,1500,1500,1500,1500"
7.598958,"RX_EVENT,55,2,20033749,32768,39321,32768,32768"
7.6132958,"COMMIT_EVENT,55,2,20033749,20042260,850,1500,1600,1500,1500,1500,1500,1500,1500"
7.6132958,"RX_EVENT,56,2,20047763,32768,39321,32768,32768"
7.6368643,"COMMIT_EVENT,56,2,20047763,20062260,851,1500,1600,1500,1500,1500,1500,1500,1500"
7.6368643,"RX_EVENT,57,2,20072393,32768,39321,32768,32768"
7.6516758,"COMMIT_EVENT,57,2,20072393,20082260,852,1500,1600,1500,1500,1500,1500,1500,1500"
