row_index,kept,filter_reason,session_label,case_id,throw_id,alignment_window_s,alignment_elapsed_s,phi0_deg,psi0_deg,u0_m_s,v0_m_s,w0_m_s,speed0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,launch_lateral_score,launch_confidence_weight
0,False,aligned_w_outside_launch_gate,20260604_185934,C0_neutral,v001,0.1,0.1049555,11.92885458,1.177961461,4.543059555,0.3501702742,1.008779882,4.66686685,0.8850947776,0.6644454536,-0.2129036861,0.440845373,0.7471293389
1,True,kept,20260604_185934,C0_neutral,v002,0.1,0.1017122,9.106270498,3.165689817,5.393306976,0.2077081235,0.6692751748,5.438642483,0.770448234,0.4730944814,0.1967483098,0.367614476,0.8165145029
2,True,kept,20260604_185934,C0_neutral,v003,0.1,0.1022381,11.43749215,2.18045775,4.984180242,0.2389354419,0.8595942556,5.063402523,0.3826443851,0.45672402,-0.3368165108,0.3165413834,0.8604518067
3,True,kept,20260604_185934,C0_neutral,v004,0.1,0.1115102,13.49361596,-1.414784317,4.748928641,0.7221450788,0.7594198629,4.863181601,0.2260635069,0.420556655,-0.2971842651,0.3885154527,0.7973860126
4,True,kept,20260604_185934,C0_neutral,v005,0.1,0.1022643,12.57882926,0.4026755268,5.323614437,0.5023281757,0.8535000711,5.414948443,0.4425860529,0.7011548706,-0.5628248258,0.3852063139,0.8004542849
5,False,aligned_v_outside_launch_gate,20260604_185934,C0_neutral,v006,0.1,0.1268128,13.29922072,-8.537550867,5.623978617,1.917732218,0.5411629165,5.966547549,0.5698531312,0.5496923114,-0.7536135144,0.7293457839,0.4502654826
6,True,kept,20260604_185934,C0_neutral,v007,0.1,0.1049613,17.9131501,1.668979094,5.195145241,0.7026505528,0.6590089159,5.283705577,0.6260639921,0.4958612866,-0.4170625811,0.5204754621,0.6660822884
7,False,aligned_u_outside_launch_gate,20260604_185934,C0_neutral,v008,0.1,0.1400685,8.084950306,-5.764180432,0.9721909615,0.2445794314,0.1511750445,1.013818651,0.111272998,0.1422934544,-0.09681879415,0.2385616571,0.9181747965
8,False,aligned_u_outside_launch_gate,20260604_185934,C0_neutral,v009,0.1,0.1361248,13.2868807,-10.23872369,3.677703651,1.045884071,0.4535392762,3.850334467,0.2710363971,0.3863579992,-0.2184873,0.5010679781,0.6861879713
9,False,aligned_w_outside_launch_gate,20260604_185934,C0_neutral,v010,0.1,0.1036912,6.101200767,-7.207744106,5.149037042,1.238403229,1.018297939,5.392880094,0.02937204106,0.8467017677,-0.1347035395,0.4267924343,0.7609195271
