iteration,pass_index,group,candidate_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg,group_scales_json
0,0,initial_grouped_candidate,,True,71.97526174,0.8731944552,1.300542284,1.441822975,1.143775266,21.89345049,15.45816845,15.75640276,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 1.0, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
1,1,post_stall_longitudinal,-0.25,False,72.73109571,0.8863745842,1.294127744,1.459663121,1.161389861,22.50702582,13.95545367,15.80518547,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": -0.25, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
1,1,post_stall_longitudinal,0,False,72.70941309,0.8843699762,1.295702733,1.458933837,1.160634954,22.51133931,14.08722147,15.82138455,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
1,1,post_stall_longitudinal,0.25,False,72.65757468,0.8821471244,1.297436414,1.45745338,1.159144874,22.49001217,14.29072558,15.81506428,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.25, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
1,1,post_stall_longitudinal,0.5,False,72.54014939,0.8794071057,1.298830298,1.454528113,1.156253997,22.41809056,14.56486795,15.79901434,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
1,1,post_stall_longitudinal,0.75,False,72.3145682,0.8771764278,1.299093241,1.44930737,1.151151351,22.30080206,14.82573894,15.80774346,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.75, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
1,1,post_stall_longitudinal,1,False,71.97526174,0.8731944552,1.300542284,1.441822975,1.143775266,21.89345049,15.45816845,15.75640276,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 1.0, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
1,1,post_stall_longitudinal,1.25,True,71.24247603,0.872488389,1.298457175,1.427829883,1.129980951,21.17325293,15.75571303,16.04905572,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 1.25, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
2,1,transition_blender,0,False,71.9052026,0.881107494,1.298853352,1.44104209,1.142933299,21.79711827,15.11971573,15.87173822,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 1.25, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,1,transition_blender,1,True,71.24247603,0.872488389,1.298457175,1.427829883,1.129980951,21.17325293,15.75571303,16.04905572,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 1.25, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
