outer_case_index,outer_case_id,outer_case_type,environment_block_id,environment_block_local_index,environment_block_label,environment_change_family,W_layer,environment_mode,fan_layout_policy,scheduled_fan_layout_count,scheduled_active_fan_count,active_fan_count_policy,fan_position_policy,fan_position_xy_bounds_m,launch_state_seed,environment_seed,common_final_launch_key,start_state_family,launch_sequence_policy,claim_status,episode_id,launch_role,history_launch_index,library_size_case_id,policy_id,history_length
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h5_hist_0002_000,history,0,heavy_cluster,directional_3d_residual_memory_h5,5
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h5_hist_0002_001,history,1,heavy_cluster,directional_3d_residual_memory_h5,5
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h5_hist_0002_002,history,2,heavy_cluster,directional_3d_residual_memory_h5,5
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h5_hist_0002_003,history,3,heavy_cluster,directional_3d_residual_memory_h5,5
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h5_hist_0002_004,history,4,heavy_cluster,directional_3d_residual_memory_h5,5
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_000,history,0,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_001,history,1,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_002,history,2,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_003,history,3,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_004,history,4,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_005,history,5,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_006,history,6,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_007,history,7,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_008,history,8,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0000_009,history,9,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_000,history,0,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_001,history,1,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_002,history,2,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_003,history,3,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_004,history,4,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_005,history,5,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_006,history,6,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_007,history,7,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_008,history,8,heavy_cluster,directional_3d_residual_memory_h10,10
1,r9_fixed_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000048,18000058,r9_fixed_final_0001,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0001_009,history,9,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_000,history,0,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_001,history,1,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_002,history,2,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_003,history,3,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_004,history,4,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_005,history,5,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_006,history,6,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_007,history,7,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_008,history,8,heavy_cluster,directional_3d_residual_memory_h10,10
2,r9_fixed_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000085,18000099,r9_fixed_final_0002,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h10_hist_0002_009,history,9,heavy_cluster,directional_3d_residual_memory_h10,10
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_000,history,0,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_001,history,1,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_002,history,2,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_003,history,3,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_004,history,4,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_005,history,5,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_006,history,6,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_007,history,7,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_008,history,8,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_009,history,9,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_010,history,10,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_011,history,11,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_012,history,12,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_013,history,13,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_014,history,14,heavy_cluster,directional_3d_residual_memory_h20,20
0,r9_fixed_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,9000011,18000017,r9_fixed_final_0000,launch_gate,first_0p10s_launch_capture_then_inflight_then_recovery_safe_exit,simulation_only_controlled_outer_case,r9_heavy_cluster_directional_3d_residual_memory_h20_hist_0000_015,history,15,heavy_cluster,directional_3d_residual_memory_h20,20
