outer_case_index,outer_case_id,outer_case_type,environment_block_id,environment_block_local_index,environment_block_label,environment_change_family,W_layer,environment_mode,fan_layout_policy,scheduled_fan_layout_count,scheduled_active_fan_count,active_fan_count_policy,fan_position_policy,fan_position_xy_bounds_m,launch_state_seed,environment_seed,common_final_launch_key,start_state_family,launch_sequence_policy,claim_status,episode_id,episode_index,launch_role,library_size_case_id,policy_id,history_length
0,r9_level_diag_outer_0000,no_updraft,no_updraft,0,no-updraft,fixed_case,W0,dry_air,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,12300011,24600017,r9_level_diag_final_0000,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_level_diagnostic_no_cluster_no_merge_no_memory_baseline_final_0000,0,final_heldout,no_cluster_no_merge,no_memory_baseline,0
1,r9_level_diag_outer_0001,single_fan,single_fan,0,single-fan,fixed_case,W2,annular_gp_single,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,12300048,24600058,r9_level_diag_final_0001,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_level_diagnostic_no_cluster_no_merge_no_memory_baseline_final_0001,1,final_heldout,no_cluster_no_merge,no_memory_baseline,0
2,r9_level_diag_outer_0002,four_fan,four_fan,0,four-fan,fixed_case,W2,annular_gp_four,fixed_case_layout,,,environment_default,common_shift,common_shift_range=-0.200:0.200,12300085,24600099,r9_level_diag_final_0002,launch_gate,state_class_transition_entry_governor_no_launch_specific_family,simulation_only_controlled_outer_case,r9_level_diagnostic_no_cluster_no_merge_no_memory_baseline_final_0002,2,final_heldout,no_cluster_no_merge,no_memory_baseline,0
