r_m,w_mps,n,alpha,sigma_mps
0.0,1.324,1,0.1889822365046136,0.21530067568955966
0.3,1.90925,4,0.3779644730092272,0.21530067568955966
0.6,1.88825,4,0.3779644730092272,0.18346376312763343
0.8999999999999999,0.7986666666666667,12,0.6546536707079771,0.2925681524184131
1.2,0.1956875,16,0.7559289460184544,0.09470138531696563
1.5,0.04385,20,0.8451542547285166,0.09470138531696563
1.7999999999999998,0.009083333333333334,12,0.6546536707079771,0.09470138531696563
2.1,0.00275,28,1.0,0.09470138531696563
2.4,0.01390909090909091,22,0.8864052604279183,0.09470138531696563
2.6999999999999997,0.0169375,16,0.7559289460184544,0.09470138531696563
3.0,0.0,18,0.8017837257372732,0.09470138531696563
3.3,0.0,8,0.5345224838248488,0.09470138531696563
3.5999999999999996,0.0,4,0.3779644730092272,0.09470138531696563
3.9,0.0,4,0.3779644730092272,0.09470138531696563
4.2,0.0,10,0.5976143046671968,0.09470138531696563
4.5,0.0,8,0.5345224838248488,0.09470138531696563
4.8,0.0,8,0.5345224838248488,0.09470138531696563
