r_m,w_mps,n,alpha,sigma_mps
0.0,1.26,1,0.1889822365046136,0.40774014834380606
0.3,2.2875,4,0.3779644730092272,0.40774014834380606
0.6,3.8087500000000003,4,0.3779644730092272,0.12925272402029633
0.8999999999999999,0.39975,12,0.6546536707079771,0.11975224423784309
1.2,0.18593749999999998,16,0.7559289460184544,0.14891736283046686
1.5,0.0383,20,0.8451542547285166,0.14891736283046686
1.7999999999999998,0.0,12,0.6546536707079771,0.14891736283046686
2.1,0.0,28,1.0,0.14891736283046686
2.4,0.0,22,0.8864052604279183,0.14891736283046686
2.6999999999999997,0.0,16,0.7559289460184544,0.14891736283046686
3.0,0.0,18,0.8017837257372732,0.14891736283046686
3.3,0.0,8,0.5345224838248488,0.14891736283046686
3.5999999999999996,0.0,4,0.3779644730092272,0.14891736283046686
3.9,0.0,4,0.3779644730092272,0.14891736283046686
4.2,0.0,10,0.5976143046671968,0.14891736283046686
4.5,0.0,8,0.5345224838248488,0.14891736283046686
4.8,0.0,8,0.5345224838248488,0.14891736283046686
