environment_mode,active_fan_count,row_count
dry_air,0,31740
w3_randomised_four,0,12696
w3_randomised_four,1,12696
w3_randomised_four,2,12696
w3_randomised_four,3,12696
w3_randomised_four,4,107916
w3_randomised_single,1,63480
