primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,transition_chain_compatible_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_transition_object_020443175504,energy_retaining_bank,dry_air,20,11,11,0,0,0.0042965023720533,-0.017297521564417346,0.0
primvar_energy_retaining_bank_transition_object_020443175504,energy_retaining_bank,w3_randomised_four,100,55,55,0,0,0.0042965023720533,-0.013641843446172754,0.0148
primvar_energy_retaining_bank_transition_object_020443175504,energy_retaining_bank,w3_randomised_single,40,22,22,0,0,0.0042965023720533,-0.017246708202759232,0.0
primvar_energy_retaining_bank_transition_object_02ac1851556a,energy_retaining_bank,dry_air,20,11,11,11,0,-0.0720480919510047,-0.034986410880598506,0.0
primvar_energy_retaining_bank_transition_object_02ac1851556a,energy_retaining_bank,w3_randomised_four,100,55,55,55,0,-0.0723214671614584,-0.028475387485613197,0.0432
primvar_energy_retaining_bank_transition_object_02ac1851556a,energy_retaining_bank,w3_randomised_single,40,22,22,22,0,-0.072030659745689,-0.034581602197782405,0.008
primvar_energy_retaining_bank_transition_object_034a2bc32892,energy_retaining_bank,dry_air,20,20,20,0,0,0.2005441866852875,-0.02322622030736144,0.0
primvar_energy_retaining_bank_transition_object_034a2bc32892,energy_retaining_bank,w3_randomised_four,100,97,97,0,0,0.2007936120361257,0.001222197452726887,0.0754
primvar_energy_retaining_bank_transition_object_034a2bc32892,energy_retaining_bank,w3_randomised_single,40,34,34,0,0,0.1999220658907496,-0.0023970493703796697,0.0665
primvar_energy_retaining_bank_transition_object_03ae79e72bbb,energy_retaining_bank,dry_air,20,11,11,0,0,0.0042965023720533,-0.01725021881575256,0.0
primvar_energy_retaining_bank_transition_object_03ae79e72bbb,energy_retaining_bank,w3_randomised_four,100,55,55,0,0,0.0042965023720533,-0.01555980628459035,0.011000000000000001
primvar_energy_retaining_bank_transition_object_03ae79e72bbb,energy_retaining_bank,w3_randomised_single,40,22,22,0,0,0.0042965023720533,-0.01725343535328539,0.0
primvar_energy_retaining_bank_transition_object_04f947aabe12,energy_retaining_bank,dry_air,20,11,11,11,0,-0.0720722913276672,-0.03484465280294395,0.0
primvar_energy_retaining_bank_transition_object_04f947aabe12,energy_retaining_bank,w3_randomised_four,100,55,55,55,0,-0.0722743681833995,-0.029394359611842266,0.043
primvar_energy_retaining_bank_transition_object_04f947aabe12,energy_retaining_bank,w3_randomised_single,40,22,22,22,0,-0.072139832821839,-0.03467039918255428,0.0085
primvar_energy_retaining_bank_transition_object_059d007a76bf,energy_retaining_bank,dry_air,40,31,31,0,0,0.0042965023720533,-0.020253257965961613,0.0
primvar_energy_retaining_bank_transition_object_059d007a76bf,energy_retaining_bank,w3_randomised_four,200,153,153,0,0,0.0042965023720533,-0.006311776781413068,0.045700000000000005
primvar_energy_retaining_bank_transition_object_059d007a76bf,energy_retaining_bank,w3_randomised_single,80,56,56,0,0,0.0042965023720533,-0.009256742565570176,0.03175
primvar_energy_retaining_bank_transition_object_064a9d6571e8,energy_retaining_bank,dry_air,20,11,11,0,0,0.0042965023720533,-0.017261092479772838,0.0
primvar_energy_retaining_bank_transition_object_064a9d6571e8,energy_retaining_bank,w3_randomised_four,100,55,55,0,0,0.0042965023720533,-0.015551922601840875,0.011200000000000002
primvar_energy_retaining_bank_transition_object_064a9d6571e8,energy_retaining_bank,w3_randomised_single,40,22,22,0,0,0.0042965023720533,-0.01727564545650311,0.0
primvar_energy_retaining_bank_transition_object_071c70f03479,energy_retaining_bank,dry_air,20,11,11,11,0,-0.0721480061236459,-0.03495137692659056,0.0
primvar_energy_retaining_bank_transition_object_071c70f03479,energy_retaining_bank,w3_randomised_four,100,55,55,55,0,-0.0723375467824603,-0.029636357124967386,0.0432
primvar_energy_retaining_bank_transition_object_071c70f03479,energy_retaining_bank,w3_randomised_single,40,22,22,22,0,-0.0720970315559679,-0.03471498829631436,0.0075000000000000015
primvar_energy_retaining_bank_transition_object_0ab2bd05d6db,energy_retaining_bank,dry_air,20,11,11,11,0,-0.0719736565039772,-0.03490248047946841,0.0
primvar_energy_retaining_bank_transition_object_0ab2bd05d6db,energy_retaining_bank,w3_randomised_four,100,55,55,55,0,-0.0722998310985074,-0.029273114659189945,0.0462
primvar_energy_retaining_bank_transition_object_0ab2bd05d6db,energy_retaining_bank,w3_randomised_single,40,22,22,22,0,-0.0721089271332715,-0.03472208316095552,0.006500000000000001
primvar_energy_retaining_bank_transition_object_0b159ad1c646,energy_retaining_bank,dry_air,20,20,20,0,0,0.2005451577759016,-0.023489423018779224,0.0
primvar_energy_retaining_bank_transition_object_0b159ad1c646,energy_retaining_bank,w3_randomised_four,100,98,98,0,0,0.2001829349900186,0.0018914241118873376,0.075
primvar_energy_retaining_bank_transition_object_0b159ad1c646,energy_retaining_bank,w3_randomised_single,40,34,34,0,0,0.2003216790337063,-0.002542754925910738,0.0625
primvar_energy_retaining_bank_transition_object_0db062b7f8da,energy_retaining_bank,dry_air,20,11,11,11,0,-0.0720734498642645,-0.03494251780249667,0.0
primvar_energy_retaining_bank_transition_object_0db062b7f8da,energy_retaining_bank,w3_randomised_four,100,55,55,55,0,-0.0722859678474803,-0.0303928646496059,0.044199999999999996
primvar_energy_retaining_bank_transition_object_0db062b7f8da,energy_retaining_bank,w3_randomised_single,40,22,22,22,0,-0.0720994310072278,-0.03462980341736751,0.007000000000000001
primvar_energy_retaining_bank_transition_object_0f7e4e5b8a41,energy_retaining_bank,dry_air,20,11,11,0,0,0.0042965023720533,-0.017324097736297294,0.0
primvar_energy_retaining_bank_transition_object_0f7e4e5b8a41,energy_retaining_bank,w3_randomised_four,100,55,55,0,0,0.0042965023720533,-0.013922160472297298,0.0174
primvar_energy_retaining_bank_transition_object_0f7e4e5b8a41,energy_retaining_bank,w3_randomised_single,40,22,22,0,0,0.0042965023720533,-0.01725322237694307,0.0
primvar_energy_retaining_bank_transition_object_122ce61fea7c,energy_retaining_bank,dry_air,40,31,31,0,0,0.0042965023720533,-0.02022541251485254,0.0
primvar_energy_retaining_bank_transition_object_122ce61fea7c,energy_retaining_bank,w3_randomised_four,200,152,152,0,0,0.0042965023720533,-0.0059109466802928536,0.046400000000000004
primvar_energy_retaining_bank_transition_object_122ce61fea7c,energy_retaining_bank,w3_randomised_single,80,56,56,0,0,0.0042965023720533,-0.00859367857611183,0.035500000000000004
primvar_energy_retaining_bank_transition_object_13f78cbed0c3,energy_retaining_bank,dry_air,40,31,31,11,0,-0.0721043269683576,-0.02916986143886018,0.0
primvar_energy_retaining_bank_transition_object_13f78cbed0c3,energy_retaining_bank,w3_randomised_four,200,154,154,55,0,-0.0722598911809306,-0.013331955065997847,0.0604
primvar_energy_retaining_bank_transition_object_13f78cbed0c3,energy_retaining_bank,w3_randomised_single,80,56,56,22,0,-0.0720775952232495,-0.018077014374457114,0.0365
