scenario_id,coverage_gap_type,gap_reason,blocked_by_target_steering_unavailable,blocked_by_clearance,blocked_by_lift_confidence,blocked_by_wind_fidelity,blocked_by_recovery,recommended_next_action,higher_target_request_status
U1_lift_sector_governed_transit,short_mission_supported_without_target_steering,accepted_baseline_or_updraft_support_primitive,False,False,False,False,False,proceed_to_ablation,not_requested_current_library_sufficient_for_test
U4_lift_sector_governed_transit,short_mission_supported_without_target_steering,accepted_baseline_or_updraft_support_primitive,False,False,False,False,False,proceed_to_ablation,not_requested_current_library_sufficient_for_test
clearance_limited_no_go,clearance_limited,all_candidate_queries_rejected_for_clearance,False,True,False,False,False,entry_envelope_or_start_state_restriction,not_requested_clearance_limited
low_lift_confidence_rejection,lift_belief_limited,all_candidate_queries_rejected_for_lift_belief,False,False,True,False,False,improve_lift_belief_or_recovery_policy,not_requested_lift_belief_limited
