launch_role,episode_interpretation_label,row_count
final_heldout,claim_bearing_hard_failure,137
final_heldout,claim_bearing_rollout,593
final_heldout,expected_low_energy_dry_air_sink_not_governor_failure,187
final_heldout,no_viable_primitive,83
history,claim_bearing_hard_failure,2064
history,claim_bearing_rollout,5700
history,expected_low_energy_dry_air_sink_not_governor_failure,1872
history,no_viable_primitive,1114
