library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,no_memory_baseline,final_heldout,,479
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,,488
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,,488
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,,487
heavy_cluster,no_memory_baseline,final_heldout,,296
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,,296
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,,296
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,,296
light_cluster,no_memory_baseline,final_heldout,,528
light_cluster,spatial_flow_belief_memory_h10,final_heldout,,544
light_cluster,spatial_flow_belief_memory_h3,final_heldout,,544
light_cluster,spatial_flow_belief_memory_h30,final_heldout,,545
no_cluster_no_merge,no_memory_baseline,final_heldout,,737
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,,735
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,,739
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,,730
super_light_cluster,no_memory_baseline,final_heldout,,520
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,,556
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,,556
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,,557
