library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,no_memory_baseline,final_heldout,479,479
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,488,488
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,488,488
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,487,487
heavy_cluster,no_memory_baseline,final_heldout,296,296
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,296,296
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,296,296
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,296,296
light_cluster,no_memory_baseline,final_heldout,528,528
light_cluster,spatial_flow_belief_memory_h10,final_heldout,544,544
light_cluster,spatial_flow_belief_memory_h3,final_heldout,544,544
light_cluster,spatial_flow_belief_memory_h30,final_heldout,545,545
no_cluster_no_merge,no_memory_baseline,final_heldout,737,737
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,735,735
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,739,739
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,730,730
super_light_cluster,no_memory_baseline,final_heldout,520,520
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,556,556
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,556,556
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,557,557
