library_size_case_id,primitive_id,transition_entry_class,start_state_family,candidate_rows,viable_rows
balanced_cluster,energy_retaining_bank,launch_gate,launch_gate,286,286
balanced_cluster,glide,launch_gate,launch_gate,275,275
balanced_cluster,lift_dwell_arc,launch_gate,launch_gate,213,213
balanced_cluster,lift_entry,launch_gate,launch_gate,251,251
balanced_cluster,mild_turn_left,launch_gate,launch_gate,259,259
balanced_cluster,mild_turn_right,launch_gate,launch_gate,230,230
balanced_cluster,recovery,launch_gate,launch_gate,218,218
balanced_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,210,210
heavy_cluster,energy_retaining_bank,launch_gate,launch_gate,180,180
heavy_cluster,glide,launch_gate,launch_gate,164,164
heavy_cluster,lift_dwell_arc,launch_gate,launch_gate,132,132
heavy_cluster,lift_entry,launch_gate,launch_gate,180,180
heavy_cluster,mild_turn_left,launch_gate,launch_gate,116,116
heavy_cluster,mild_turn_right,launch_gate,launch_gate,132,132
heavy_cluster,recovery,launch_gate,launch_gate,116,116
heavy_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,164,164
light_cluster,energy_retaining_bank,launch_gate,launch_gate,305,305
light_cluster,glide,launch_gate,launch_gate,244,244
light_cluster,lift_dwell_arc,launch_gate,launch_gate,292,292
light_cluster,lift_entry,launch_gate,launch_gate,289,289
light_cluster,mild_turn_left,launch_gate,launch_gate,264,264
light_cluster,mild_turn_right,launch_gate,launch_gate,267,267
light_cluster,recovery,launch_gate,launch_gate,265,265
light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,235,235
no_cluster_no_merge,energy_retaining_bank,launch_gate,launch_gate,236,236
no_cluster_no_merge,glide,launch_gate,launch_gate,266,266
no_cluster_no_merge,lift_dwell_arc,launch_gate,launch_gate,610,610
no_cluster_no_merge,lift_entry,launch_gate,launch_gate,246,246
no_cluster_no_merge,mild_turn_left,launch_gate,launch_gate,583,583
no_cluster_no_merge,mild_turn_right,launch_gate,launch_gate,465,465
no_cluster_no_merge,recovery,launch_gate,launch_gate,307,307
no_cluster_no_merge,safe_exit_or_recovery_handoff,launch_gate,launch_gate,228,228
super_light_cluster,energy_retaining_bank,launch_gate,launch_gate,322,322
super_light_cluster,glide,launch_gate,launch_gate,286,286
super_light_cluster,lift_dwell_arc,launch_gate,launch_gate,276,276
super_light_cluster,lift_entry,launch_gate,launch_gate,264,264
super_light_cluster,mild_turn_left,launch_gate,launch_gate,260,260
super_light_cluster,mild_turn_right,launch_gate,launch_gate,260,260
super_light_cluster,recovery,launch_gate,launch_gate,264,264
super_light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,257,257
