comparison_type,library_size_case_id,policy_id,baseline_policy_id,history_length,paired_launch_count,mean_paired_delta_launch_score,median_paired_delta_launch_score,win_rate,loss_rate,safety_regression_rate,mission_success_delta_mean,front_wall_terminal_success_delta_mean,wrong_wall_exit_delta_mean,memory_changed_selection_rate,exploration_changed_selection_rate,mean_net_specific_energy_delta_m_delta,mean_positive_specific_energy_gain_m_delta,mean_updraft_specific_energy_gain_proxy_m_delta,mean_terminal_specific_energy_m_delta,mean_terminal_specific_energy_bonus_delta,mean_gross_specific_energy_loss_m_delta,mean_episode_flight_time_s_delta
memory_vs_no_memory,balanced_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,0.003426207798486871,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.18,0.0,-0.0003116179843102529,1.6156206533368135e-05,8.327646230674942e-05,-0.00031161798431026175,-0.0009486851444380307,0.0003277741908436216,0.0003999999999999959
memory_vs_no_memory,balanced_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.002391044448067987,0.0,0.06,0.04,0.0,0.0,0.0,0.0,0.16,0.0,-0.0005163315689730119,0.0,-7.391366266069087e-05,-0.0005163315689730075,-0.0009486851444380307,0.0005163315689730119,0.00040000000000000034
memory_vs_no_memory,balanced_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,-0.8137349231933846,0.0,0.04,0.1,0.02,0.0,0.0,0.0,0.2,0.0,-0.0008733231024773214,0.0,-8.075817473285698e-05,-0.0008733231024773325,-0.01215567364831152,0.0008733231024773214,0.00040000000000000034
memory_vs_no_memory,heavy_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,-0.0021280781216671584,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.12,0.0,0.001889267765177931,2.4092137836823622e-05,-4.795184398347204e-05,0.0018892677651779267,0.0,-0.001865175627341107,-0.0008000000000000007
memory_vs_no_memory,heavy_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.002414613209679999,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.12,0.0,0.0017391525000949892,2.4092137836823622e-05,-6.227859838411925e-05,0.0017391525000949848,0.0,-0.0017150603622581651,-0.00040000000000000034
memory_vs_no_memory,heavy_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,3.3667157932905525,0.0,0.06,0.08,0.02,0.02,0.02,-0.02,0.18,0.0,0.0015507765976980935,0.0,-0.0003397238362712698,0.001550776597698098,0.3310279368394147,-0.0015507765976980935,0.00040000000000000257
memory_vs_no_memory,light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,-0.004406542699102544,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.18,0.0,8.64529764974753e-06,-2.3102422600552175e-05,-0.000187881176838618,8.645297649727546e-06,-0.003920327504328149,-3.174772025029693e-05,0.0
memory_vs_no_memory,light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.0047925377747051814,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.18,0.0,-0.0003326057591137066,0.0,-4.741183260325194e-05,-0.00033260575911372216,-0.003920327504328149,0.00033260575911370883,0.0
memory_vs_no_memory,light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,-0.00686023311390386,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.00012263653638284523,6.835546355569925e-06,0.0004931045443514046,0.00012263653638283411,-0.0031235304117531015,-0.00011580099002727274,0.0
memory_vs_no_memory,no_cluster_no_merge,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,-0.0032855658494213456,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.3,0.0,-0.0007873878968885451,2.0953438771380005e-05,0.0013669900564428508,-0.0007873878968885606,-0.0013823049126603592,0.0008083413356599234,0.0003999999999999959
memory_vs_no_memory,no_cluster_no_merge,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.006109163096416808,0.0,0.04,0.1,0.0,0.0,0.0,0.0,0.24,0.0,0.00025175589171500424,0.0,0.00019111960766345388,0.0002517558917149998,-0.0027531560754631102,-0.00025175589171500646,0.0
memory_vs_no_memory,no_cluster_no_merge,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,-0.0023193566618417093,0.0,0.06,0.12,0.0,0.0,0.0,0.0,0.38,0.0,0.00020456204577120384,2.10802099302379e-05,-0.0013753445279819742,0.00020456204577120829,0.0021514789639251576,-0.00018348183584096622,-4.440892098500626e-18
memory_vs_no_memory,super_light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,1.1916813817266785,0.0,0.1,0.06,0.02,0.0,0.0,0.0,0.26,0.0,0.000577341393108568,-3.391691169589178e-05,0.0015586528434511926,0.0005773413931085525,-0.006008633264286658,-0.0006112583048044607,4.440892098500626e-18
memory_vs_no_memory,super_light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,1.1909795378461974,0.0,0.06,0.1,0.02,0.0,0.0,0.0,0.24,0.0,-0.00024378216395070984,6.6992731428780485e-06,-3.572191967140788e-05,-0.0002437821639507165,-0.006313224251038214,0.00025048143709358815,4.440892098500626e-18
memory_vs_no_memory,super_light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,1.1886281119025346,0.0,0.04,0.12,0.02,0.0,0.0,0.0,0.24,0.0,-9.559095361406644e-05,-1.415321476614384e-05,0.00031571405197210715,-9.559095361405756e-05,-0.006313224251038214,8.143773884792261e-05,4.440892098500626e-18
