audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,400,400,1.0,193,0.4825,371,0.9275,,3.636475099992822,0.30844375700784427,0.05579943025013559,12.72,48,446.4,1598,433.68,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,160,160,1.0,97,0.60625,155,0.96875,,3.636475099992822,1.4892862239993594,0.06960222375018925,3.15,5,60.0,90,56.85,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,160,160,1.0,75,0.46875,158,0.9875,,0.1233589000039501,0.10419772499626549,0.0311313393748605,6.575,10,257.0,335,250.425,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,80,80,1.0,21,0.2625,58,0.725,,0.3289834000024711,0.3169379540034423,0.07753002500057841,44.15,48,1598.0,1598,1553.85,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,144,144,1.0,93,0.6458333333333334,142,0.9861111111111112,False,0.2094849999994039,0.13395285700222248,0.025026690972531924,3.2777777777777777,5,60.0,90,56.72222222222222,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,144,144,1.0,71,0.4930555555555556,142,0.9861111111111112,,0.1233589000039501,0.1066382750081537,0.028911298611193213,6.611111111111111,10,257.0,335,250.38888888888889,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,40,40,1.0,10,0.25,31,0.775,,3.636475099992822,3.5173208569953562,0.23768671749949136,12.9,48,446.4,1598,433.5,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,44,0.55,80,1.0,,0.0861398999986704,0.08359135999809944,0.028234651250295385,3.25,4,90.0,90,86.75,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,80,80,1.0,53,0.6625,75,0.9375,,3.636475099992822,3.395111376997954,0.11096979625008312,3.05,5,30.0,30,26.95,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,80,80,1.0,33,0.4125,80,1.0,,0.0906990999937988,0.08890524699752853,0.031438803749460884,4.525,6,179.0,179,174.475,0.02,0.1,profiled,offline_wallclock_profile_only_not_hardware_realtime_claim
