split,session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.015,1.6790482,1.40596562,2.201857593,1.610490045,6.434561017,2.250159636,-0.03391812724,0.4550470831,0.9910534846,-1.259668752,8.390414807,0.8448968863,-6.02992413,5.927079753,3.435220393,0.385102216,8.03648871,4.106129235,0.8750660242,4.521114132,6.630523089,-2.109408957,1.2333628,1.904271642,-0.6709088424,1.225387829,0.7354240208,0.4899638082,0.72981099,0.4380005415,0.2918104485,3.689537324,9.015918575,-5.32638125,54.1163167,7.430743371,-29.06220453,32.03705519,0.6891936255,23.68402024,13.80163149,32.03705519,0.9175962894,0.9910534846,1.5647366
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.995,1.4039163,1.258443945,2.115609882,1.619402072,5.791858327,0.1522210924,-0.5122623078,0.8250010066,-0.2673089577,-0.5700517573,4.345737539,-8.971805131,7.537325824,6.610438375,2.894930679,0.739510033,8.463473864,3.658589316,0.3374267786,5.35199443,7.205029919,-1.85303549,0.7793207976,1.542979434,-0.7636586363,0.8798920387,1.281975293,-0.4020832543,0.6267410947,0.9131422529,-0.2864011582,6.08255808,5.620256458,0.4623016224,2.508813611,3.095007588,-7.785842867,10.38528808,-12.61622253,15.61844759,5.637545191,10.38528808,0.8250010066,0.9381693568,0.5700517573
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.955,1.5527587,1.315749792,2.161881813,1.62434138,6.133186859,1.090146083,-0.3841901056,0.1648480125,-0.3911242023,-1.534279713,1.748980134,-6.602066946,0.07858523574,6.601986653,4.172701406,0.5038975579,8.95797859,2.261000079,0.6125440692,5.286236861,7.642228798,-2.355991937,2.010819592,0.09911826592,1.911701326,1.120443822,1.011797311,0.1086465113,0.7215827044,0.6516127141,0.06996999036,4.717984745,7.553122267,-2.835137522,23.43190799,-20.51325048,-26.97597145,18.46503109,-42.28702233,-22.85490122,20.51325048,18.46624193,0.7707758242,0.9128950518,1.534279713
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.155,1.6164924,1.289424354,2.180532599,1.604553654,5.942449938,0.9246731213,0.07340901989,0.5080515074,0.8704264238,-0.2761135805,-0.8259189978,-0.6300084772,-1.49828714,6.214737658,3.192346876,0.3964261434,7.615557558,2.738294188,0.6215748035,4.925313304,6.326133204,-1.4008199,1.011814278,0.5577615892,0.4540526884,1.208127511,0.9829788508,0.2251486601,0.7473759301,0.6080937039,0.1392822262,4.076815783,6.435675801,-2.358860019,-1.345594094,-5.824326432,-21.31486811,28.42754616,-28.76846849,-3.270615137,5.824326432,28.42754616,0.5080515074,0.8704264238,0.6136023139
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.095,1.6165648,1.267957436,2.110185901,1.552269281,5.945451409,2.046324699,0.0415171476,0.4237840377,0.5803133161,-1.639915228,0.4719993734,-4.050991111,-8.149144805,6.406231333,4.163512092,0.3891906427,7.813803048,2.105965943,0.5719188097,5.138273897,6.545845612,-1.407571715,2.053326191,-0.004219957112,2.057546148,1.163078638,0.9803504712,0.182728167,0.7194754199,0.6064405653,0.1130348545,4.417821571,6.677046427,-2.259224857,13.61884809,-3.379657626,-23.16001735,30.09774834,-40.06072816,-9.79506919,14.71524729,30.09774834,0.9591999077,0.7381927986,1.639915228
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.985,1.4001084,1.279158047,2.190480706,1.523128114,6.142417162,0.562504236,-0.06774491098,0.3471607,0.1769278904,-1.010685057,6.62735128,-5.037014818,-1.232670535,6.605002223,2.480886105,0.7137017796,8.222165356,2.997474422,0.7226593383,5.325844175,6.943007309,-1.617163133,0.290405399,0.8069937162,-0.5165883171,0.8094263347,0.800468776,0.008957558707,0.5781169049,0.5717191441,0.00639776085,6.579776252,8.673676621,-2.093900369,20.62370713,1.910346058,-21.80679381,20.22555232,-0.3374037699,9.801767712,6.945993525,20.22555232,0.3726067785,0.9032199557,1.010685057
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.01,1.6023639,1.268312514,2.016922051,1.53296913,6.129191941,0.9244988711,-0.5172773739,0.6486085304,0.4159646384,-1.460285466,10.38972607,-4.974055737,-1.820160464,5.772558134,1.792611104,0.3761332299,8.490354021,3.29822533,0.5802361147,4.50424562,7.222041507,-2.717795887,-0.2243109468,1.281303279,-1.505614226,1.1568359,0.9527330153,0.2041028847,0.721955793,0.5945796803,0.1273761127,3.893590802,7.580341387,-3.686750585,42.68150748,4.701701981,-7.778893711,25.479636,35.13254747,14.31912434,11.05443728,25.479636,0.6666657731,0.8626585433,1.460285466
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.865,1.7022378,1.355268194,2.098155712,1.554322433,6.789668691,0.3939407797,-0.1687264313,0.3635556488,0.1818939921,0.1183881814,-2.627541715,-5.103451236,1.94246753,6.614225466,2.655122822,0.527280452,10.18510951,2.469922472,0.711075632,5.258957273,8.829841314,-3.570884042,0.5569671094,0.3717667593,0.1852003501,1.027041981,0.8432468012,0.18379518,0.6033481229,0.4953754412,0.1079726816,5.120489102,10.47124199,-5.350752889,22.30866354,-3.15448148,-26.03879478,22.29331805,0.5953268888,-2.051360298,3.15448148,22.29331805,0.3635556488,0.8658817442,0.2805399633
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.25,1.3441728,1.400935174,2.190223793,1.566131165,4.863674181,1.473040383,0.1306688423,-0.2943113109,-0.007358309683,-0.919539734,-2.087176841,-6.382245032,-7.411654789,5.85120592,3.315207602,0.3957346631,6.515618052,2.099903147,0.2500455323,4.450270746,5.114682878,-0.6644121319,1.12498381,-0.09032064568,1.215304455,1.170396501,1.316085632,-0.1456891309,0.8707187806,0.9791044963,-0.1083857156,3.802361628,3.88628426,-0.08392263278,-2.196152183,-2.153335634,-16.15052408,24.08863187,-21.39585697,-5.313834946,12.37752658,24.08863187,0.5942738135,1.066637069,0.919539734
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.355,1.5734699,1.268387805,2.174118628,1.588063883,5.068636763,2.724129525,-0.3309826881,-0.1057454758,-0.1023913551,-1.663944333,-3.172723662,-3.766807402,-15.91371645,6.371566249,3.770032232,0.3872944312,6.906624744,1.313123569,-0.008640030337,5.103178444,5.638236939,-0.5350584949,1.595913604,-0.8609950591,2.456908663,1.200769452,1.596703913,-0.3959344615,0.763134682,1.0147661,-0.2516314176,4.24992361,3.531172493,0.718751117,24.18012466,-3.909358572,-21.29408355,27.98644183,-16.60423903,-19.01919406,23.90526211,27.98644183,1.216166173,0.6123015721,1.663944333
