session_label,source_session_root,calibration_profile_id,calibration_profile_hash,vicon_calibration_source,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,termination_reason,termination_group,launch_speed_m_s,duration_s,x0_m,y0_m,z0_m,launch_x_offset_m,launch_y_offset_m,launch_z_offset_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,speed0_m_s,horizontal_speed0_m_s,flight_path_angle_proxy0_deg,sideslip_proxy0_deg,vicon_offset_x_m,vicon_offset_y_m,vicon_offset_z_m,x_end_m,y_end_m,z_end_m,dx_m,dy_m,dz_m,altitude_loss_m,horizontal_distance_m,glide_ratio_x_over_altloss,glide_ratio_horizontal_over_altloss,sink_rate_m_s,mean_speed_m_s,mean_forward_speed_m_s,max_abs_phi_deg,max_abs_theta_deg,max_abs_psi_deg,max_abs_p_rad_s,max_abs_q_rad_s,max_abs_r_rad_s,mean_rate_confidence,min_rate_confidence,spike_downweighted_fraction,body_rate_limited_fraction,sample_count
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v006,neutral,0,0,0,exit_gate_floor,floor,5.05574648,1.4004305,1.282377403,2.151396632,1.585956795,-0.0176225966,0.1513966324,0.03595679452,4.938562563,1.086732298,-0.1244416853,0.2612612538,-0.2022851802,-0.2812470568,2.043236396,-3.966392898,-1.189635523,5.058248017,5.056717045,1.409717904,12.41016881,4.136158795,2.411427206,0.03414746063,5.649732353,3.083027738,0.3964614743,4.367354949,0.9316311053,-1.18949532,1.18949532,4.465615945,3.671603305,3.754210604,0.8493783306,3.519678013,2.783939633,16.7942454,21.40646962,17.59434677,1.284483951,1.638691183,0.7471282628,0.95,0.95,0,0,229
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v007,neutral,0,0,0,exit_gate_floor,floor,4.994139566,1.4842162,1.273114041,2.111557714,1.721342154,-0.02688595927,0.111557714,0.1713421542,4.849403687,1.223409091,-0.2251240738,0.1339445147,0.2982640509,-0.8102319794,-2.339212512,1.746877072,-4.645805041,5.00640857,5.001344412,2.577298681,14.15914435,4.136158795,2.411427206,0.03414746063,5.706305256,3.651825586,0.3963806765,4.433191216,1.540267872,-1.324961478,1.324961478,4.693144945,3.345901968,3.542099166,0.8927011292,3.497503091,2.319895481,21.021221,23.86203418,34.31156403,1.313425815,1.430475116,0.9736267138,0.9445121951,0.5,0.01219512195,0,246
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v008,neutral,0,0,0,exit_gate_floor,floor,5.302373036,1.4844281,1.278110724,2.105657835,1.640083395,-0.02188927588,0.1056578346,0.09008339486,5.084099198,1.504847576,-0.4293241497,0.1472329078,0.6712266861,-1.095028853,6.801326949,0.6604395072,-8.43562339,5.319487767,5.302134559,4.629251195,16.48827927,4.136158795,2.411427206,0.03414746063,5.300337357,3.181433594,0.3926985862,4.022226633,1.07577576,-1.247384809,1.247384809,4.163604277,3.224527512,3.33786675,0.8403133899,3.362051694,2.430162914,31.80883246,32.25963114,15.50373926,1.934961521,1.91842857,1.095028853,0.9444672131,0.5,0.01229508197,0,244
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v009,neutral,0,0,0,exit_gate_floor,floor,5.548869107,1.4392856,1.290099128,2.180765631,1.639588914,-0.009900872194,0.1807656306,0.08958891366,5.438040071,1.095859268,-0.1874194219,0.179381679,0.07215662408,-0.1855036784,8.777355247,-1.447496389,-1.405374085,5.550523704,5.547358592,1.935021638,11.39350044,4.136158795,2.411427206,0.03414746063,6.15381408,2.603462664,0.3966145915,4.863714952,0.4226970331,-1.242974322,1.242974322,4.882048332,3.912964947,3.927714551,0.8636050567,3.761990388,3.371988322,19.40686125,24.79475059,7.887744261,1.724055248,1.338022276,0.6500019599,0.9480932203,0.5,0.004237288136,0,236
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v010,neutral,0,0,0,exit_gate_floor,floor,5.552302262,1.4259929,1.271554823,2.1786966,1.57924683,-0.02844517746,0.1786965999,0.02924683032,5.481054528,0.7525466379,-0.1184806549,-0.07903907126,-0.05691348878,-0.4401804306,2.078905545,-2.732291811,-1.581198235,5.533744017,5.532475502,1.22682947,7.817807633,4.136158795,2.411427206,0.03414746063,6.356339883,2.773446464,0.3899899268,5.08478506,0.5947498638,-1.189256903,1.189256903,5.119449825,4.275598523,4.304746779,0.8339851506,3.859670191,3.492856198,4.201570982,27.71128002,11.14323971,0.4855879983,1.562862191,0.4958998794,0.95,0.95,0,0,222
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v011,neutral,0,0,0,exit_gate_floor,floor,5.543712644,1.497133,1.289711271,2.137684572,1.617469758,-0.01028872884,0.1376845717,0.06746975787,5.280294478,1.695567206,-0.09715961764,-0.4225267907,-0.2745700324,-1.111803288,3.14469167,-5.168691294,-8.79882565,5.546701535,5.545850514,1.003681326,17.80246033,4.136158795,2.411427206,0.03414746063,6.426357407,3.433914814,0.3970576639,5.136646136,1.296230242,-1.220412094,1.220412094,5.297673675,4.20894398,4.340889197,0.8151661168,3.829722497,3.068831571,28.45705215,24.64371192,23.59268388,1.368182787,1.470781849,1.111803288,0.942173913,0.5,0.01739130435,0,230
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v012,neutral,0,0,0,exit_gate_floor,floor,5.284341681,1.4243016,1.297164266,2.062861472,1.695168494,-0.002835734058,0.06286147199,0.1451684936,4.913531562,1.829323542,0.5363301629,0.09130975971,1.145190657,-0.7657278304,-0.2299085606,10.86221022,-9.911950444,5.270376369,5.243016024,-5.840710228,20.42046002,4.136158795,2.411427206,0.03414746063,4.393916526,3.041089501,0.389947909,3.09675226,0.9782280291,-1.305220585,1.305220585,3.247584431,2.372589198,2.488149873,0.9163933991,3.017755778,1.781890797,13.82689635,39.17954682,31.98376824,0.9029919255,2.026448791,0.7718457073,0.9400881057,0.5,0.02202643172,0.004405286344,227
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v013,neutral,0,0,0,exit_gate_floor,floor,5.498303201,1.4785759,1.284433828,2.022665121,1.68073574,-0.01556617221,0.02266512093,0.1307357403,5.493042209,-0.3902356204,0.08871619181,0.3341159531,0.1323899289,0.6384368875,4.072388218,2.620627467,10.8001922,5.507600849,5.506886285,-0.9229578076,-4.063568443,4.136158795,2.411427206,0.03414746063,5.327935859,1.574932484,0.3909209357,4.043502031,-0.4477326371,-1.289814805,1.289814805,4.068214988,3.134947759,3.15410784,0.8723358771,3.360093643,2.596539605,40.22259236,30.26114126,12.1373305,2.475313033,1.383837791,1.096743314,0.9254201681,0.5,0.05462184874,0.03781512605,238
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v014,neutral,0,0,0,exit_gate_floor,floor,6.263175422,1.6547334,1.279150577,2.025478087,1.599978968,-0.0208494227,0.02547808695,0.04997896806,6.253436566,0.5118647061,0.2697596107,0.4922571159,0.9116734051,0.2006820789,0.4978040208,2.246343711,0.5711993253,6.280146862,6.274350513,-2.461860273,4.679419207,4.136158795,2.411427206,0.03414746063,6.114386348,2.322287279,0.3742602034,4.83523577,0.2968091925,-1.225718765,1.225718765,4.844336967,3.944816633,3.952241825,0.740734891,3.474513446,2.859752047,18.06957107,33.38435621,14.48619354,1.198759693,1.628125873,0.6102396571,0.9172413793,0.5,0.07279693487,0.02298850575,261
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v015,neutral,0,0,0,exit_gate_floor,floor,5.702525917,1.4588349,1.27907402,2.112197877,1.570081474,-0.02092597982,0.1121978773,0.02008147373,5.636640069,0.7496944838,0.4584440571,-0.07562709601,0.6591895935,-0.2274682168,2.687893656,2.066972851,-3.357562787,5.704728218,5.686277612,-4.609380736,7.576090851,4.136158795,2.411427206,0.03414746063,5.623290254,2.114424284,0.3878465478,4.344216234,0.002226406245,-1.182234926,1.182234926,4.344216804,3.674579509,3.674579992,0.8103966569,3.446095738,3.005267067,17.86763081,31.03815733,13.70642713,2.30761788,1.517833934,0.5320839898,0.9340707965,0.5,0.03539823009,0.01769911504,226
