split,session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,alignment_window_s,alignment_elapsed_s,alignment_sample_count,alignment_method,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p4,aileron pulse +0.4,v002,delta_a,0.4,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2585836,30,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.87,0.9323887,2.128171317,2.16893918,1.430611668,4.029332271,1.061036918,0.6853279693,0.08425856203,0.3955275703,-0.02556423289,7.388032873,4.003087353,-9.015701696,5.219928278,2.232753819,0.3927079256,5.188592227,2.956137112,0.2896123661,3.091756961,3.060420909,0.03133605174,0.06381463949,0.7871979322,-0.7233832927,1.037903742,1.140999302,-0.1030955595,1.113166367,1.223737806,-0.1105714382,2.978847494,2.682228556,0.2966189377,2.965924784,12.23523341,-15.99351189,16.96108174,10.37693442,18.2071847,12.23523341,16.96108174,0.1927298881,0.6837117796,0.9012078865
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p4,aileron pulse +0.4,v003,delta_a,0.4,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2053915,34,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.87,0.8824681,2.336118289,2.133640132,1.335686809,4.227616139,0.7011202456,1.370604465,0.1706614194,1.066269791,0.2162956203,7.438227559,12.8329377,-5.378176663,4.781799027,1.961729906,0.3979715735,5.020509376,2.831163915,0.3708444204,2.445680738,2.684391087,-0.2387103489,-0.1719102264,0.6975237827,-0.8694340091,0.937715236,0.9648423891,-0.02712715304,1.06260525,1.093345345,-0.03074009479,2.608127334,2.782206832,-0.1740794988,-17.21395577,21.22578508,-9.381917372,22.00384098,27.21380641,24.98325933,21.22578508,22.81863772,0.3451725073,1.066269791,0.812379956
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p6,aileron pulse +0.6,v001,delta_a,0.6,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2033227,31,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.785,0.94034,2.200795232,2.094441587,1.217089728,4.574868397,-0.06487612526,1.335971071,0.1796223615,0.8342751483,0.3217863956,-0.3535642495,3.947305263,3.706367372,5.122784135,2.095982455,0.3896804604,5.52854736,2.721249918,0.1458625796,2.921988903,3.327752129,-0.4057632255,0.001540867833,0.6268083313,-0.6252674634,0.8274092673,1.071227148,-0.2438178807,0.8799043615,1.139191301,-0.2592869395,3.531491631,3.106485991,0.4250056403,6.124630693,7.704717462,-11.49912969,21.13663166,-0.6075353962,3.940127511,14.41676813,21.13663166,0.7493063328,0.8342751483,0.3981564454
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p6,aileron pulse +0.6,v002,delta_a,0.6,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2038671,31,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.745,0.8808435,2.149212871,2.095845249,1.289411199,4.345318795,0.6903202271,1.115892915,0.1484406539,0.7582915941,0.0172883087,9.933691258,5.280279965,-5.394703225,4.912439085,1.931252107,0.3986833344,5.216651028,2.966102333,0.1332096594,2.763226214,3.067438157,-0.304211943,-0.1645931417,0.8702570843,-1.034850226,0.8907278642,1.156201539,-0.265473675,1.011221476,1.312607222,-0.3013857456,3.102211489,2.653030681,0.4491808081,-3.955369734,21.87006262,-7.248526821,13.53768822,16.56943823,22.08153343,23.38619504,15.39830144,0.5501987298,0.7819442506,1.117729017
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p6,aileron pulse +0.6,v003,delta_a,0.6,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2029254,33,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.895,0.9201693,2.2167185,2.115330413,1.333700024,4.624442252,0.6794373537,1.051144167,-0.06383133382,0.7482165598,0.3255262188,3.923062557,5.574040367,-4.331149108,5.379668088,2.068557841,0.3919340298,5.37912241,3.004854466,0.3401411309,3.162949588,3.162403911,0.0005456775781,-0.04677257264,0.8895240525,-0.9362966251,0.9417659947,0.9935588936,-0.05179289888,1.023470349,1.07975662,-0.05628627132,3.358530257,3.182905343,0.1756249143,7.949784168,23.24477531,-15.30188543,17.96830684,12.05071856,24.79984082,24.10509927,19.43064227,0.7273397054,0.9359706865,0.9573297598
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p8,aileron pulse +0.8,v001,delta_a,0.8,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2051564,34,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.835,0.8375231,2.213073266,2.123207715,1.261542495,4.383096655,1.24483516,1.188986513,-0.6011545923,0.7428530876,-0.06003598452,-0.7616505402,4.49357916,-11.71264214,5.019190784,2.819541141,0.3914410397,5.275721653,2.456810522,0.3901082675,2.806117517,3.062648387,-0.2565308692,0.6963334264,0.3336028072,0.3627306192,0.8701014557,0.8714342279,-0.001332772165,1.038898456,1.040489782,-0.001591325858,3.225046343,3.514491729,-0.2894453869,-0.5019877923,6.734914093,-7.600851008,19.92101131,-7.142466255,-4.996601205,9.324816819,19.92101131,0.7689497475,0.7434224916,0.3824076404
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p8,aileron pulse +0.8,v002,delta_a,0.8,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.200871,34,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_remaining_duration,,0.8627046,2.086633023,2.118774779,1.438084632,4.032764475,0.2754529703,1.224978963,-0.2249187305,0.8666322517,0.1471204363,5.077782173,13.43555234,-3.374570502,4.540798358,2.124149357,0.3923501869,4.615858122,2.514182056,0.4625578177,2.454165335,2.529225099,-0.07505976353,0.00537457751,0.3954072769,-0.3900326994,1.045734446,0.9755268147,0.07020763082,1.212158189,1.130777342,0.08138084673,2.346834175,2.592676142,-0.2458419669,-0.2409353226,5.370975902,-12.00849234,28.59307977,13.747848,-6.938350154,14.43922437,28.59307977,0.643318011,0.8666322517,0.3880163781
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos0p8,aileron pulse +0.8,v003,delta_a,0.8,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2017262,29,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_remaining_duration,,0.8791807,2.140010065,2.16349858,1.329247189,4.223242574,1.325835187,1.266330411,-0.03394837149,1.117970681,-0.1493206135,3.481220193,14.62362017,-11.37151645,4.629272109,2.668992006,0.399066822,4.871357584,2.856620054,0.4391342887,2.489262043,2.731347518,-0.2420854748,0.5054934258,0.6931214744,-0.1876280486,0.9301803668,0.8901129001,0.04006746674,1.058008174,1.012434531,0.0455736423,2.676106841,3.068540539,-0.3924336976,-2.499271595,1.811531956,-9.037383572,30.19175572,-0.5624295092,-5.68811874,7.980124396,30.19175572,0.4748877014,1.117970681,0.3857943229
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos1p0,aileron pulse +1.0,v001,delta_a,1,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2004898,33,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.835,0.8712959,2.202888746,2.187190831,1.254579636,4.237730083,2.078935399,1.333113122,-0.7043448888,1.024857983,-0.4724716696,-0.9095036843,6.086802521,-18.55300651,4.918041164,3.288423427,0.3872603157,5.369936417,2.668035225,0.3396242269,2.715152418,3.167047672,-0.4518952536,1.101232596,0.4808443947,0.6203882016,0.8673193205,0.9149554093,-0.04763608881,0.9954360172,1.050108705,-0.0546726879,3.130510706,3.461422971,-0.3309122658,-2.796308484,-4.43581361,-2.246808301,21.33755386,-21.62595753,-17.80107904,6.73944122,21.33755386,0.7807900665,1.024857983,0.4724716696
train,20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,C1_aileron_pos1p0,aileron pulse +1.0,v002,delta_a,1,0.25,0.4,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2037948,33,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,0.665,0.8785729,2.219043936,2.160858692,1.172688592,4.658292345,1.055536286,1.056076499,-0.0593122242,0.6383014543,0.1733628749,4.320482176,-1.991303053,-8.642747293,5.42881891,2.348973593,0.3933098855,5.562489325,3.029907442,0.02602804246,3.209774974,3.34344539,-0.1336704154,0.1881149008,0.8690487497,-0.6809338489,0.7793787062,1.146660549,-0.367281843,0.8870962287,1.305139903,-0.418043674,4.118376533,2.915810954,1.20256558,0.6133384591,20.46412586,-4.048805156,17.26162101,5.51384903,14.3353757,23.5849684,18.18817804,0.8936061698,0.9157715395,1.022520403
