metric,count,mean,median,std,min,max,role_for_model_calibration
launch_speed_m_s,170,5.017893048,4.919915507,0.5319300258,3.907692254,6.824543586,stratify model error versus launch energy; do not fit directly
sink_rate_m_s,170,0.899296581,0.9017151944,0.1147704223,0.3762365573,1.222376006,primary neutral-glide target for drag/lift/trim consistency
glide_ratio_x_over_altloss,170,3.722673834,3.643594811,0.8345539196,1.872083653,10.4708772,derived consistency check from distance and altitude loss; not direct fit target
dy_m,170,0.290507313,0.2560047421,0.5023450781,-1.184907373,2.053326191,lateral trim/asymmetry diagnostic before fitting aileron/rudder effects
launch_y_offset_m,170,0.09776404059,0.09558500937,0.04466158975,-0.02589217303,0.2018575932,manual-launch lateral offset feature; include in empirical residual model
launch_z_offset_m,170,-0.06124689963,-0.07050918803,0.07893744803,-0.2323341397,0.217765775,manual-launch height offset feature; include in empirical residual model
flight_path_angle_proxy0_deg,170,-2.242286973,-2.508272553,3.43512026,-9.565243417,6.901608812,launch-condition feature for sink/distance residuals
sideslip_proxy0_deg,170,12.59650989,12.95979333,5.350538623,-4.063568443,31.16200304,launch-condition feature for lateral/yaw residuals
max_abs_phi_deg,170,16.24976738,14.94505045,9.272222181,2.007418398,55.24541884,attitude envelope check; should not be used alone as fit objective
max_abs_theta_deg,170,23.56044306,23.51242488,6.256879623,11.22647014,43.88044055,pitch/CG/static-margin diagnostic before controller retuning
max_abs_p_rad_s,170,1.321794743,1.233262411,0.6887299093,0.2929272313,4.126057945,roll-rate envelope diagnostic for future damping/control derivative fit
max_abs_q_rad_s,170,1.52069764,1.467813013,0.2525575043,1.003861484,2.301034337,pitch-rate envelope diagnostic for future damping/control derivative fit
max_abs_r_rad_s,170,0.6764608798,0.5802686143,0.3443248765,0.1596595159,2.033247803,yaw-rate envelope diagnostic for future damping/control derivative fit
mean_rate_confidence,170,0.9480388568,0.95,0.005626289368,0.9172413793,0.95,state-estimator evidence quality; exclude low-confidence throws from fitting
spike_downweighted_fraction,170,0.004358095942,0,0.01250286526,0,0.07279693487,state-estimator health diagnostic
