value,row_count,coverage_axis
energy_retaining_bank,20,primitive_id
glide,20,primitive_id
lift_dwell_arc,20,primitive_id
lift_entry,20,primitive_id
mild_turn_left,20,primitive_id
mild_turn_right,20,primitive_id
recovery,20,primitive_id
safe_exit_or_recovery_handoff,20,primitive_id
inflight_only,100,entry_role
launch_capable,20,entry_role
terminal_or_recovery,40,entry_role
inflight_boundary_near,16,start_state_family
inflight_lift_region,24,start_state_family
inflight_nominal,40,start_state_family
inflight_recovery_edge,16,start_state_family
launch_gate,64,start_state_family
W0,56,W_layer
W1,104,W_layer
dry_air,56,environment_mode
gaussian_four,48,environment_mode
gaussian_single,56,environment_mode
solved,160,lqr_synthesis_status
