start_state_family,primitive_id,entry_role,W_layer,row_count
inflight_boundary_near,glide,launch_capable,W0,1
inflight_boundary_near,glide,launch_capable,W1,3
inflight_boundary_near,mild_turn_left,inflight_only,W0,1
inflight_boundary_near,mild_turn_left,inflight_only,W1,3
inflight_boundary_near,mild_turn_right,inflight_only,W0,1
inflight_boundary_near,mild_turn_right,inflight_only,W1,3
inflight_boundary_near,recovery,terminal_or_recovery,W0,1
inflight_boundary_near,recovery,terminal_or_recovery,W1,3
inflight_lift_region,energy_retaining_bank,inflight_only,W0,1
inflight_lift_region,energy_retaining_bank,inflight_only,W1,3
inflight_lift_region,lift_dwell_arc,inflight_only,W0,1
inflight_lift_region,lift_dwell_arc,inflight_only,W1,3
inflight_lift_region,lift_entry,inflight_only,W0,1
inflight_lift_region,lift_entry,inflight_only,W1,3
inflight_lift_region,mild_turn_right,inflight_only,W0,1
inflight_lift_region,mild_turn_right,inflight_only,W1,3
inflight_lift_region,recovery,terminal_or_recovery,W0,1
inflight_lift_region,recovery,terminal_or_recovery,W1,3
inflight_lift_region,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,1
inflight_lift_region,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,3
inflight_nominal,energy_retaining_bank,inflight_only,W0,2
inflight_nominal,energy_retaining_bank,inflight_only,W1,2
inflight_nominal,glide,launch_capable,W0,2
inflight_nominal,glide,launch_capable,W1,6
inflight_nominal,lift_dwell_arc,inflight_only,W0,1
inflight_nominal,lift_dwell_arc,inflight_only,W1,3
inflight_nominal,lift_entry,inflight_only,W0,1
inflight_nominal,lift_entry,inflight_only,W1,3
inflight_nominal,mild_turn_left,inflight_only,W0,3
inflight_nominal,mild_turn_left,inflight_only,W1,5
inflight_nominal,mild_turn_right,inflight_only,W0,2
inflight_nominal,mild_turn_right,inflight_only,W1,2
inflight_nominal,recovery,terminal_or_recovery,W0,1
inflight_nominal,recovery,terminal_or_recovery,W1,3
inflight_nominal,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,2
inflight_nominal,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,2
inflight_recovery_edge,energy_retaining_bank,inflight_only,W0,1
inflight_recovery_edge,energy_retaining_bank,inflight_only,W1,3
inflight_recovery_edge,lift_dwell_arc,inflight_only,W0,1
inflight_recovery_edge,lift_dwell_arc,inflight_only,W1,3
inflight_recovery_edge,lift_entry,inflight_only,W0,1
inflight_recovery_edge,lift_entry,inflight_only,W1,3
inflight_recovery_edge,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,1
inflight_recovery_edge,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,3
launch_gate,energy_retaining_bank,inflight_only,W0,3
launch_gate,energy_retaining_bank,inflight_only,W1,5
launch_gate,glide,launch_capable,W0,4
launch_gate,glide,launch_capable,W1,4
launch_gate,lift_dwell_arc,inflight_only,W0,4
launch_gate,lift_dwell_arc,inflight_only,W1,4
launch_gate,lift_entry,inflight_only,W0,4
launch_gate,lift_entry,inflight_only,W1,4
launch_gate,mild_turn_left,inflight_only,W0,3
launch_gate,mild_turn_left,inflight_only,W1,5
launch_gate,mild_turn_right,inflight_only,W0,3
launch_gate,mild_turn_right,inflight_only,W1,5
launch_gate,recovery,terminal_or_recovery,W0,4
launch_gate,recovery,terminal_or_recovery,W1,4
launch_gate,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,3
launch_gate,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,5
