primitive_variant_id,primitive_id,primitive_family,entry_role,controller_id,controller_family,reference_state_vector,reference_command_vector,finite_horizon_s,linearisation_id,linearisation_source,Q_weight_json,R_weight_json,K_gain_matrix_json,K_gain_checksum,closed_loop_eigenvalue_summary,sampled_data_check_status,lqr_synthesis_status,lqr_blocked_reason,timing_aware_synthesis_level,timing_effects_in_synthesis,timing_effects_in_rollout,sampled_data_timing_audit_status,delayed_state_lqr_augmentation_status,exit_checks,metrics,failure_labels,claim_status,variant_registry_version,exit_check_version
primvar_glide_launch_capable_9b16e6ac0883,glide,glide,launch_capable,lqr_glide_3a3497311e69,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":0.75,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.65,""r_elevator"":0.45,""r_rudder"":0.7}","[[0.0,0.0,0.0,3.2560339312583553,3.748676298744014e-15,1.5934418986957595,-1.2657110989867167e-15,0.28831959705260124,-3.6238542627950043e-16,0.5698429528126923,-2.976760650228686e-16,0.00016768510397643748,4.266564271455337,-1.7715548642869935e-15,-0.19537309221968038],[0.0,0.0,0.0,-1.1871805741012942e-14,6.698339382578065,-3.829774343402455e-15,-1.285018409120463,-3.090394157141739e-15,0.2080907037001057,-5.672299582309315e-16,0.9177407784322195,1.4382719572120842e-15,-2.55891258174788e-15,4.765279455189249,5.4467286451955345e-15],[0.0,0.0,0.0,-1.0832632536463804,-4.1756589039207514e-15,0.7067156379665493,1.496532758598533e-15,-0.596663865624323,8.363184992769404e-16,-0.05621277251850018,-6.08751850045934e-17,1.1096300696108559,-0.1814178713468461,3.501468414768558e-15,1.4241866734777002]]",a5ff56bb262c8e9a8b482ae7b69d91a062f5d915683ee571b42f45f71357435f,"{""count"":12,""max_abs_imag"":54.45776142251229,""max_real"":-1.554743452870324,""min_real"":-63.26023286308013}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_480967bea585,glide,glide,launch_capable,lqr_glide_066fe3a11498,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":0.75,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.9750000000000001,""r_elevator"":0.675,""r_rudder"":1.0499999999999998}","[[0.0,0.0,0.0,2.6797604179784553,7.396387127958143e-16,1.296378651215308,-1.0634785905330264e-16,0.2299585099187485,4.419901625223525e-17,0.43773194726607445,9.005910016404218e-17,-0.010433662760900051,3.6374298740276503,-4.2548029910068157e-16,-0.1816121695567648],[0.0,0.0,0.0,8.221566060689068e-15,5.493116985569408,2.0524795145291523e-14,-1.0500935083568177,-3.0056762756590777e-15,0.16829054084456405,2.8559564038952965e-16,0.725731661396048,1.1802758039318607e-15,-6.145826542565401e-16,4.143951560023121,2.88548156113182e-15],[0.0,0.0,0.0,-0.8819983195235259,1.2358756998802088e-15,0.586691557526372,-1.2938663644167215e-16,-0.4402202097153874,-3.0600814321253975e-16,-0.047045508436810574,4.3324610750136207e-17,0.9089294970383597,-0.16863987173128164,1.8549524321561705e-15,1.2222446753147376]]",12f8ed7fadb44c331a9a7e55afa187522865b6cccd4146d5dfa0d934ce2b5023,"{""count"":12,""max_abs_imag"":48.3560426265437,""max_real"":-1.5499202038179263,""min_real"":-57.99899783403938}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_9630c4fe3b24,glide,glide,launch_capable,lqr_glide_1f67688b0033,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":0.75,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.3,""r_elevator"":0.9,""r_rudder"":1.4}","[[0.0,0.0,0.0,2.3359416049998445,-7.512183416342288e-16,1.1199718793799256,5.115853721528541e-16,0.19562647758955676,3.1552410332890314e-16,0.3619795804577101,7.434965751951476e-18,-0.01630361325277125,3.2354150635068555,3.766664547083274e-16,-0.17233645830279065],[0.0,0.0,0.0,-7.081255435048473e-16,4.773855799688034,2.0991569153618684e-15,-0.9099811388127328,-1.4992027091657824e-15,0.1444376875672667,-1.4599480125764582e-16,0.6134205575810475,1.6642072099242772e-15,5.440737679120286e-16,3.7438067211153516,4.32643406976935e-15],[0.0,0.0,0.0,-0.7600393235811047,3.556722965384727e-16,0.5136437663662815,-5.947815024333528e-17,-0.3501567339578028,1.8112073298353497e-16,-0.04138232308209149,3.753729220212611e-17,0.7872516169752115,-0.16002671128116275,2.781279044851725e-15,1.0926976038362681]]",327da5c65de699b919e078e43d63772731617c11cbca37bfd373131dfcf0b9df,"{""count"":12,""max_abs_imag"":44.32500570992415,""max_real"":-1.5452071089025428,""min_real"":-54.63507667115033}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_502d0d9bbf78,glide,glide,launch_capable,lqr_glide_21cdf0ac41c0,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":0.75,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.9500000000000002,""r_elevator"":1.35,""r_rudder"":2.0999999999999996}","[[0.0,0.0,0.0,1.9277635496006933,-1.110871164667007e-17,0.9117423667714455,1.2707624478476992e-16,0.1554179189288006,3.861832932075594e-17,0.27581234030853785,-3.947926127566063e-17,-0.022548745305544012,2.7265219886442833,-6.771373193769535e-16,-0.15974428341489058],[0.0,0.0,0.0,8.4258067950609e-16,3.9197626645480517,2.49642540915571e-15,-0.7436919889286562,1.3987495422738281e-16,0.11601278899703729,-8.042603955169528e-17,0.4828936880766965,-1.6040336542164294e-16,-9.78087239100044e-16,3.2323710875523064,-3.2490497940371253e-15],[0.0,0.0,0.0,-0.613014986749789,-2.402135859426648e-15,0.4248335362716746,4.95976602512413e-16,-0.2477982166533981,-1.128828147123995e-16,-0.034405382319886685,-1.9221062108365565e-16,0.6403091618187522,-0.14833397745668414,-2.0886748675952956e-15,0.927392380070068]]",d62b3be5a7810326bbb44bb744b2d0e558d054b4fd0c44c40ff5e41ebdb32e00,"{""count"":12,""max_abs_imag"":39.20046867043614,""max_real"":-1.5360881358953056,""min_real"":-50.374204974117454}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_9f11b5335ba7,glide,glide,launch_capable,lqr_glide_b2b0acbd91b7,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":0.75,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.6,""r_elevator"":1.8,""r_rudder"":2.8}","[[0.0,0.0,0.0,1.6842120597575798,4.815196852032201e-16,0.788384320944916,1.0187051248614845e-16,0.13175260712064568,-4.923727374920196e-17,0.2267889729530376,-5.2485823525707784e-18,-0.02569235734608075,2.403644720745354,1.819269869736523e-16,-0.1510175817218871],[0.0,0.0,0.0,1.3578722230951615e-15,3.410096621494304,2.5547422285990877e-15,-0.644503351672997,-6.564118528466576e-16,0.099003459442704,1.5910120608020123e-17,0.40683233853581874,-1.2475384058734984e-16,2.627834256286089e-16,2.904032491178669,-8.382175832108473e-16],[0.0,0.0,0.0,-0.5239713900624486,-5.61286629188668e-16,0.37031377740918137,2.070849399268242e-16,-0.1899976750178703,2.5727240684906355e-17,-0.030073650641473864,-1.0506111187664398e-16,0.5510226570756275,-0.1402306115988952,-5.388541606355447e-16,0.8212739680610851]]",be32f23590d772d600aa46f282c0bfeee9dc8442e0be9ae03822bb67c30cffcf,"{""count"":12,""max_abs_imag"":36.07010962609862,""max_real"":-1.5273445642990986,""min_real"":-47.6692725364214}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_75e7c79ad4c7,glide,glide,launch_capable,lqr_glide_ab4d67d0ea93,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":0.75,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":3.9000000000000004,""r_elevator"":2.7,""r_rudder"":4.199999999999999}","[[0.0,0.0,0.0,1.394976462253634,-6.649624004259945e-16,0.6431678155560844,2.224303803449604e-16,0.10402370228966451,-1.521409527318937e-16,0.17147794474530786,-5.975213460222821e-17,-0.0285013415995181,1.9984175692320805,-3.363958785266937e-16,-0.1388025262848527],[0.0,0.0,0.0,-7.076720836057971e-17,2.805005639087253,4.69671405412889e-16,-0.5267680267939749,-7.165431411945041e-16,0.07878102497560546,-8.638463748817557e-18,0.31879054821006203,6.828644167949303e-16,-4.859051578718908e-16,2.4860322061049542,-6.394026409999518e-16],[0.0,0.0,0.0,-0.41688375779062686,3.6645745882243607e-16,0.30343553799933026,-7.103766950055235e-17,-0.12594372991005806,-1.0512187451585804e-17,-0.02471808621876097,-2.446428011924572e-17,0.4430802994394361,-0.12888806012164897,-4.110445549285406e-16,0.6860407110277039]]",5871ba67f2a6cff7f767e2872dae224f90f3c7e50f553d636217fa64d4652315,"{""count"":12,""max_abs_imag"":31.96415794418002,""max_real"":-1.510845776889813,""min_real"":-44.27337267211422}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_a62b50d1d3d5,glide,glide,launch_capable,lqr_glide_542413582c68,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.0,""q_rates"":1.125,""q_surfaces"":0.15,""q_velocity"":1.5,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.65,""r_elevator"":0.45,""r_rudder"":0.7}","[[0.0,0.0,0.0,3.9588685836834365,-1.0459914609630286e-15,1.9586523943566145,-1.2313043165212405e-16,0.36023786541021396,-5.914129322316928e-16,0.7386548210317083,-3.060633143457906e-16,0.015206586124933006,4.9666592548461574,-1.2723508011764751e-15,-0.2106169476031567],[0.0,0.0,0.0,3.3013779174571066e-14,8.17147851423739,2.4786431493958912e-14,-1.5725796457173347,5.65983425544911e-15,0.25659457312579353,1.8743372981239159e-16,1.1580558275212538,-1.8728931113968437e-15,-1.8378400461437977e-15,5.448260993929798,-2.716398825222767e-15],[0.0,0.0,0.0,-1.3262831443788066,-9.800448353941908e-16,0.8505397603478201,1.785827180692316e-15,-0.7973619191843202,1.27681414168217e-15,-0.06702053944145352,-1.5337544784804382e-15,1.3512957025380337,-0.19557287991721695,-1.7462563876432074e-15,1.6317622309306046]]",16ab5296e53fa9edcf602763376122801a1c2d5c7fd055ddc182581c71d0849b,"{""count"":12,""max_abs_imag"":61.15851565450948,""max_real"":-1.558774805356717,""min_real"":-69.11246447546347}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_a98ff9ffd513,glide,glide,launch_capable,lqr_glide_0063a55ae8a9,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.0,""q_rates"":1.125,""q_surfaces"":0.15,""q_velocity"":1.5,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.9750000000000001,""r_elevator"":0.675,""r_rudder"":1.0499999999999998}","[[0.0,0.0,0.0,3.2543506139418423,6.556073467646466e-16,1.593480265111418,-2.0826418890576144e-15,0.2878709727977104,-2.306051303331494e-16,0.5700340527002677,1.5235675435601625e-16,0.0010583119313224934,4.26014029812426,-2.1593389894672922e-16,-0.19572212180456072],[0.0,0.0,0.0,-8.741531206343898e-15,6.697516341850411,-1.0464234486981347e-15,-1.2850091379848207,-6.30814688241894e-16,0.20815386749981224,-2.0987748212117633e-16,0.9180304997934013,1.116834668338554e-15,-3.119045207008311e-16,4.756509389198018,5.896718647866221e-15],[0.0,0.0,0.0,-1.084082928009224,-4.8753820643267005e-15,0.7066353060761232,8.202762314939463e-16,-0.5984685188724942,7.944673203224952e-16,-0.05621745916835023,2.106300913976138e-16,1.1099176918017386,-0.18174197024709215,3.790747702199714e-15,1.4097976717368648]]",b904746a5c7bc2415c15ed4a2c346268842b49a77bdd666548ba8b498233c4bb,"{""count"":12,""max_abs_imag"":54.49462955441706,""max_real"":-1.5554831545430492,""min_real"":-63.207471396687694}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_a66308074eef,glide,glide,launch_capable,lqr_glide_9224da9bb6c3,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.0,""q_rates"":1.125,""q_surfaces"":0.15,""q_velocity"":1.5,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.3,""r_elevator"":0.9,""r_rudder"":1.4}","[[0.0,0.0,0.0,2.8339940108097763,-6.629241622697593e-16,1.3764279875864807,6.406726130844279e-16,0.24528881257731056,-4.425528700061088e-16,0.47295982053964614,2.487599648371634e-16,-0.006963934572181316,3.807137612366029,-8.547903094139925e-16,-0.1858121504323268],[0.0,0.0,0.0,2.0787185809217617e-15,5.8178790666529405,1.1013481401444215e-15,-1.1135073511327203,3.1774970627025682e-15,0.1791116748263993,-8.682369726014124e-17,0.7773713068273383,-1.3064331495985325e-15,-1.2346971135979893e-15,4.310179297430831,-3.327068485153254e-15],[0.0,0.0,0.0,-0.9374107160406074,2.7265184157587507e-15,0.619377448667634,-5.022159884205653e-16,-0.48318750752652917,5.4566936221141017e-17,-0.04956478947303645,4.253437340048649e-17,0.9637961217457343,-0.1725398539728749,-2.138829740455663e-15,1.267077318732812]]",aa26214baf2b8a19bdea9cb08f398ab0b841bfc2a9727bc2fc7acd1ed46f2045,"{""count"":12,""max_abs_imag"":50.10437140852939,""max_real"":-1.5522437691075028,""min_real"":-59.41935890954435}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
primvar_glide_launch_capable_1ac21a5ecd25,glide,glide,launch_capable,lqr_glide_2be00e079466,lqr,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.6,lqr_lin_6cc4f4ed2a6a,straight_trim_plus_primitive_reference_bias,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.0,""q_rates"":1.125,""q_surfaces"":0.15,""q_velocity"":1.5,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.9500000000000002,""r_elevator"":1.35,""r_rudder"":2.0999999999999996}","[[0.0,0.0,0.0,2.3349357540862266,-5.193932107075313e-15,1.1199182743580947,9.626305717741477e-16,0.19541249420655146,2.1559135950708477e-16,0.36206990101499126,-1.2135690312233042e-16,-0.015837120704222885,3.2313940039481017,1.2829451177213723e-16,-0.17257081557462028],[0.0,0.0,0.0,-5.567128942821613e-15,4.773313125296441,-9.892323324354166e-15,-0.9099766791624927,-1.5388508986464628e-15,0.14447918873362314,-2.536428571353082e-17,0.6135700159259962,7.719704880852565e-16,1.8531429478197602e-16,3.738497362828102,-1.7142285901262267e-15],[0.0,0.0,0.0,-0.7606023105467369,1.5006014476988731e-15,0.513752286325408,-1.891025557936633e-16,-0.3509857532672862,-6.350605117431048e-17,-0.041392722126560595,2.0053523166999085e-16,0.7875642369939596,-0.16024432874786174,-1.1020040936525747e-15,1.084521143443963]]",56bbd0775e336cf5783aa342d1e1b5bc15d0fb13c39a2576e73b73505d2f5d7f,"{""count"":12,""max_abs_imag"":44.34461261557169,""max_real"":-1.5459140263829971,""min_real"":-54.602036488072386}",sampled_stable,solved,,trim_local_reduced_order_lqr_no_delay_augmentation,sampled_data_stability_and_nominal_latency_actuator_smoke_only,feedback_delay_command_timing_actuator_lag_applied_in_w01_rollout,sampled_stable_with_nominal_timing_smoke,not_implemented_state_delay_simulated_in_rollout,finite_exit_state;true_safe_bounds_preserved;minimum_speed_preserved,energy_residual_m;lift_dwell_time_s;minimum_wall_margin_m;minimum_speed_m_s;termination_cause,entry_set_violation;true_safety_violation;wall_violation;floor_violation;ceiling_violation;speed_low;latency_limited;terminal_recovery_limited;model_boundary_only,simulation_only,w01_primitive_controller_variant_registry_v1,w01_exit_checks_v1
