chunk_index,status,row_count,partition_path,checksum_sha256
0,complete,1000,w3_generalisation_rows/c00000.csv.gz,b4992ece9c543e1f6cae6d030e37cf9dbfbcc7044af65c554783214fa0bc4f77
1,complete,1000,w3_generalisation_rows/c00001.csv.gz,94b9fffd2d8c12c7b61d99cf75f1490a3244393a7bcd0fc6a6bca223c3f3b1c1
2,complete,1000,w3_generalisation_rows/c00002.csv.gz,248f98fec4f3b76708cbce2452ca57ce14cfe1c169dbffc9678998bbeb44d28c
3,complete,1000,w3_generalisation_rows/c00003.csv.gz,83faffde6f90467eded8faa27717203a7cc975baadd1f56e552fa1817602b198
4,complete,1000,w3_generalisation_rows/c00004.csv.gz,09fd5d50e0aad8eee58ba9d0aff82d2bcc6bc259bf262e28f84ee93ba70d9600
5,complete,1000,w3_generalisation_rows/c00005.csv.gz,4c90d5e61a9e11ad29f19102c205da9df01e5eae2957849d763fb12739ab1473
6,complete,1000,w3_generalisation_rows/c00006.csv.gz,ebd1751de57b223da63e918ccb192b9db64bacd66eb8a949324f1116df31ecb4
7,complete,1000,w3_generalisation_rows/c00007.csv.gz,83e505fa80363c72f28a935d3839cf471cc066ff18fc9ec0ad77639e4a325f31
8,complete,1000,w3_generalisation_rows/c00008.csv.gz,551f989d798fcd45c6d36f25322ee9f0b9ae8478446533914231eb89273c2455
9,complete,1000,w3_generalisation_rows/c00009.csv.gz,1fe091bf3d4fd4dcb201ec2f69d526395e02f1eb97ef0626cfb67086b75c28f9
10,complete,1000,w3_generalisation_rows/c00010.csv.gz,05ea9801881d5baa13584b5d5669323b511cf20e310498b086760e008e01dacd
11,complete,1000,w3_generalisation_rows/c00011.csv.gz,733450181932c44d4c652219801184a86c5362bd00275f28d21c0a0e10640175
12,complete,1000,w3_generalisation_rows/c00012.csv.gz,f56ea447e1690138094f6f7dbdc2565c7464007b9cb04fdeca58e34b2d13d664
13,complete,1000,w3_generalisation_rows/c00013.csv.gz,56434d78dc4cf8f6458062bd41ceb500da5197683748dfc1ad31de27d8d34c00
14,complete,1000,w3_generalisation_rows/c00014.csv.gz,01bf7feb59a5c090d486182497b03f3aadf7eb738945bf36c16535249a15fcc1
15,complete,1000,w3_generalisation_rows/c00015.csv.gz,77ac0f6f579816eb15bab5a313c4dee10655d24cddc254e9ba742fad5f3ba6c9
16,complete,1000,w3_generalisation_rows/c00016.csv.gz,b99fb2e50eb14e38145096fcbea1b67fd847cbef90a8c42004fad735cfab5d44
17,complete,1000,w3_generalisation_rows/c00017.csv.gz,fff90596f79866672b3ddacc6157e3cd1b9f87924361733a925eaaf3ad7d92ea
18,complete,1000,w3_generalisation_rows/c00018.csv.gz,d98fbd32f0013e7c08311029fc934768674438766f0490fe58ac4765dccfba6f
19,complete,1000,w3_generalisation_rows/c00019.csv.gz,84822e1d3576b1a5acfe0da1640bc2ce4a0ac4b6e2e2b164ab42f22ca719c274
20,complete,1000,w3_generalisation_rows/c00020.csv.gz,7f639242cee7ad4c16f8bb7c5d085b8612104e306958af3c4271de705079d8c3
21,complete,1000,w3_generalisation_rows/c00021.csv.gz,0e2c5ddeed72c492af266e4795ce50a9fb188df0e404b41d4b5cc76fad499f41
22,complete,1000,w3_generalisation_rows/c00022.csv.gz,a302c350f5d39ea752e6106a46915cd227f93af407077f34c948fb0d10e1fe2d
23,complete,1000,w3_generalisation_rows/c00023.csv.gz,66fa95371b1a8db30b8ce0eba4cd76b17e28e1f4363c59022b6776ba57f580bf
24,complete,1000,w3_generalisation_rows/c00024.csv.gz,cccc752c4e8a8e1020b8235126e562c81d2e87df12969ed1ed4bb20f10437cd9
25,complete,1000,w3_generalisation_rows/c00025.csv.gz,a6b455b984ab5905437669418174ceafd1d0596f23c3b450b92246ce499a011e
26,complete,1000,w3_generalisation_rows/c00026.csv.gz,7e4e63330c5eae733c73278b9cec93023b5ac8ddbd285b1d866c23b2f470902d
27,complete,1000,w3_generalisation_rows/c00027.csv.gz,c264b7a35d9883f8bb9e8d92bfd42cc4a31cf20a99e6818f943feab6ca2ff9ec
28,complete,1000,w3_generalisation_rows/c00028.csv.gz,576b861440ada03d618291eeec9bd9e9ccb3008ba348494842e0fa43a86dbc03
29,complete,1000,w3_generalisation_rows/c00029.csv.gz,ebf576d53bbf832010d861f1cc2d24e191303c15be127c59369ceb7d96963239
