coverage_axis,coverage_value,row_count,coverage_note
source_outcome_class,accepted,6011,observed
source_outcome_class,boundary_terminal,6011,observed
source_outcome_class,failed,6010,observed
source_outcome_class,rejected,6010,observed
source_outcome_class,weak,5958,observed
source_boundary_use_class,hard_failure_or_rejected,12020,observed
source_boundary_use_class,continuation_valid,11969,observed
source_boundary_use_class,episode_terminal_useful_or_trainable,6011,observed
environment_instance_environment_mode,w3_randomised,30000,observed
implementation_instance_latency_case,nominal,15024,observed
implementation_instance_latency_case,conservative,14976,observed
plant_instance_plant_adjustment_status,randomised_partly_applied,30000,observed
outcome_class,failed,7802,observed
outcome_class,accepted,7494,observed
outcome_class,rejected,6188,observed
outcome_class,boundary_terminal,5699,observed
outcome_class,weak,2817,observed
boundary_use_class,hard_failure_or_rejected,13990,observed
boundary_use_class,continuation_valid,10311,observed
boundary_use_class,episode_terminal_useful_or_trainable,5699,observed
