t (s),x (m),y (m),ψ (rad),ψ (deg),p (rad/s),ϕ (deg),δ_A_roll (deg)
0.0,0.0,2.5,-0.44913594725538963,-25.733594205344176,1.1485680783469887e-23,4.2724228644515107e-39,-3.2218803352233036e-23
0.009915743686906047,0.04646571362700336,2.4776039982511215,-0.44913594725538963,-25.733594205344176,3.176583328161302e-24,6.525362870479784e-24,5.149860550061718e-07
0.019831487373812094,0.09293142725400672,2.4552079965022426,-0.44913594725538963,-25.733594205344176,3.519842796221901e-08,4.0527806844432974e-24,2.1764607314866613e-07
0.02974723106071814,0.13939714088101007,2.432811994753364,-0.44913594725538963,-25.733594205344176,3.591632883711392e-08,1.999729217032188e-08,2.249755237945629e-07
0.03966297474762419,0.18586285450801343,2.4104159930044853,-0.44913594724886324,-25.73359420497024,3.684642449073335e-08,4.0402445554217336e-08,2.339166145698002e-07
0.04957871843453024,0.23232856813516298,2.38801999125591,-0.4491359472356773,-25.733594204214743,3.8013516837554003e-08,6.133601442734345e-08,2.447384168746483e-07
0.05949446212143628,0.2787942817626078,2.3656239895079474,-0.4491359472156593,-25.733594203067796,3.945082231019103e-08,8.293264378357286e-08,2.577973950926603e-07
0.06941020580834233,0.325259995390501,2.343227987760915,-0.44913594718859295,-25.733594201517008,4.1202560456144845e-08,1.0534584987741074e-07,2.73570588814002e-07
0.07932594949524838,0.3717257090190003,2.32083198601514,-0.44913594715421173,-25.73359419954711,4.3327769273922605e-08,1.287542714265605e-07,2.92705933982056e-07
0.08924169318215443,0.41819142264826964,2.298435984270963,-0.44913594711219085,-25.73359419713949,4.590602527443633e-08,1.533700884223909e-07,3.1610073649519214e-07
0.09915743686906048,0.4646571362784801,2.2760399825287383,-0.4491359470621362,-25.73359419427157,4.904622630406804e-08,1.7945069068043522e-07,3.450282056067814e-07
0.10907318055596651,0.5111228499098115,2.2536439807888393,-0.4491359470035698,-25.733594190915962,5.290049000287101e-08,2.0731533617843594e-07,3.813497574316877e-07
0.11898892424287257,0.5575885635424546,2.2312479790516617,-0.4491359469359093,-25.7335941870393,5.7686972481346255e-08,2.373697055291349e-07,4.278885920143771e-07
0.12890466792977862,0.604054277176613,2.208851977317628,-0.44913594685844016,-25.733594182600648,6.372904201785377e-08,2.7014342043393093e-07,4.891260930526806e-07
0.13882041161668465,0.6505199908125064,2.1864559755871937,-0.44913594677027485,-25.733594177549147,7.152629369108324e-08,3.063498178995683e-07,5.725958979921929e-07
0.14873615530359072,0.6969857044503743,2.1640599738608564,-0.449135946670293,-25.73359417182061,8.189228218149062e-08,3.4698607001673906e-07,6.919383855011732e-07
0.15865189899049675,0.7434514180904815,2.1416639721391646,-0.44913594655704886,-25.733594165332196,9.624562346203576e-08,3.9351155391151545e-07,8.74435177975343e-07
0.1685676426774028,0.7899171317331249,2.1192679704227353,-0.4491359464286204,-25.73359415797379,1.1729897737714001e-07,4.481916053771927e-07,3.518842808419566e-07
0.17848338636430885,0.8363828453786447,2.096871968712273,-0.4491359462823463,-25.7335941495929,9.416858214999911e-08,5.148327043606001e-07,1.1609818458539662
0.1883991300512149,0.8828485590274403,2.0744759670086075,-0.44913594611432295,-25.73359413996587,0.0793512066175019,5.683327257973446e-07,3.639915195699484
0.19831487373812096,0.9293142726799991,2.0520799653127493,-0.449135945928839,-25.733594129338424,0.29621588416164724,0.04508239029650665,6.118849214237607
0.208230617425027,0.9757799863367119,2.02968396362551,-0.4491212326100476,-25.732751118269046,0.5952821797934,0.21337159876424447,8.59778289492951
0.21814636111193303,1.0222460295079077,2.0072886456055525,-0.4490515952594526,-25.72876119198348,0.9434861665266975,0.5515694207207205,11.076714394693724
0.2280621047988391,1.0687136321170496,1.984896563412033,-0.4488715767267582,-25.71844688982595,1.321063073458102,1.0875924655834717,10.39246001593283
0.23797784848574513,1.11518526496302,1.9625128466109345,-0.44851658193870464,-25.69810718672134,1.4999998320260557,1.8381283782589004,8.82748959204031
0.24789359217265117,1.1616648409834174,1.9401456284073546,-0.4479164752176946,-25.663723604350032,1.4999998854382568,2.6903236788176295,8.827489566350554
0.25780933585955723,1.2081578313516834,1.9178063069355913,-0.4470378017906702,-25.613379325411238,1.4999999156106514,3.5425190097214463,8.827489585756176
0.2677250795464633,1.2546704327377283,1.8955078462374773,-0.44588017196363783,-25.54705202208382,1.4999999349731645,4.394714357767114,8.827489613355157
0.2776408232333693,1.301208816315285,1.8732632448431916,-0.44444307149975854,-25.464712230767248,1.4999999484338504,5.246909716813211,8.827489640289542
0.28755656692027537,1.3477791195519504,1.8510855467289267,-0.442725860701282,-25.366323299480253,1.4999999583211732,6.099105083506731,8.827489664434832
0.29747231060718143,1.3943874378890468,1.8289878523018979,-0.4407277732659222,-25.251841322336016,1.499999965881814,6.951300455817538,8.827489685534626
0.30738805429408744,1.441039816283941,1.8069833294190438,-0.43844791491240437,-25.1212150607918,1.4999999718434784,7.803495832423775,8.827489703856488
0.3173037979809935,1.4877422405869423,1.78508522444567,-0.435885261769644,-24.97438585135569,1.4999999766594547,8.655691212417013,8.82748971978213
0.32721954166789957,1.5345006287242624,1.7633068733601958,-0.43303865852325046,-24.811287499389106,1.499999980626795,9.507886595146353,8.827489733680219
0.3371352853548056,1.5813208216577692,1.7416617129109953,-0.4299068163121224,-24.631846158590548,1.4999999839482654,10.360081980129657,8.827489745871384
0.34705102904171165,1.6282085740913832,1.720163291831144,-0.42648831036689344,-24.435980195688547,1.4999999867669882,11.212277366999992,8.827489756623935
0.3569667727286177,1.6751695448929722,1.698825282116675,-0.42278157738091043,-24.223600039809796,1.4999999891868567,12.064472755471728,8.827489766159207
0.3668825164155237,1.7222092871994668,1.6776614903736755,-0.41878491260327944,-23.99460801592295,1.499999991285103,12.916668145318264,8.827489774659101
0.3767982601024298,1.769333238171651,1.6566858692392816,-0.41449646664229345,-23.748898161688526,1.4999999931203265,13.768863536356877,8.827489782273286
0.38671400378933585,1.8165467083636728,1.6359125288812764,-0.4099142419662524,-23.486356026970675,1.499999994737786,14.621058928438135,8.827489789125408
0.3966297474762419,1.8638548706707534,1.6153557485806223,-0.40503608908728855,-23.206858455186453,1.4999999961729866,15.473254321438324,8.827489795318115
0.4065454911631479,1.9112627488168459,1.5950299884007983,-0.39985970241230784,-22.9102733455823,1.4999999974541685,16.32544971525389,8.827489800937109
0.416461234850054,1.9587752053420935,1.5749499009473302,-0.39438261574354344,-22.596459395434735,1.4999999986040702,17.177645109797336,8.827489806054363
0.42637697853696005,2.0063969290478485,1.555130343220297,-0.3886021974094668,-22.2652658210721,1.4999999996412035,18.029840504994077,8.827489810730674
0.43629272222386606,2.0541324218547294,1.5355863885619714,-0.3825156450049092,-21.916532056505748,1.500000000580789,18.882035900780043,8.82748981501767
0.4462084659107721,2.1019859850266878,1.5163333387009796,-0.3761199797171925,-21.550087428341257,1.5000000014354544,19.734231297099814,8.82748981895945
0.4561242095976782,2.14996170471133,1.4973867358935347,-0.36941204021282653,-21.16575080551201,1.5000000022157625,20.586426693905153,8.827489822593872
0.4660399532845842,2.198063436743754,1.4787623751613288,-0.36238847605689317,-20.763330222237663,1.5000000029306146,21.438622091153807,8.827489825953593
0.47595569697149026,2.2462947906579163,1.4604763166245833,-0.35504574063456695,-20.342622472457162,1.5000000035875634,22.290817488808585,8.827489829066915
0.4858714406583963,2.294659112845999,1.4425448979275086,-0.3473800835413023,-19.903412673818572,1.5000000041930583,23.1430128868366,8.827489831958479
0.49578718434530233,2.343159468802393,1.424984746752033,-0.33938754240501007,-19.445473799124333,1.5000000047526392,23.995208285208612,8.827489834649828
0.5057029280322084,2.3917986243847094,1.407812793414055,-0.33106393410002477,-18.968566172928636,1.5000000052710891,24.84740368389854,8.827489837159856
0.5156186717191145,2.440579026019663,1.3910462835346837,-0.322404845308784,-18.4724369307615,1.5000000057525595,25.699599082883015,8.82748983950523
0.5255344154060205,2.4895027797766844,1.3747027907768676,-0.3134056223828617,-17.956819438208782,1.5000000062006709,26.551794482141027,8.82748984170067
0.5354501590929266,2.538571629226694,1.3588002296355057,-0.3040613604502714,-17.4214326668066,1.500000006618593,27.403989881653626,8.82748984375923
