layout_branch_id,fan_layout,w0_environment_mode,w1_environment_mode,w0_trial_count,w1_trial_count,paired_join_count,w0_success_w1_valid_count,w0_failed_w1_valid_count,w1_nominal_valid_count,paired_summary_label,paired_key_contract,paired_join_key_contract
single_fan_branch,single_fan,W0_single_fan_branch,W1_single_fan,25000,100000,25000,84,130,1715,W0_failed_W1_valid_single_fan,paired_sample_key|layout_branch_id|fan_layout|family|target_heading_deg|direction_sign|start_class|seed|latency_case,paired_sample_key|layout_branch_id|fan_layout|family|target_heading_deg|direction_sign|start_class|seed|latency_case
four_fan_branch,four_fan,W0_four_fan_branch,W1_four_fan,25000,100000,25000,114,135,1864,W0_failed_W1_valid_four_fan,paired_sample_key|layout_branch_id|fan_layout|family|target_heading_deg|direction_sign|start_class|seed|latency_case,paired_sample_key|layout_branch_id|fan_layout|family|target_heading_deg|direction_sign|start_class|seed|latency_case
