boundary_use_class,continuation_valid,episode_terminal_useful,outcome_class,row_count
blocked,False,False,rejected,34560
continuation_valid,True,False,accepted,12928
continuation_valid,True,False,weak,12922
episode_terminal_useful,False,True,weak,2304
hard_failure,False,False,failed,14086
