cluster_id,medoid_sample_id,primitive_id,fan_branch,W_layer,latency_case,entry_source,outcome_class,primitive_family,dwell_time_s,energy_residual_m,minimum_margin_m,exit_speed_m_s,failure_label,recommended_use,is_medoid,controller_mode,feedback_mode,claim_status,evidence_role
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000004,fg_20260522_four_fan_branch_W1_000004__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,energy_retaining_bank,0.0,0.0,0.1479391300400001,4.32989319828,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000012,fg_20260522_four_fan_branch_W1_000012__W0__energy_retaining_bank,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,energy_retaining_bank,0.0,0.0,0.0836338570500001,4.27532064512,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=glide|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000004,fg_20260522_four_fan_branch_W1_000004__W0__glide,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,glide,0.0,0.0,0.1479391300400001,4.32989319828,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=glide|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000012,fg_20260522_four_fan_branch_W1_000012__W0__glide,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,glide,0.0,0.0,0.0836338570500001,4.27532064512,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000004,fg_20260522_four_fan_branch_W1_000004__W0__lift_dwell_arc,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,lift_dwell_arc,0.0,0.0,0.1479391300400001,4.32989319828,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_dwell_arc|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000012,fg_20260522_four_fan_branch_W1_000012__W0__lift_dwell_arc,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,lift_dwell_arc,0.0,0.0,0.0836338570500001,4.27532064512,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_entry|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000004,fg_20260522_four_fan_branch_W1_000004__W0__lift_entry,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,lift_entry,0.0,0.0,0.1479391300400001,4.32989319828,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=lift_entry|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000012,fg_20260522_four_fan_branch_W1_000012__W0__lift_entry,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,lift_entry,0.0,0.0,0.0836338570500001,4.27532064512,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000004,fg_20260522_four_fan_branch_W1_000004__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.1479391300400001,4.32989319828,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=mild_coordinated_turn_left|latency_case=nominal|entry_source=local_robustness_shell|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260522_four_fan_branch_W1_000012,fg_20260522_four_fan_branch_W1_000012__W0__mild_coordinated_turn_left,four_fan_branch,W0,nominal,local_robustness_shell,blocked_partial,mild_coordinated_turn_left,0.0,0.0,0.0836338570500001,4.27532064512,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
