primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
energy_retaining_bank,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,490
energy_retaining_bank,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,2
energy_retaining_bank,transition_object,boundary_near,safe_terminal,True,,788
energy_retaining_bank,transition_object,inflight_stable,boundary_near,True,,4139
energy_retaining_bank,transition_object,inflight_stable,inflight_stable,True,,621
energy_retaining_bank,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,360
energy_retaining_bank,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,2207
energy_retaining_bank,transition_object,launch_gate,inflight_stable,True,,2912
energy_retaining_bank,transition_object,launch_gate,post_launch_degraded,True,,1
energy_retaining_bank,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,786
energy_retaining_bank,transition_object,recoverable_degraded,inflight_stable,True,,201
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,10
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,270
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,True,,13
glide,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,490
glide,transition_object,boundary_near,safe_terminal,True,,790
glide,transition_object,inflight_stable,boundary_near,True,,4142
glide,transition_object,inflight_stable,inflight_stable,True,,616
glide,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,362
glide,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,2207
glide,transition_object,launch_gate,inflight_stable,True,,2911
