boundary_use_class,continuation_valid,episode_terminal_useful,outcome_class,row_count
continuation_valid,True,False,accepted,37170
continuation_valid,True,False,weak,58910
episode_terminal_useful,False,True,weak,6315
hard_failure,False,False,failed,5
