stage_id,library_size_case_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,launch_gate_entry_primitive_family_count,active_primitive_family_count,launch_gate_candidate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,entry_role_rejection_count,rejection_rate,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,credible_launch_gate_outcome,r5_launch_entry_gate_passed,first_decision_audit_mode
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,507,856,0,0,0,1363,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,glide,glide,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,501,864,0,0,0,1365,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,499,867,0,0,0,1366,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,495,870,0,0,0,1365,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,503,862,0,0,0,1365,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,508,855,0,0,0,1363,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,503,861,0,0,0,1364,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,509,855,0,0,0,1364,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,69,277,0,0,0,346,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,72,273,0,0,0,345,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,75,274,0,0,0,349,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,70,274,0,0,0,344,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,68,268,0,0,0,336,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,76,279,0,0,0,355,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,78,266,0,0,0,344,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,71,274,0,0,0,345,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,71,140,0,0,0,211,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,72,138,0,0,0,210,0,0,True,False,not_applicable_w01
