library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,120,120
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,120,120
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,120,120
balanced_cluster,no_memory_baseline,final_heldout,120,120
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,82,82
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,82,82
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,82,82
heavy_cluster,no_memory_baseline,final_heldout,82,82
light_cluster,directional_3d_residual_memory_h10,final_heldout,212,212
light_cluster,directional_3d_residual_memory_h3,final_heldout,212,212
light_cluster,directional_3d_residual_memory_h30,final_heldout,212,212
light_cluster,no_memory_baseline,final_heldout,212,212
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,713,713
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,715,715
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,718,718
no_cluster_no_merge,no_memory_baseline,final_heldout,711,711
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,429,429
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,429,429
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,429,429
super_light_cluster,no_memory_baseline,final_heldout,429,429
