launch_role,episode_interpretation_label,row_count
final_heldout,claim_bearing_hard_failure,207
final_heldout,claim_bearing_rollout,728
final_heldout,no_viable_primitive,65
history,claim_bearing_hard_failure,2301
history,claim_bearing_rollout,7142
history,expected_low_energy_dry_air_sink_not_governor_failure,571
history,no_viable_primitive,736
