surface_index,surface_name,command_level_norm,scenario_count,median_deflection_deg,mean_deflection_deg,between_scenario_std_deg,min_deflection_deg,max_deflection_deg,median_within_hold_std_deg,step_from_previous_norm,step_from_previous_deg,abs_step_from_previous_deg
1,Aileron_L,-1,5,-24.3572414621231,-24.115070211754,0.591900315898737,-24.778354667443,-23.3366229644155,0,NaN,NaN,NaN
1,Aileron_L,-0.8,4,-25.0975401161326,-24.7380669185868,1.30183833056871,-25.7772215220184,-22.9799659200636,0.625074032089473,0.2,-0.740298654009493,0.740298654009493
1,Aileron_L,-0.75,1,-28.4826261609062,-28.4826261609062,0,-28.4826261609062,-28.4826261609062,0.36625325928582,0.05,-3.38508604477357,3.38508604477357
1,Aileron_L,-0.6,4,-22.5710575562836,-22.7966857656385,0.927203915752798,-24.1121508531699,-21.932477096817,2.39555678052393,0.15,5.91156860462256,5.91156860462256
1,Aileron_L,-0.5,1,-15.9998859271773,-15.9998859271773,0,-15.9998859271773,-15.9998859271773,0.286068895348651,0.1,6.57117162910632,6.57117162910632
1,Aileron_L,-0.45,4,-15.6114100950306,-16.3547697357416,2.54782069658363,-19.949476345677,-14.2467824072282,2.04044715329283,0.05,0.388475832146655,0.388475832146655
1,Aileron_L,-0.3,5,-9.53366251458157,-11.6192036915663,3.19846566613127,-16.2144470994331,-9.17150112292484,0.820745711988571,0.15,6.07774758044904,6.07774758044904
1,Aileron_L,-0.2,4,-9.62786713312314,-9.38135565409907,0.896760464379012,-10.1130902584519,-8.1565980916981,1.29016120543776,0.1,-0.0942046185415641,0.0942046185415641
1,Aileron_L,-0.15,2,-6.09829013686748,-6.09829013686748,2.25091684902618,-7.68992870470095,-4.50665156903401,4.19097498161513,0.05,3.52957699625566,3.52957699625566
1,Aileron_L,-0.125,1,-5.39720412780088,-5.39720412780088,0,-5.39720412780088,-5.39720412780088,4.48046694181295,0.025,0.701086009066604,0.701086009066604
1,Aileron_L,-0.1,4,-4.46830034375619,-3.80455639226768,2.09125370660061,-5.51866574636929,-0.762959135189033,2.4560659696103,0.025,0.928903784044686,0.928903784044686
1,Aileron_L,-0.075,1,-3.37433202509437,-3.37433202509437,0,-3.37433202509437,-3.37433202509437,3.03452293299415,0.025,1.09396831866182,1.09396831866182
1,Aileron_L,-0.05,1,-2.63683036944425,-2.63683036944425,0,-2.63683036944425,-2.63683036944425,2.63344279173537,0.025,0.737501655650119,0.737501655650119
1,Aileron_L,0,5,0.0203986512684016,-0.00111922606805077,0.0993800742883444,-0.151871015428794,0.110756149168488,1.00263029899344,0.05,2.65722902071265,2.65722902071265
1,Aileron_L,0.05,1,-2.92842419424311,-2.92842419424311,0,-2.92842419424311,-2.92842419424311,1.98913798559618,0.05,-2.94882284551152,2.94882284551152
1,Aileron_L,0.075,1,-1.69092376225722,-1.69092376225722,0,-1.69092376225722,-1.69092376225722,2.07988351518163,0.025,1.23750043198589,1.23750043198589
1,Aileron_L,0.1,4,1.73548159952037,1.56665199307449,0.775403225624366,0.561747880450468,2.23389689280672,2.34321739857026,0.025,3.4264053617776,3.4264053617776
1,Aileron_L,0.125,1,2.33723408128753,2.33723408128753,0,2.33723408128753,2.33723408128753,1.46944113489013,0.025,0.601752481767158,0.601752481767158
1,Aileron_L,0.15,2,1.04752763516715,1.04752763516715,0.127137505474889,0.957627842902717,1.13742742743159,1.40226563976511,0.025,-1.28970644612038,1.28970644612038
1,Aileron_L,0.2,4,2.15959502558912,2.38534533286042,1.07833667055662,1.3405131646523,3.88167811561115,0.570883251680374,0.05,1.11206739042196,1.11206739042196
1,Aileron_L,0.3,5,5.72907398883725,5.35817208280118,1.13288665658107,3.35188202140595,6.07010080311813,0.655426968974493,0.1,3.56947896324813,3.56947896324813
1,Aileron_L,0.45,4,9.50973643144491,9.74872972213207,1.05864061779494,8.73879246309088,11.2366535625476,0.734187739068808,0.15,3.78066244260766,3.78066244260766
1,Aileron_L,0.5,1,9.08722859256381,9.08722859256381,0,9.08722859256381,9.08722859256381,2.2912197157115,0.05,-0.422507838881094,0.422507838881094
1,Aileron_L,0.6,4,11.2377562879803,10.9467417837204,0.94134890771601,9.61308475190179,11.6983698070193,1.49941210694283,0.1,2.1505276954165,2.1505276954165
1,Aileron_L,0.75,1,13.0342709179305,13.0342709179305,0,13.0342709179305,13.0342709179305,0.343323702432837,0.15,1.79651462995022,1.79651462995022
1,Aileron_L,0.8,4,15.5955352255096,15.3649082742923,1.7320682567661,13.0450828067982,17.223479839352,1.28084920982844,0.05,2.56126430757906,2.56126430757906
1,Aileron_L,1,5,18.3187222409119,18.3426692692578,0.545201569578775,17.6130905252022,19.1373136234835,0.202929238018237,0.2,2.72318701540234,2.72318701540234
2,Aileron_R,-0.8,1,-25.2088333023464,-25.2088333023464,0,-25.2088333023464,-25.2088333023464,0.26742068285209,NaN,NaN,NaN
2,Aileron_R,-0.75,1,-23.8768283047529,-23.8768283047529,0,-23.8768283047529,-23.8768283047529,0,0.05,1.33200499759347,1.33200499759347
2,Aileron_R,-0.6,2,-14.2180659303622,-14.2180659303622,3.4542388562698,-16.6605816494686,-11.7755502112557,1.31982197375678,0.15,9.65876237439076,9.65876237439076
2,Aileron_R,-0.45,1,-12.7417087847685,-12.7417087847685,0,-12.7417087847685,-12.7417087847685,0,0.15,1.47635714559363,1.47635714559363
2,Aileron_R,-0.3,1,-0.511317114112827,-0.511317114112827,0,-0.511317114112827,-0.511317114112827,0.485002513544818,0.15,12.2303916706557,12.2303916706557
2,Aileron_R,-0.2,4,-6.73645970459958,-6.55918340230034,1.17870274453859,-7.68182623000417,-5.08198796999801,1.06113482385243,0.1,-6.22514259048675,6.22514259048675
2,Aileron_R,-0.15,2,-2.92417733386951,-2.92417733386951,3.74880049736571,-5.5749795868723,-0.273375080866711,0.478208504305558,0.05,3.81228237073008,3.81228237073008
2,Aileron_R,-0.125,1,-1.59693398724082,-1.59693398724082,0,-1.59693398724082,-1.59693398724082,2.35466748378386,0.025,1.32724334662869,1.32724334662869
2,Aileron_R,-0.1,4,-1.09706693746459,-2.02704339482638,2.53175958379432,-5.73729843845966,-0.176741265916692,0,0.025,0.499867049776227,0.499867049776227
2,Aileron_R,-0.075,1,-1.48687847053712,-1.48687847053712,0,-1.48687847053712,-1.48687847053712,3.85410875377267,0.025,-0.389811533072527,0.389811533072527
2,Aileron_R,-0.05,1,-0.894448029818516,-0.894448029818516,0,-0.894448029818516,-0.894448029818516,2.85303699393881,0.025,0.592430440718601,0.592430440718601
2,Aileron_R,0,5,-0.139030645686652,-0.36991235658499,0.72965894792222,-1.43174057274164,0.310900682860491,1.37405683420027,0.05,0.755417384131864,0.755417384131864
2,Aileron_R,0.05,1,-2.54139710909502,-2.54139710909502,0,-2.54139710909502,-2.54139710909502,0,0.05,-2.40236646340837,2.40236646340837
2,Aileron_R,0.075,1,2.07822505583136,2.07822505583136,0,2.07822505583136,2.07822505583136,6.5751713591573,0.025,4.61962216492638,4.61962216492638
2,Aileron_R,0.1,4,6.92525060030222,4.74757870298024,5.52685998382533,-3.28168004125409,8.42149365257061,0.585383578483824,0.025,4.84702554447085,4.84702554447085
2,Aileron_R,0.125,1,5.37742031716011,5.37742031716011,0,5.37742031716011,5.37742031716011,5.83303168636978,0.025,-1.5478302831421,1.5478302831421
2,Aileron_R,0.15,2,9.55700745947308,9.55700745947308,0.223393477391026,9.39904441673704,9.71497050220912,2.23342169229755,0.025,4.17958714231297,4.17958714231297
2,Aileron_R,0.2,4,7.49446236698388,8.13851730342931,2.68742026766634,5.98971287368802,11.5754316060614,1.18655398739264,0.05,-2.0625450924892,2.0625450924892
2,Aileron_R,0.3,5,9.14823061303957,9.2499300256241,2.48273754444752,5.56740396733516,12.1836581091466,2.32400769803994,0.1,1.65376824605568,1.65376824605568
2,Aileron_R,0.45,4,15.6322249648843,15.7027358871121,1.77710227720331,13.8352902011542,17.7112034175257,0.63179387499752,0.15,6.48399435184471,6.48399435184471
2,Aileron_R,0.5,1,20.2042601042809,20.2042601042809,0,20.2042601042809,20.2042601042809,2.50145883297741,0.05,4.57203513939661,4.57203513939661
2,Aileron_R,0.6,4,18.8335677574919,19.8808378308635,3.90658681206771,16.5980605180003,25.2581552904697,2.53154499385265,0.1,-1.37069234678899,1.37069234678899
2,Aileron_R,0.75,1,28.7952550600229,28.7952550600229,0,28.7952550600229,28.7952550600229,1.93355593007988,0.15,9.96168730253099,9.96168730253099
2,Aileron_R,0.8,4,31.3068139319897,31.090037729222,1.24450458219134,29.5372101838515,32.2093128690571,2.24171356557135,0.05,2.51155887196681,2.51155887196681
