model_id,split,residual_metric,launch_variable,sample_count,pearson_r,abs_pearson_r,slope,intercept,residual_mean,launch_variable_mean
baseline_active,train,dy,v0_m_s,82,0.3914193069,0.3914193069,1.446815744,-1.728944549,-0.3847426752,0.9290760617
baseline_active,train,dy,p0_rad_s,82,-0.2031771285,0.2031771285,-0.6218280091,-0.1517439314,-0.3847426752,0.3746996603
baseline_active,train,dy,r0_rad_s,82,-0.2857423052,0.2857423052,-1.65265962,-0.7156062432,-0.3847426752,-0.2002006729
baseline_active,train,dy,phi0_deg,82,-0.420038117,0.420038117,-0.1334217711,0.8821527512,-0.3847426752,9.495417546
baseline_active,train,dy,psi0_deg,82,-0.5279759862,0.5279759862,-0.1840449791,-1.298988763,-0.3847426752,-4.967514418
baseline_active,train,roll,v0_m_s,82,-0.04316408394,0.04316408394,-2.90400341,-9.831959916,-12.52999997,0.9290760617
baseline_active,train,roll,p0_rad_s,82,-0.123746796,0.123746796,-6.893392959,-9.947047968,-12.52999997,0.3746996603
baseline_active,train,roll,r0_rad_s,82,0.02276050851,0.02276050851,2.396042094,-12.05031073,-12.52999997,-0.2002006729
baseline_active,train,roll,phi0_deg,82,-0.01947649082,0.01947649082,-0.1126036116,-11.46078166,-12.52999997,9.495417546
baseline_active,train,roll,psi0_deg,82,0.0004055703469,0.0004055703469,0.002573235944,-12.51721738,-12.52999997,-4.967514418
baseline_active,train,yaw,v0_m_s,82,0.1395106082,0.1395106082,3.855412564,-3.824657706,-0.2426861842,0.9290760617
baseline_active,train,yaw,p0_rad_s,82,0.09246063796,0.09246063796,2.115655694,-1.035421654,-0.2426861842,0.3746996603
baseline_active,train,yaw,r0_rad_s,82,-0.3546463391,0.3546463391,-15.33546668,-3.312856933,-0.2426861842,-0.2002006729
baseline_active,train,yaw,phi0_deg,82,0.427806437,0.427806437,1.015963153,-9.889680533,-0.2426861842,9.495417546
baseline_active,train,yaw,psi0_deg,82,-0.2091736437,0.2091736437,-0.5451417065,-2.950685471,-0.2426861842,-4.967514418
baseline_active,heldout,dy,v0_m_s,14,0.657271417,0.657271417,1.384458214,-1.426883842,-0.4269795117,0.7222351098
