model_id,split,regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
baseline_active,train,attached,3339,82,0.08781245213,0.1332869323,0.08582146426,0.1897330637,5.825271107,4.887314447,2.472838528
baseline_active,train,transition,9407,82,0.1447479371,0.2143634613,0.2304838124,0.3618764701,9.626576319,5.97432767,4.134097328
baseline_active,train,post_stall,1772,31,0.1939883975,0.362447037,0.2490533078,0.3374179008,12.97866654,5.737879143,8.164265568
baseline_active,heldout,attached,604,14,0.1363154499,0.2481553512,0.1547674669,0.2488788108,7.194651087,4.360752669,1.857141694
baseline_active,heldout,transition,1630,14,0.1449393623,0.2505827647,0.2772186628,0.4305584657,8.519400161,6.549863485,3.256526839
baseline_active,heldout,post_stall,164,5,0.2729347492,0.2408226327,0.3392774169,0.5036501123,13.52084962,4.838585408,3.930783097
coefficient_candidate,train,attached,3339,82,0.08781245213,0.1332869323,0.08582146426,0.1897330637,5.825271107,4.887314447,2.472838528
coefficient_candidate,train,transition,9407,82,0.1447479371,0.2143634613,0.2304838124,0.3618764701,9.626576319,5.97432767,4.134097328
coefficient_candidate,train,post_stall,1772,31,0.1939883975,0.362447037,0.2490533078,0.3374179008,12.97866654,5.737879143,8.164265568
coefficient_candidate,heldout,attached,604,14,0.1363154499,0.2481553512,0.1547674669,0.2488788108,7.194651087,4.360752669,1.857141694
coefficient_candidate,heldout,transition,1630,14,0.1449393623,0.2505827647,0.2772186628,0.4305584657,8.519400161,6.549863485,3.256526839
coefficient_candidate,heldout,post_stall,164,5,0.2729347492,0.2408226327,0.3392774169,0.5036501123,13.52084962,4.838585408,3.930783097
lateral_diagnostic_candidate,train,attached,3339,82,0.2369593972,0.2163380302,0.1650304116,0.2685415253,26.26133071,10.51456548,20.97757945
lateral_diagnostic_candidate,train,transition,9407,82,0.2784733396,0.3248880595,0.3426105571,0.4867732149,48.99807296,18.3301479,49.03464738
lateral_diagnostic_candidate,train,post_stall,1772,31,0.2483952232,0.4392692841,0.3603302162,0.4743237421,62.77836963,33.55691571,51.52379316
lateral_diagnostic_candidate,heldout,attached,604,14,0.2588090195,0.3859632911,0.2565708223,0.3440694825,27.9850849,12.22899294,20.83659833
lateral_diagnostic_candidate,heldout,transition,1630,14,0.2990019929,0.3425318124,0.3661855599,0.5270881923,46.19462705,19.81333512,49.64615262
lateral_diagnostic_candidate,heldout,post_stall,164,5,0.4126057438,0.1944643843,0.4052821044,0.5836944139,49.07855155,32.05987917,76.60108559
