candidate_id,baseline_model_id,term,regime_family,split,fit_sample_count,fit_used_sample_count,fit_coefficient,fit_sign,parameter_keys_json,baseline_dy_mae_m,candidate_dy_mae_m,delta_dy_mae_m,baseline_roll_mae_deg,candidate_roll_mae_deg,delta_roll_mae_deg,baseline_yaw_mae_deg,candidate_yaw_mae_deg,delta_yaw_mae_deg,baseline_dx_mae_m,candidate_dx_mae_m,delta_dx_mae_m,baseline_altitude_loss_mae_m,candidate_altitude_loss_mae_m,delta_altitude_loss_mae_m,baseline_sink_mae_m_s,candidate_sink_mae_m_s,delta_sink_mae_m_s,baseline_pitch_mae_deg,candidate_pitch_mae_deg,delta_pitch_mae_deg,accepted,acceptance_reason
attached_CY_beta,primary_longitudinal,CY_beta,attached,train,3421,3418,0.7430971377,positive,"[""side_force_beta_coeff""]",0.6200218012,2.525469616,1.905447815,17.40702401,14.84582496,-2.561199048,7.358902356,30.72239319,23.36349083,0.4698497701,0.5035227061,0.03367293603,0.3617056474,0.3749658502,0.01326020281,0.2563390999,0.2541638509,-0.002175249005,6.080566508,16.00756681,9.927000299,,
attached_CY_beta,primary_longitudinal,CY_beta,attached,heldout,3421,3418,0.7430971377,positive,"[""side_force_beta_coeff""]",0.5929179065,1.966076329,1.373158422,15.60615516,16.18771286,0.5815577024,4.026829856,28.29824179,24.27141194,0.2533052249,0.306231192,0.0529259671,0.3322518425,0.370203975,0.0379521325,0.2867404885,0.3194529137,0.03271242517,4.68272461,9.104971304,4.422246695,False,rejected_lateral_metrics_not_all_improved
transition_CY_beta,primary_longitudinal,CY_beta,transition,train,9407,9356,2.089068854,positive,"[""transition_side_force_beta_coeff""]",0.6200218012,0.6424661809,0.02244437976,17.40702401,17.46061814,0.05359412773,7.358902356,7.658005318,0.299102962,0.4698497701,0.4683600358,-0.001489734345,0.3617056474,0.3654664604,0.003760812969,0.2563390999,0.2595734054,0.003234305556,6.080566508,6.089035593,0.008469085742,,
transition_CY_beta,primary_longitudinal,CY_beta,transition,heldout,9407,9356,2.089068854,positive,"[""transition_side_force_beta_coeff""]",0.5929179065,0.6269061694,0.0339882629,15.60615516,15.79801094,0.1918557845,4.026829856,4.994787342,0.9679574864,0.2533052249,0.2524627845,-0.0008424404674,0.3322518425,0.33485006,0.002598217457,0.2867404885,0.2888963836,0.002155895011,4.68272461,4.653145424,-0.02957918542,False,rejected_lateral_metrics_not_all_improved
post_stall_CY_beta,primary_longitudinal,CY_beta,post_stall,train,1772,1770,2,positive,"[""post_stall_side_force_beta_rbf_20_coeff""]",0.6200218012,0.7439724912,0.12395069,17.40702401,17.23155998,-0.1754640292,7.358902356,8.517172018,1.158269662,0.4698497701,0.466160911,-0.003688859064,0.3617056474,0.3760808313,0.01437518387,0.2563390999,0.2683741172,0.01203501738,6.080566508,6.0588625,-0.02170400735,,
post_stall_CY_beta,primary_longitudinal,CY_beta,post_stall,heldout,1772,1770,2,positive,"[""post_stall_side_force_beta_rbf_20_coeff""]",0.5929179065,0.6885077161,0.09558980958,15.60615516,15.716205,0.1100498437,4.026829856,7.488819553,3.461989697,0.2533052249,0.2455782852,-0.00772693976,0.3322518425,0.3419545982,0.009702755703,0.2867404885,0.2944905779,0.007750089361,4.68272461,4.583246888,-0.09947772187,False,rejected_lateral_metrics_not_all_improved
attached_CY_p,primary_longitudinal,CY_p,attached,train,3421,3415,-1.476517902,negative,"[""side_force_p_hat_coeff""]",0.6200218012,0.6141843353,-0.005837465912,17.40702401,17.51875334,0.1117293299,7.358902356,7.31095195,-0.04795040561,0.4698497701,0.4690937787,-0.0007559914058,0.3617056474,0.3612090073,-0.0004966401061,0.2563390999,0.2559027226,-0.0004363773086,6.080566508,6.106117138,0.02555063082,,
attached_CY_p,primary_longitudinal,CY_p,attached,heldout,3421,3415,-1.476517902,negative,"[""side_force_p_hat_coeff""]",0.5929179065,0.5910812522,-0.001836654317,15.60615516,15.75734724,0.1511920805,4.026829856,4.045445646,0.01861578985,0.2533052249,0.2527553349,-0.0005498900333,0.3322518425,0.3311815914,-0.001070251095,0.2867404885,0.2858314813,-0.0009090072868,4.68272461,4.651219158,-0.0315054521,False,rejected_lateral_metrics_not_all_improved
transition_CY_p,primary_longitudinal,CY_p,transition,train,9407,9407,2.246168147,positive,"[""transition_side_force_p_hat_coeff""]",0.6200218012,0.6272542464,0.007232445261,17.40702401,17.40070803,-0.006315974799,7.358902356,7.408178575,0.04927621956,0.4698497701,0.4703516223,0.0005018522382,0.3617056474,0.3622891361,0.0005834886872,0.2563390999,0.2568334899,0.0004943900749,6.080566508,6.078681218,-0.001885289595,,
transition_CY_p,primary_longitudinal,CY_p,transition,heldout,9407,9407,2.246168147,positive,"[""transition_side_force_p_hat_coeff""]",0.5929179065,0.5998450725,0.006927165939,15.60615516,15.59806819,-0.008086961574,4.026829856,4.006559362,-0.02027049404,0.2533052249,0.2536368631,0.0003316381183,0.3322518425,0.3332268037,0.0009749612086,0.2867404885,0.2875579416,0.0008174530092,4.68272461,4.688571858,0.00584724848,False,rejected_lateral_metrics_not_all_improved
