model_id,model_role,matched_candidate_id,split,regime,report_regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1634425426,0.2292150774,0.1674266619,0.2598417515,4.590477572,3.893159601,1.719345337
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1798537207,0.2570078233,0.2951544262,0.4522303601,4.348755733,6.540199594,3.13632699
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.3499476851,0.2906780605,0.3827663335,0.5651140089,8.144423317,5.197513082,9.136630013
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1586896481,0.2470483382,0.1710531232,0.2635489626,7.127103076,4.042338389,1.816799581
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1690416616,0.2489763856,0.2943663953,0.451839225,8.499749735,6.693256697,3.268270879
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.326953252,0.2352323772,0.3779740116,0.5583980604,13.50180598,4.849727907,3.97791032
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X026_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,selected_candidate,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,attached,normal,604,14,0.1623557766,0.2309670391,0.1683850624,0.2607941361,4.597081172,3.90250298,1.914939378
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,selected_candidate,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1772430154,0.2547653318,0.2948599102,0.4519789797,4.481927343,6.55645413,2.969166866
