candidate_id,selection_class,joint_pareto_profile,accepted,acceptance_reason,pareto_member,alignment_window_s,reference_candidate_id,global_reference_candidate_id,longitudinal_source_id,lateral_source_id,split,score,longitudinal_score,reference_longitudinal_score,delta_longitudinal_score,lateral_score,reference_lateral_score,delta_lateral_score,global_reference_longitudinal_score,global_delta_longitudinal_score,global_reference_lateral_score,global_delta_lateral_score,parameter_count,lateral_parameter_count,dx_mae_m,reference_dx_mae_m,delta_dx_mae_m,global_reference_dx_mae_m,global_delta_dx_mae_m,dy_mae_m,reference_dy_mae_m,delta_dy_mae_m,global_reference_dy_mae_m,global_delta_dy_mae_m,altitude_loss_mae_m,reference_altitude_loss_mae_m,delta_altitude_loss_mae_m,global_reference_altitude_loss_mae_m,global_delta_altitude_loss_mae_m,sink_mae_m_s,reference_sink_mae_m_s,delta_sink_mae_m_s,global_reference_sink_mae_m_s,global_delta_sink_mae_m_s,roll_mae_deg,reference_roll_mae_deg,delta_roll_mae_deg,global_reference_roll_mae_deg,global_delta_roll_mae_deg,pitch_mae_deg,reference_pitch_mae_deg,delta_pitch_mae_deg,global_reference_pitch_mae_deg,global_delta_pitch_mae_deg,yaw_mae_deg,reference_yaw_mae_deg,delta_yaw_mae_deg,global_reference_yaw_mae_deg,global_delta_yaw_mae_deg,parameter_updates_json
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,True,0.04,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,proposal_stage_5_stage5_transition_blend,ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p75+ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p0,heldout,9.038930128,6.927400778,6.898168128,0.02923264968,2.11152935,2.889249518,-0.7777201685,6.898168128,0.02923264968,2.889249518,-0.7777201685,4,2,0.3056862262,0.2855181765,0.0201680497,0.2855181765,0.0201680497,0.5862734557,0.6124369379,-0.02616348223,0.6124369379,-0.02616348223,0.3255193048,0.3265137476,-0.0009944428273,0.3265137476,-0.0009944428273,0.281010355,0.2818881716,-0.0008778165475,0.2818881716,-0.0008778165475,7.105448034,15.53625683,-8.430808797,15.53625683,-8.430808797,3.856822667,4.066112604,-0.2092899362,4.066112604,-0.2092899362,3.898418017,4.204628567,-0.3062105494,4.204628567,-0.3062105494,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.04160119692221671}"
jp040h_L00_proposal_stage_5_stage5__X026_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,proposal_stage_5_stage5_transition_blend,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p25+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p75,heldout,9.057536861,6.943025268,6.898168128,0.04485713975,2.114511593,2.889249518,-0.7747379255,6.898168128,0.04485713975,2.889249518,-0.7747379255,4,2,0.3124618913,0.2855181765,0.02694371474,0.2855181765,0.02694371474,0.5911666839,0.6124369379,-0.02127025408,0.6124369379,-0.02127025408,0.3253649144,0.3265137476,-0.001148833183,0.3265137476,-0.001148833183,0.2808656483,0.2818881716,-0.001022523277,0.2818881716,-0.001022523277,7.167712653,15.53625683,-8.368544177,15.53625683,-8.368544177,3.814548603,4.066112604,-0.2515640008,4.066112604,-0.2515640008,3.662972337,4.204628567,-0.54165623,4.204628567,-0.54165623,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.048876496152770885}"
jp040h_L00_proposal_stage_5_stage5__X023_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,proposal_stage_5_stage5_transition_blend,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p5+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p75,heldout,9.103984003,6.966245569,6.898168128,0.06807744124,2.137738434,2.889249518,-0.7515110848,6.898168128,0.06807744124,2.889249518,-0.7515110848,4,2,0.320931916,0.2855181765,0.03541373943,0.2855181765,0.03541373943,0.599151994,0.6124369379,-0.01328494392,0.6124369379,-0.01328494392,0.3253492883,0.3265137476,-0.001164459328,0.3265137476,-0.001164459328,0.2808375139,0.2818881716,-0.001050657713,0.2818881716,-0.001050657713,7.262860779,15.53625683,-8.273396052,15.53625683,-8.273396052,3.768533084,4.066112604,-0.29757952,4.066112604,-0.29757952,3.618920876,4.204628567,-0.5857076908,4.204628567,-0.5857076908,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.05615179538332507}"
jp040h_L00_proposal_stage_5_stage5__X027_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,proposal_stage_5_stage5_transition_blend,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p25+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p5,heldout,9.108179907,6.940808627,6.898168128,0.04264049852,2.16737128,2.889249518,-0.7218782384,6.898168128,0.04264049852,2.889249518,-0.7218782384,4,2,0.3105692468,0.2855181765,0.02505107023,0.2855181765,0.02505107023,0.5922087386,0.6124369379,-0.02022819937,0.6124369379,-0.02022819937,0.3256641737,0.3265137476,-0.0008495739235,0.3265137476,-0.0008495739235,0.2811119102,0.2818881716,-0.0007762614112,0.2818881716,-0.0007762614112,8.360151981,15.53625683,-7.17610485,15.53625683,-7.17610485,3.805905882,4.066112604,-0.2602067211,4.066112604,-0.2602067211,2.784105526,4.204628567,-1.420523041,4.204628567,-1.420523041,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.3833615276010727, ""yaw_moment_beta_coeff"": -0.048876496152770885}"
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,True,0.04,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,proposal_stage_5_stage5_transition_blend,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p0+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p5,heldout,9.122544492,6.926374769,6.898168128,0.02820664138,2.196169722,2.889249518,-0.6930797962,6.898168128,0.02820664138,2.889249518,-0.6930797962,4,2,0.3039263481,0.2855181765,0.01840817152,0.2855181765,0.01840817152,0.5878512965,0.6124369379,-0.02458564146,0.6124369379,-0.02458564146,0.3258493095,0.3265137476,-0.0006644380771,0.3265137476,-0.0006644380771,0.2812848907,0.2818881716,-0.0006032809399,0.2818881716,-0.0006032809399,8.669881806,15.53625683,-6.866375024,15.53625683,-6.866375024,3.850271234,4.066112604,-0.2158413699,4.066112604,-0.2158413699,3.01218043,4.204628567,-1.192448137,4.204628567,-1.192448137,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.3833615276010727, ""yaw_moment_beta_coeff"": -0.04160119692221671}"
jp040h_L01_active_baseline_X029_ablation_post_stall_ablation_attached_Cn,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040h_L01_active_baseline_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,active_baseline,ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p75+ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p0,heldout,9.133550025,6.988101173,6.948793451,0.03930772193,2.145448853,2.841821047,-0.6963721945,6.898168128,0.08993304465,2.889249518,-0.7438006657,2,2,0.2676333804,0.2533052249,0.01432815545,0.2855181765,-0.01788479615,0.5857055004,0.5929179065,-0.007212406106,0.6124369379,-0.02673143753,0.3330810155,0.3322518425,0.0008291729253,0.3265137476,0.006567267867,0.2873716608,0.2867404885,0.0006311722344,0.2818881716,0.005483489193,7.4886045,15.60615516,-8.117550655,15.53625683,-8.047652331,4.46598168,4.68272461,-0.2167429296,4.066112604,0.3998690766,3.956952582,4.026829856,-0.06987727381,4.204628567,-0.2476759846,"{""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.04160119692221671}"
jp040h_L01_active_baseline_X026_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040h_L01_active_baseline_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,active_baseline,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p25+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p75,heldout,9.147345687,7.000551075,6.948793451,0.05175762396,2.146794613,2.841821047,-0.6950264346,6.898168128,0.1023829467,2.889249518,-0.7424549058,2,2,0.2725079506,0.2533052249,0.01920272565,0.2855181765,-0.01301022595,0.5911965206,0.5929179065,-0.001721385918,0.6124369379,-0.02124041734,0.3329155785,0.3322518425,0.0006637359828,0.3265137476,0.006401830925,0.2872208366,0.2867404885,0.0004803480544,0.2818881716,0.005332665013,7.507312848,15.60615516,-8.098842308,15.53625683,-8.028943983,4.456863857,4.68272461,-0.2258607529,4.066112604,0.3907512534,3.733472931,4.026829856,-0.2933569251,4.204628567,-0.4711556359,"{""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.5750422914016091, ""yaw_moment_beta_coeff"": -0.048876496152770885}"
jp040h_L00_proposal_stage_5_stage5__X024_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,proposal_stage_5_stage5_transition_blend,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p5+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p5,heldout,9.16085575,6.960462702,6.898168128,0.06229457354,2.200393048,2.889249518,-0.6888564705,6.898168128,0.06229457354,2.889249518,-0.6888564705,4,2,0.3183930925,0.2855181765,0.03287491593,0.2855181765,0.03287491593,0.5985284928,0.6124369379,-0.01390844516,0.6124369379,-0.01390844516,0.3255482339,0.3265137476,-0.0009655137,0.3265137476,-0.0009655137,0.2809963417,0.2818881716,-0.0008918298556,0.2818881716,-0.0008918298556,8.10458488,15.53625683,-7.431671951,15.53625683,-7.431671951,3.762870269,4.066112604,-0.3032423351,4.066112604,-0.3032423351,3.509057831,4.204628567,-0.695570736,4.204628567,-0.695570736,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.3833615276010727, ""yaw_moment_beta_coeff"": -0.05615179538332507}"
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,True,0.04,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,proposal_stage_5_stage5_transition_blend,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s0p75+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p5,heldout,9.166986322,6.91593605,6.898168128,0.0177679224,2.251050272,2.889249518,-0.6381992464,6.898168128,0.0177679224,2.889249518,-0.6381992464,4,2,0.2982375606,0.2855181765,0.01271938409,0.2855181765,0.01271938409,0.5861195486,0.6124369379,-0.02631738936,0.6124369379,-0.02631738936,0.3260853643,0.3265137476,-0.000428383329,0.3265137476,-0.000428383329,0.2814997946,0.2818881716,-0.000388377017,0.2818881716,-0.000388377017,8.963148629,15.53625683,-6.573108201,15.53625683,-6.573108201,3.89434867,4.066112604,-0.1717639334,4.066112604,-0.1717639334,3.629400008,4.204628567,-0.5752285594,4.204628567,-0.5752285594,"{""post_stall_residual_blend_full_alpha_deg"": 18.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.3833615276010727, ""yaw_moment_beta_coeff"": -0.034325897691662534}"
jp040h_L01_active_baseline_X027_ablation_attached_Cn_ablation_post_stall,,heavy,True,accepted_lateral_metrics_improved_with_longitudinal_tolerance,False,0.04,jp040h_L01_active_baseline_X00_no_lateral,jp040h_L00_proposal_stage_5_stage5_transition_blend_X00_no_lateral,active_baseline,ablation_attached_Cn_beta__yaw_moment_beta_coeff__s1p25+ablation_post_stall_Cl_r__post_stall_roll_moment_r_hat_r__s0p5,heldout,9.198033308,6.99397378,6.948793451,0.04518032881,2.204059529,2.841821047,-0.6377615187,6.898168128,0.09580565152,2.889249518,-0.6851899898,2,2,0.2708967376,0.2533052249,0.01759151262,0.2855181765,-0.01462143898,0.5920322869,0.5929179065,-0.0008856195804,0.6124369379,-0.02040465101,0.3327400413,0.3322518425,0.0004881987947,0.3265137476,0.006226293736,0.2870752882,0.2867404885,0.0003347996977,0.2818881716,0.005187116656,8.741860262,15.60615516,-6.864294893,15.53625683,-6.794396569,4.473980941,4.68272461,-0.2087436686,4.066112604,0.4078683376,2.878989643,4.026829856,-1.147840213,4.204628567,-1.325638924,"{""post_stall_roll_moment_r_hat_rbf_20_coeff"": -0.3833615276010727, ""yaw_moment_beta_coeff"": -0.048876496152770885}"
