row_index,kept,filter_reason,session_label,case_id,throw_id,alignment_window_s,alignment_elapsed_s,phi0_deg,psi0_deg,u0_m_s,v0_m_s,w0_m_s,speed0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,launch_lateral_score,launch_confidence_weight
0,True,kept,20260604_185934,C0_neutral,v001,0.04,0.0447409,10.15115251,1.425319123,4.52892286,0.2988587272,0.8050484725,4.609616237,1.349035708,0.4825522321,-0.2222832308,0.5623979671,0.6222351456
1,True,kept,20260604_185934,C0_neutral,v002,0.04,0.04101440001,5.923221469,2.330115106,5.31934088,0.2476348365,0.4329548864,5.34267352,0.5527089424,0.2381448876,0.2482007944,0.2682152059,0.8977091989
2,True,kept,20260604_185934,C0_neutral,v003,0.04,0.04073959999,10.17682063,3.159579918,4.758216032,0.1456941695,0.6596930734,4.805938155,0.3774627274,0.3418102527,-0.2691877302,0.2879648054,0.8830392808
3,True,kept,20260604_185934,C0_neutral,v004,0.04,0.04368800001,12.61090567,-0.5877559816,4.637359889,0.6357200214,0.5625896521,4.714419774,0.1958397292,0.3068122698,-0.2436193288,0.3529931827,0.8295214751
4,True,kept,20260604_185934,C0_neutral,v005,0.04,0.07890750001,12.18937186,0.8735417327,6.02385381,0.5168470162,0.8829427166,6.110117299,0.4763741339,0.6759770798,-0.5741432309,0.3876640906,0.7981767852
5,False,aligned_v_outside_launch_gate,20260604_185934,C0_neutral,v006,0.04,0.05827329999,12.54062098,-6.143532417,5.613730419,1.644833847,0.3397646591,5.859597906,0.9926509007,0.4135558878,-0.7489550556,0.713773465,0.4657022307
6,True,kept,20260604_185934,C0_neutral,v007,0.04,0.04553399999,16.09222015,2.86507987,5.094639767,0.5770224372,0.4854814334,5.150145771,0.6771331423,0.4191060785,-0.2717644612,0.4810623246,0.7067124317
7,False,aligned_u_outside_replay_filter,20260604_185934,C0_neutral,v008,0.04,0.0449299,7.924832726,-5.683360729,2.816040728,0.7072700209,0.4446827236,2.937355782,0.2793829104,0.413324839,-0.2658913003,0.32744737,0.8514345296
8,True,kept,20260604_185934,C0_neutral,v009,0.04,0.0598373,12.51388804,-9.973365523,4.197093079,1.163463147,0.4050319097,4.374161366,0.3812928305,0.3560598013,-0.3017495629,0.5236121044,0.6628182535
9,True,kept,20260604_185934,C0_neutral,v010,0.04,0.04349890001,5.84029287,-7.132828916,4.990858515,1.193122217,0.8049163969,5.194237167,-0.03881423898,0.8057853699,-0.1612214494,0.4133325391,0.7739363207
10,True,kept,20260604_190407,C0_neutral,v001,0.04,0.0451717,9.617254825,-4.611653441,4.469457535,0.7672884163,0.8158254894,4.607640763,0.3834982066,0.6768623782,-0.1103295739,0.361094261,0.8223545935
11,True,kept,20260604_190407,C0_neutral,v002,0.04,0.042972,9.320272822,-3.882483694,4.59917093,0.7453947314,0.7784269201,4.723762803,0.1709962351,0.6237126032,0.1832167871,0.3263305472,0.8523675581
12,True,kept,20260604_190407,C0_neutral,v003,0.04,0.04315899999,14.57849878,-3.50655628,5.131054907,0.9007395535,0.4162349358,5.226117845,0.5218214034,0.2060000537,-0.2083409622,0.4743744797,0.713518638
13,True,kept,20260604_190407,C0_neutral,v004,0.04,0.04025790001,11.42876524,-2.082280814,5.550114603,0.63453049,0.4916026725,5.607858258,0.2336197744,0.738031145,-0.163898478,0.3354161907,0.8447149621
14,True,kept,20260604_190407,C0_neutral,v005,0.04,0.0446635,5.360333723,-3.549169572,5.850928209,0.6416902345,0.6771129963,5.924829894,0.2532706852,0.9187036477,-0.181821983,0.2611823324,0.9027367321
15,True,kept,20260604_190407,C0_neutral,v006,0.04,0.04498030001,16.92980903,-5.414374799,5.739206656,1.002377432,0.3705587204,5.837856398,0.3754731982,0.8025690887,-0.6350765829,0.5401444241,0.6455620164
16,True,kept,20260604_190407,C0_neutral,v007,0.04,0.04032660001,12.54599264,-1.652327964,4.963056403,0.8540331354,0.1219548191,5.037476991,0.4580205131,0.1880331376,-0.3152525433,0.4244649608,0.7631842816
17,True,kept,20260604_190407,C0_neutral,v008,0.04,0.04093959999,8.627487759,-3.308954135,5.18731261,0.8272413741,0.4923806404,5.27588657,0.5524497997,0.4530543541,-0.2723210883,0.3879268517,0.7979328257
18,True,kept,20260604_190407,C0_neutral,v009,0.04,0.0449357,5.746901468,-6.606473596,4.854798908,1.11909657,0.7644481717,5.040419683,0.11723209,0.7211419985,-0.1708005989,0.3916225095,0.7944920614
19,True,kept,20260604_190407,C0_neutral,v010,0.04,0.04499730001,11.38864004,-8.734210064,4.678633296,1.29480526,0.1666802354,4.857356532,0.2005158056,-0.121236291,-0.4959866848,0.5222905689,0.6641938977
20,True,kept,20260604_191406,C0_neutral,v001,0.04,0.04054589999,9.767401059,-6.507953638,4.839353667,1.071601384,0.4774023039,4.979516683,0.07422557727,0.45182577,-0.3581193525,0.4238317605,0.7637994366
21,True,kept,20260604_191406,C0_neutral,v002,0.04,0.0461503,7.159832573,-7.741298049,4.612298663,1.202241739,0.598441193,4.803833471,0.7579837757,0.3627249126,-0.1817591983,0.5156651599,0.6710807304
22,True,kept,20260604_191406,C0_neutral,v003,0.04,0.0463384,1.87927684,-9.204600518,3.672399432,0.8859867573,0.6523015209,3.833665009,-0.3687855509,0.5499503669,0.1246217478,0.3657204746,0.8182174075
23,True,kept,20260604_191406,C0_neutral,v004,0.04,0.04465519999,13.31624901,-8.32241567,4.996414177,1.295230633,0.3894464465,5.176238553,0.1066891639,0.6097452432,-0.3039080584,0.528863584,0.6573458207
24,True,kept,20260604_191406,C0_neutral,v005,0.04,0.04445269999,11.8877604,-4.071125373,6.176613418,0.9489349616,0.6027703524,6.278085932,0.3270798754,1.006396509,-0.2344347525,0.4209987908,0.7665464574
25,True,kept,20260604_191406,C0_neutral,v006,0.04,0.0451774,9.214174433,-6.657753209,5.236716789,1.088334697,0.4663595254,5.36890737,0.7779571872,0.4278209166,-0.1585819796,0.5054800804,0.6816321286
26,True,kept,20260604_191406,C0_neutral,v007,0.04,0.04533020001,2.272937533,-7.944417533,4.779575328,1.205837228,0.5012429378,4.954758139,0.3620664957,0.08292429866,-0.5159583452,0.4450038835,0.7430122966
27,True,kept,20260604_191406,C0_neutral,v008,0.04,0.04383000001,11.4747842,-6.84227933,5.291052633,1.417351798,0.2019963188,5.481325259,0.1115119557,0.4394304132,-0.4122366417,0.5291772112,0.6570187111
28,True,kept,20260604_191406,C0_neutral,v009,0.04,0.0453196,5.275964673,-4.701548602,5.614868509,0.8448529545,0.8125927094,5.735924668,-0.1735284949,0.8843239565,-0.04356859155,0.3044936752,0.8701631142
29,True,kept,20260604_191406,C0_neutral,v010,0.04,0.04215759999,11.0499488,-7.843365973,5.573094038,1.224740687,0.3834176605,5.718948856,-0.2203942481,0.8052456423,-0.4542797202,0.4945983532,0.6928503166
30,True,kept,20260604_195702,C0_neutral,v001,0.04,0.04408749999,11.17558015,-10.14095456,4.294940481,1.455171718,0.1672068035,4.537840519,0.5099017742,-0.06478879666,-0.584586019,0.5994137919,0.5833631773
31,True,kept,20260604_195702,C0_neutral,v002,0.04,0.04482149999,13.17775042,-2.340067648,4.936255391,0.8409803786,0.3068859449,5.016776282,0.1999725395,0.238499785,-0.396082794,0.4094741484,0.7776306446
32,True,kept,20260604_195702,C0_neutral,v003,0.04,0.04559980001,14.93591494,4.211550876,5.678535788,0.3445237345,0.3380471655,5.6990123,0.739709539,0.1833900962,0.005054048228,0.4549259339,0.7331269439
33,True,kept,20260604_195702,C0_neutral,v004,0.04,0.0418256,8.977132374,-6.497141539,5.169721515,1.304184166,0.2175073252,5.336124653,0.03145598014,0.3007146301,-0.09849866927,0.4618744183,0.72615487
34,True,kept,20260604_195702,C0_neutral,v005,0.04,0.0403965,15.10705143,2.790718274,5.221020631,0.3320256108,0.439261955,5.249976048,0.5924260742,0.3313637421,0.09042046306,0.4207791407,0.7667590846
35,True,kept,20260604_195702,C0_neutral,v006,0.04,0.0449449,10.35835456,-7.50306609,5.117396613,1.352805912,0.3662177522,5.305840873,0.9372583522,0.3653658934,-0.3794081599,0.6126688353,0.5694725755
36,True,kept,20260604_195702,C0_neutral,v007,0.04,0.0427623,15.31171357,-8.155362688,5.198877771,1.276717222,0.3580785862,5.365310543,0.2088980327,0.6635462749,-0.5805300715,0.5676557479,0.6167141995
37,True,kept,20260604_195702,C0_neutral,v008,0.04,0.04191930001,14.14099525,1.291727232,4.893272705,0.5146480254,0.4470062329,4.940525775,0.8631936578,0.3667897737,-0.06164086695,0.4775799467,0.7102601922
38,True,kept,20260604_195702,C0_neutral,v009,0.04,0.0436669,11.27677033,-4.79150943,5.382537122,1.111012065,0.4811085671,5.517020857,0.3953407264,0.5383422745,-0.3889450231,0.4645724527,0.7234373384
39,False,aligned_u_outside_replay_filter;aligned_v_outside_launch_gate;aligned_w_outside_launch_gate,20260604_195702,C0_neutral,v010,0.04,0.04251310001,10.23384438,-9.685511517,8.575142964,2.127116648,1.408641211,8.946617917,-0.05356838778,1.841412271,-0.693891025,0.729094709,0.4505128665
40,True,kept,20260604_203516,C0_neutral,v001,0.04,0.04233880001,12.81933746,-0.04127124712,4.665634,0.6410447753,0.3323386058,4.721178664,0.6208582983,0.3192023843,-0.06902842975,0.4153641253,0.771984324
