t_read_host_s,line_text
6.8792804,"RX_EVENT,34,0,954020017,32768,32768,32768,32768"
6.892569,"COMMIT_EVENT,34,0,954020017,954027650,477046,1500,1500,1500,1500,1500,1500,1500,1500"
6.9117834,"RX_EVENT,35,0,954046853,32768,32768,32768,32768"
6.9117834,"COMMIT_EVENT,35,0,954046853,954047650,477047,1500,1500,1500,1500,1500,1500,1500,1500"
6.9311264,"RX_EVENT,36,0,954066270,32768,32768,32768,32768"
6.9311264,"COMMIT_EVENT,36,0,954066270,954067650,477048,1500,1500,1500,1500,1500,1500,1500,1500"
6.9500081,"RX_EVENT,37,0,954085582,32768,32768,32768,32768"
6.9673501,"COMMIT_EVENT,37,0,954085582,954087650,477049,1500,1500,1500,1500,1500,1500,1500,1500"
6.9843508,"RX_EVENT,38,0,954104359,32768,32768,32768,32768"
6.9843508,"COMMIT_EVENT,38,0,954104359,954107650,477050,1500,1500,1500,1500,1500,1500,1500,1500"
6.9843508,"RX_EVENT,39,0,954121771,32768,32768,32768,32768"
6.9843508,"COMMIT_EVENT,39,0,954121771,954127650,477051,1500,1500,1500,1500,1500,1500,1500,1500"
6.9999068,"RX_EVENT,40,0,954138812,32768,32768,32768,32768"
6.9999068,"COMMIT_EVENT,40,0,954138812,954147650,477052,1500,1500,1500,1500,1500,1500,1500,1500"
7.0343994,"RX_EVENT,41,0,954169526,32768,32768,32768,32768"
7.0516299,"COMMIT_EVENT,41,0,954169526,954187650,477054,1500,1500,1500,1500,1500,1500,1500,1500"
7.0516299,"RX_EVENT,42,0,954189266,32768,32768,32768,32768"
7.0664977,"RX_EVENT,43,0,954205914,32768,32768,32768,32768"
7.0664977,"COMMIT_EVENT,43,0,954205914,954207650,477055,1500,1500,1500,1500,1500,1500,1500,1500"
7.0838282,"RX_EVENT,44,0,954220897,32768,32768,32768,32768"
7.098697,"COMMIT_EVENT,44,0,954220897,954227650,477056,1500,1500,1500,1500,1500,1500,1500,1500"
7.098697,"RX_EVENT,45,0,954238031,32768,32768,32768,32768"
7.1131738,"COMMIT_EVENT,45,0,954238031,954247650,477057,1500,1500,1500,1500,1500,1500,1500,1500"
7.1279581,"RX_EVENT,46,0,954267752,32768,32768,32768,32768"
7.1454978,"RX_EVENT,47,0,954282269,32768,32768,32768,32768"
7.1454978,"COMMIT_EVENT,47,0,954282269,954287650,477059,1500,1500,1500,1500,1500,1500,1500,1500"
7.16092,"RX_EVENT,48,0,954299821,32768,32768,32768,32768"
7.1737056,"COMMIT_EVENT,48,0,954299821,954307650,477060,1500,1500,1500,1500,1500,1500,1500,1500"
7.1869975,"RX_EVENT,49,0,954327971,32768,32768,32768,32768"
7.200507,"RX_EVENT,50,0,954341242,32768,32768,32768,32768"
7.200507,"COMMIT_EVENT,50,0,954341242,954347650,477062,1500,1500,1500,1500,1500,1500,1500,1500"
7.2427285,"RX_EVENT,51,0,954366605,32768,32768,32768,32768"
7.2427285,"COMMIT_EVENT,51,0,954366605,954367650,477063,1500,1500,1500,1500,1500,1500,1500,1500"
7.2586049,"RX_EVENT,52,0,954380967,32768,32768,32768,32768"
7.2586049,"COMMIT_EVENT,52,0,954380967,954387650,477064,1500,1500,1500,1500,1500,1500,1500,1500"
7.2728254,"RX_EVENT,53,0,954397121,32768,32768,32768,32768"
7.2728254,"COMMIT_EVENT,53,0,954397121,954407650,477065,1500,1500,1500,1500,1500,1500,1500,1500"
7.3012404,"RX_EVENT,54,0,954427079,32768,32768,32768,32768"
7.3012404,"COMMIT_EVENT,54,0,954427079,954427650,477066,1500,1500,1500,1500,1500,1500,1500,1500"
7.3012404,"RX_EVENT,55,0,954440782,32768,32768,32768,32768"
7.3144612,"COMMIT_EVENT,55,0,954440782,954447650,477067,1500,1500,1500,1500,1500,1500,1500,1500"
7.3291049,"RX_EVENT,56,0,954468739,32768,32768,32768,32768"
7.3433993,"RX_EVENT,57,0,954483345,32768,32768,32768,32768"
7.3433993,"COMMIT_EVENT,57,0,954483345,954487650,477069,1500,1500,1500,1500,1500,1500,1500,1500"
7.3560614,"RX_EVENT,58,0,954497672,32768,32768,32768,32768"
7.3694261,"COMMIT_EVENT,58,0,954497672,954507650,477070,1500,1500,1500,1500,1500,1500,1500,1500"
7.3986676,"RX_EVENT,59,0,954523727,32768,32768,32768,32768"
7.3986676,"COMMIT_EVENT,59,0,954523727,954527650,477071,1500,1500,1500,1500,1500,1500,1500,1500"
7.4126209,"RX_EVENT,60,0,954537115,32768,32768,32768,32768"
7.4126209,"COMMIT_EVENT,60,0,954537115,954547650,477072,1500,1500,1500,1500,1500,1500,1500,1500"
7.4392341,"RX_EVENT,61,0,954566946,32768,32768,32768,32768"
7.4392341,"COMMIT_EVENT,61,0,954566946,954567650,477073,1500,1500,1500,1500,1500,1500,1500,1500"
7.4392341,"RX_EVENT,62,0,954580766,32768,32768,32768,32768"
7.4514912,"COMMIT_EVENT,62,0,954580766,954587650,477074,1500,1500,1500,1500,1500,1500,1500,1500"
7.4655728,"RX_EVENT,63,0,954605723,32768,32768,32768,32768"
7.4655728,"COMMIT_EVENT,63,0,954605723,954607650,477075,1500,1500,1500,1500,1500,1500,1500,1500"
7.4802154,"RX_EVENT,64,0,954619934,32768,32768,32768,32768"
7.4932267,"COMMIT_EVENT,64,0,954619934,954627650,477076,1500,1500,1500,1500,1500,1500,1500,1500"
7.5105417,"RX_EVENT,65,0,954647615,32768,32768,32768,32768"
7.5274399,"RX_EVENT,66,0,954665492,32768,32768,32768,32768"
