event_id,surface_index,surface_name,command_before_norm_1,command_before_norm_2,command_before_norm_3,command_before_norm_4,command_after_norm_1,command_after_norm_2,command_after_norm_3,command_after_norm_4,scheduled_start_s,scheduled_end_s,random_seed,repetition_index,step_kind,step_label,latency_method
29,4,Elevator,0,0,0,0,0,0,0,-0.7,25.3260649,25.9260649,2,2,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
30,4,Elevator,0,0,0,-0.7,0,0,0,0,25.9260649,26.5260649,2,2,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
31,4,Elevator,0,0,0,0,0,0,0,0.7,26.5260649,27.1260649,2,2,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
32,4,Elevator,0,0,0,0.7,0,0,0,0,27.1260649,27.7260649,2,2,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
33,2,Aileron_R,0,0,0,0,0,0.7,0,0,27.7260649,28.3260649,2,3,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
34,2,Aileron_R,0,0.7,0,0,0,0,0,0,28.3260649,28.9260649,2,3,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
35,2,Aileron_R,0,0,0,0,0,-0.7,0,0,28.9260649,29.5260649,2,3,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
36,2,Aileron_R,0,-0.7,0,0,0,0,0,0,29.5260649,30.1260649,2,3,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
37,1,Aileron_L,0,0,0,0,0.7,0,0,0,30.1260649,30.7260649,2,3,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
38,1,Aileron_L,0.7,0,0,0,0,0,0,0,30.7260649,31.3260649,2,3,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
39,1,Aileron_L,0,0,0,0,-0.7,0,0,0,31.3260649,31.9260649,2,3,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
40,1,Aileron_L,-0.7,0,0,0,0,0,0,0,31.9260649,32.5260649,2,3,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
41,4,Elevator,0,0,0,0,0,0,0,0.7,32.5260649,33.1260649,2,3,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
42,4,Elevator,0,0,0,0.7,0,0,0,0,33.1260649,33.7260649,2,3,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
43,4,Elevator,0,0,0,0,0,0,0,-0.7,33.7260649,34.3260649,2,3,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
44,4,Elevator,0,0,0,-0.7,0,0,0,0,34.3260649,34.9260649,2,3,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
45,3,Rudder,0,0,0,0,0,0,0.7,0,34.9260649,35.5260649,2,3,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
46,3,Rudder,0,0,0.7,0,0,0,0,0,35.5260649,36.1260649,2,3,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
47,3,Rudder,0,0,0,0,0,0,-0.7,0,36.1260649,36.7260649,2,3,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
48,3,Rudder,0,0,-0.7,0,0,0,0,0,36.7260649,37.3260649,2,3,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
49,1,Aileron_L,0,0,0,0,-0.7,0,0,0,37.3260649,37.9260649,2,4,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
50,1,Aileron_L,-0.7,0,0,0,0,0,0,0,37.9260649,38.5260649,2,4,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
51,1,Aileron_L,0,0,0,0,0.7,0,0,0,38.5260649,39.1260649,2,4,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
52,1,Aileron_L,0.7,0,0,0,0,0,0,0,39.1260649,39.7260649,2,4,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
53,3,Rudder,0,0,0,0,0,0,-0.7,0,39.7260649,40.3260649,2,4,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
54,3,Rudder,0,0,-0.7,0,0,0,0,0,40.3260649,40.9260649,2,4,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
55,3,Rudder,0,0,0,0,0,0,0.7,0,40.9260649,41.5260649000001,2,4,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
56,3,Rudder,0,0,0.7,0,0,0,0,0,41.5260649000001,42.1260649000001,2,4,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
57,2,Aileron_R,0,0,0,0,0,-0.7,0,0,42.1260649000001,42.7260649000001,2,4,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
58,2,Aileron_R,0,-0.7,0,0,0,0,0,0,42.7260649000001,43.3260649000001,2,4,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
59,2,Aileron_R,0,0,0,0,0,0.7,0,0,43.3260649000001,43.9260649000001,2,4,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
60,2,Aileron_R,0,0.7,0,0,0,0,0,0,43.9260649000001,44.5260649000001,2,4,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
61,4,Elevator,0,0,0,0,0,0,0,-0.7,44.5260649000001,45.1260649000001,2,4,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
62,4,Elevator,0,0,0,-0.7,0,0,0,0,45.1260649000001,45.7260649000001,2,4,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
63,4,Elevator,0,0,0,0,0,0,0,0.7,45.7260649000001,46.3260649000001,2,4,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
64,4,Elevator,0,0,0,0.7,0,0,0,0,46.3260649000001,46.9260649000001,2,4,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
65,4,Elevator,0,0,0,0,0,0,0,0.7,46.9260649000001,47.5260649000001,2,5,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
66,4,Elevator,0,0,0,0.7,0,0,0,0,47.5260649000001,48.1260649000001,2,5,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
67,4,Elevator,0,0,0,0,0,0,0,-0.7,48.1260649000001,48.7260649000001,2,5,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
68,4,Elevator,0,0,0,-0.7,0,0,0,0,48.7260649000001,49.3260649000001,2,5,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
69,2,Aileron_R,0,0,0,0,0,0.7,0,0,49.3260649000001,49.9260649000001,2,5,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
70,2,Aileron_R,0,0.7,0,0,0,0,0,0,49.9260649000001,50.5260649000001,2,5,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
71,2,Aileron_R,0,0,0,0,0,-0.7,0,0,50.5260649000001,51.1260649000001,2,5,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
72,2,Aileron_R,0,-0.7,0,0,0,0,0,0,51.1260649000001,51.7260649000001,2,5,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
73,3,Rudder,0,0,0,0,0,0,0.7,0,51.7260649000001,52.3260649000001,2,5,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
74,3,Rudder,0,0,0.7,0,0,0,0,0,52.3260649000001,52.9260649000001,2,5,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
75,3,Rudder,0,0,0,0,0,0,-0.7,0,52.9260649000001,53.5260649000001,2,5,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
76,3,Rudder,0,0,-0.7,0,0,0,0,0,53.5260649000001,54.1260649000001,2,5,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
