scenario_id,step_index,source_primitive_id,sample_count,duration_s,finite,true_safe,command_bridge
U1_lift_sector_governed_transit,0,mild_bank_none_favourable_U1_single_fan_W2_dp1,31,0.6,True,True,u_norm_requested -> u_norm_applied -> delta_cmd_rad -> rk4_step/state_derivative
U4_lift_sector_governed_transit,0,glide_none_favourable_U4_four_fan_W2_dp1,26,0.5,True,True,u_norm_requested -> u_norm_applied -> delta_cmd_rad -> rk4_step/state_derivative
