byte_count,diagnostic_archive_status,file_count,rejection_reason,result_root,result_root_relative
435576,diagnostic_not_passed,13,path:v49,03_Control/05_Results/lqr_contextual_v1_0/figures/v49_validation,figures/v49_validation
9098742,diagnostic_not_passed,24,manifest:LQR-Stabilised Contextual Primitive v4.8;manifest:full_loop_validation;manifest_missing_v411_timing_contract;path:full_loop_validation,03_Control/05_Results/lqr_contextual_v1_0/full_loop_validation/001,full_loop_validation/001
18345919,diagnostic_not_passed,23,manifest:LQR-Stabilised Contextual Primitive v4.8;manifest:full_loop_validation;manifest_missing_v411_timing_contract;path:full_loop_validation,03_Control/05_Results/lqr_contextual_v1_0/full_loop_validation/002,full_loop_validation/002
183361,diagnostic_not_passed,17,manifest:LQR-Stabilised Contextual Primitive v4.9;manifest:full_loop_validation;manifest_missing_v411_timing_contract;path:full_loop_validation,03_Control/05_Results/lqr_contextual_v1_0/full_loop_validation/003,full_loop_validation/003
20698576,diagnostic_not_passed,29,manifest:LQR-Stabilised Contextual Primitive v4.9;manifest:full_loop_validation;manifest_missing_v411_timing_contract;path:full_loop_validation,03_Control/05_Results/lqr_contextual_v1_0/full_loop_validation/004,full_loop_validation/004
42730992,diagnostic_not_passed,29,manifest:LQR-Stabilised Contextual Primitive v4.9;manifest:full_loop_validation;manifest_missing_v411_timing_contract;path:full_loop_validation,03_Control/05_Results/lqr_contextual_v1_0/full_loop_validation/005,full_loop_validation/005
82353023,diagnostic_not_passed,29,manifest:LQR-Stabilised Contextual Primitive v4.10;manifest:full_loop_validation;manifest:governor_calibration;manifest_missing_v411_timing_contract;path:full_loop_validation,03_Control/05_Results/lqr_contextual_v1_0/full_loop_validation/006,full_loop_validation/006
133255933,diagnostic_not_passed,174,manifest:LQR-Stabilised Contextual Primitive v4.10;manifest:full_loop_validation;manifest:governor_calibration;manifest_missing_v411_timing_contract;path:governor_calibration,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001,governor_calibration/001
94090,diagnostic_not_passed,6,manifest:LQR-Stabilised Contextual Primitive v4.7;manifest:full_loop_validation;manifest:post_w3_compact_representative_library_v1;manifest_missing_v411_timing_contract,03_Control/05_Results/lqr_contextual_v1_0/governor_smoke/001,governor_smoke/001
11298,diagnostic_not_passed,4,manifest:LQR-Stabilised Contextual Primitive v4.7;manifest:full_loop_validation;manifest:post_w3_compact_representative_library_v1;manifest_missing_v411_timing_contract,03_Control/05_Results/lqr_contextual_v1_0/outcome_model/001,outcome_model/001
29104,diagnostic_not_passed,5,manifest:LQR-Stabilised Contextual Primitive v4.8;manifest:full_loop_validation;manifest:post_w3_compact_representative_library_v1;manifest_missing_v411_timing_contract,03_Control/05_Results/lqr_contextual_v1_0/outcome_model/002,outcome_model/002
140010,diagnostic_not_passed,10,manifest:LQR-Stabilised Contextual Primitive v4.7;manifest:full_loop_validation;manifest:post_w3_compact_representative_library_v1;manifest_missing_v411_timing_contract;path:post_w3_cluster;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/post_w3_cluster/001,post_w3_cluster/001
670937,diagnostic_not_passed,13,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/001,w01_dense/001
1187988,diagnostic_not_passed,21,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/002,w01_dense/002
770924,diagnostic_not_passed,19,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/003,w01_dense/003
1051429,diagnostic_not_passed,23,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/004,w01_dense/004
1149673,diagnostic_not_passed,20,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/005,w01_dense/005
4654823,diagnostic_not_passed,36,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/006,w01_dense/006
2334921,diagnostic_not_passed,22,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/007,w01_dense/007
111029133,diagnostic_not_passed,214,manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/008,w01_dense/008
456231,diagnostic_not_passed,27,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/011,w01_dense/011
822797,diagnostic_not_passed,33,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/012,w01_dense/012
458475,diagnostic_not_passed,28,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/013,w01_dense/013
1866337,diagnostic_not_passed,36,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/014,w01_dense/014
116269267,diagnostic_not_passed,220,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract;table_long_primitive_horizon,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/015,w01_dense/015
646471,diagnostic_not_passed,32,manifest_missing_v411_timing_contract,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/016,w01_dense/016
3399239,diagnostic_not_passed,11,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract,03_Control/05_Results/lqr_contextual_v1_0/w2_survival/009,w2_survival/009
67928923,diagnostic_not_passed,142,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract,03_Control/05_Results/lqr_contextual_v1_0/w2_survival/010,w2_survival/010
303710,diagnostic_not_passed,11,manifest:LQR-Stabilised Contextual Primitive v4.5;manifest_missing_v411_timing_contract,03_Control/05_Results/lqr_contextual_v1_0/w2_survival/011,w2_survival/011
