primitive_id,entry_role,entry_role_compatible,row_count
energy_retaining_bank,inflight_only,False,2560
energy_retaining_bank,inflight_only,True,3840
glide,launch_capable,True,6400
lift_dwell_arc,inflight_only,False,2560
lift_dwell_arc,inflight_only,True,3840
lift_entry,inflight_only,False,2560
lift_entry,inflight_only,True,3840
mild_turn_left,inflight_only,False,2560
mild_turn_left,inflight_only,True,3840
mild_turn_right,inflight_only,False,2560
mild_turn_right,inflight_only,True,3840
recovery,terminal_or_recovery,False,5120
recovery,terminal_or_recovery,True,1280
safe_exit_or_recovery_handoff,terminal_or_recovery,False,5120
safe_exit_or_recovery_handoff,terminal_or_recovery,True,1280
