value,row_count,coverage_axis
glide,50,primitive_id
recovery,50,primitive_id
lift_entry,50,primitive_id
lift_dwell_arc,50,primitive_id
mild_turn_left,50,primitive_id
mild_turn_right,50,primitive_id
energy_retaining_bank,50,primitive_id
safe_exit_or_recovery_handoff,50,primitive_id
inflight_only,250,entry_role
terminal_or_recovery,100,entry_role
launch_capable,50,entry_role
launch_gate,160,start_state_family
inflight_nominal,100,start_state_family
inflight_lift_region,60,start_state_family
inflight_boundary_near,40,start_state_family
inflight_recovery_edge,40,start_state_family
W1,266,W_layer
W0,134,W_layer
dry_air,134,environment_mode
gaussian_single,133,environment_mode
gaussian_four,133,environment_mode
solved,400,lqr_synthesis_status
