split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,elevator,0.4,theta_change_deg,6,5,-7.151594036,-22.0857654,7.467085683,-14.61867972,14.34985405,-22.05332988,18.20159196,-3.851737915,-10.73450628,-10.7669418
all,elevator,0.4,response_altitude_loss_m,6,5,0.4186929512,0.6330030449,-0.1071550469,0.5258479981,0.4867238766,0.7486407925,-0.1309584579,0.6176823345,0.02380341105,-0.09183433647
all,elevator,0.4,max_abs_alpha_deg,6,5,23.89130974,16.46379583,3.713756955,20.17755279,39.32819804,16.21727847,11.55545979,27.77273826,-7.841702831,-7.595185469
all,elevator,0.6,peak_q_rad_s,5,6,-1.406210267,-2.443261351,0.5185255419,-1.924735809,-0.2110555764,-2.342031913,1.065488168,-1.276543745,-0.5469626262,-0.6481920642
all,elevator,0.6,q_impulse_rad,5,6,-0.4263318459,-1.008522628,0.2910953912,-0.7174272371,-0.02581264764,-0.966275297,0.4702313247,-0.4960439723,-0.1791359334,-0.2213832648
all,elevator,0.6,theta_change_deg,5,6,0.312244873,-29.17424565,14.74324526,-14.43100039,26.09238435,-25.14869898,25.62054167,0.4718426811,-10.8772964,-14.90284307
all,elevator,0.6,response_altitude_loss_m,5,6,0.3863192666,0.7276457101,-0.1706632217,0.5569824884,0.4740079331,0.6880076527,-0.1069998598,0.5810077929,-0.06366336195,-0.02402530458
all,elevator,0.6,max_abs_alpha_deg,5,6,29.19048575,15.00159799,7.094443878,22.09604187,53.07804923,18.84954479,17.11425222,35.96379701,-10.01980834,-13.86775514
all,elevator,0.8,peak_q_rad_s,5,6,-1.421633568,-2.993028582,0.7856975071,-2.207331075,0.9021519567,-3.18970616,2.045929059,-1.143777102,-1.260231551,-1.063553973
all,elevator,0.8,q_impulse_rad,5,6,-0.4890267662,-1.233466594,0.3722199138,-0.8612466801,0.3141237308,-1.061018762,0.6875712462,-0.3734475153,-0.3153513323,-0.4877991647
all,elevator,0.8,theta_change_deg,5,6,1.995259226,-41.33725583,21.66625753,-19.6709983,34.91949841,-44.28157045,39.60053443,-4.681036019,-17.9342769,-14.98996228
all,elevator,0.8,response_altitude_loss_m,5,6,0.4921894885,0.6492211764,-0.07851584396,0.5707053324,0.5990181221,0.6843881188,-0.04268499835,0.6417031204,-0.03583084561,-0.07099778801
all,elevator,0.8,max_abs_alpha_deg,5,6,37.26913428,15.32153893,10.97379767,26.29533661,64.35756511,16.4015765,23.97799431,40.3795708,-13.00419664,-14.0842342
all,elevator,1,peak_q_rad_s,6,6,-1.331861344,-3.037272946,0.852705801,-2.184567145,1.278107923,-4.615407428,2.946757675,-1.668649752,-2.094051874,-0.5159173927
