dataset_root,session_label,trial_id,throw_id,throw_dir,case_id,case_storage_id,surface_axis,command_axis,command_value,command_abs,command_lattice_percent,command_start_s,command_duration_s,effective_flight_duration_s,usable_window_start_s,usable_window_end_s,response_window_s,valid_throw,state_sample_count,command_schedule_status,command_schedule_notes,vicon_validity_flag,tracking_quality_flag,launch_quality_flag,termination_reason,termination_group,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,speed0_m_s,phi0_deg,theta0_deg,psi0_deg,p0_rad_s,q0_rad_s,r0_rad_s,mean_rate_confidence,min_rate_confidence,response_spike_fraction,response_body_rate_limited_fraction,max_abs_alpha_deg,deep_post_stall_flag,filter_status,filter_reasons,split,notes
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v001,v001,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n02/v001,C1_aileron_neg0p2,c1_a_n02,aileron,delta_a,-0.2,0.2,-20,0.15,60,1.1805865,0.15,0.8,0.65,True,197,ok,"active rows 43, active start 0.168906",valid_state_samples,nominal,lateral_velocity_asymmetry,exit_gate_floor,floor,1.282533663,2.113205447,1.44603663,5.373670424,1.264884529,0.2724545398,5.527250507,7.684701893,0.02461730184,-9.51311449,-0.1864348183,0.1479576693,-0.9118864817,0.947715736,0.5,0.009259259259,0,15.81591829,False,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v002,v002,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n02/v002,C1_aileron_neg0p2,c1_a_n02,aileron,delta_a,-0.2,0.2,-20,0.15,60,1.1324288,0.15,0.8,0.65,True,165,ok,"active rows 38, active start 0.196424",valid_state_samples,nominal,lateral_velocity_asymmetry,exit_gate_floor,floor,1.268728078,2.071016448,1.582927061,4.864030308,1.164536289,0.4403095159,5.020837388,6.220249344,7.592967489,-7.421718304,-0.05486749421,0.3600998739,-0.3408969768,0.9118181818,0.5,0.04444444444,0,21.35463821,False,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v003,v003,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n02/v003,C1_aileron_neg0p2,c1_a_n02,aileron,delta_a,-0.2,0.2,-20,0.15,60,1.1918325,0.15,0.8,0.65,True,186,ok,"active rows 43, active start 0.151068",valid_state_samples,nominal,lateral_velocity_asymmetry,exit_gate_floor,floor,1.258679402,2.107252385,1.431195229,5.495458764,1.10279944,0.2117205504,5.609015887,9.351948031,-0.8717401085,-4.607404609,0.002336228881,0.0963163399,-0.1905403342,0.9379032258,0.5,0.0306122449,0.01020408163,16.68364243,False,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v001,v001,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n04/v001,C1_aileron_neg0p4,c1_a_n04,aileron,delta_a,-0.4,0.4,-40,0.15,60,0.9968523,0.15,0.8,0.65,True,155,ok,"active rows 34, active start 0.183328",valid_state_samples,nominal,lateral_velocity_asymmetry,exit_gate_floor,floor,1.295117013,2.167975307,1.438134207,4.923418323,1.255463092,0.5519457262,5.110858993,8.199003687,2.615657554,-8.032276296,0.1750017613,0.2817490839,-0.2229574478,0.9325806452,0.5,0.0612244898,0.04081632653,16.17449717,False,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v002,v002,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n04/v002,C1_aileron_neg0p4,c1_a_n04,aileron,delta_a,-0.4,0.4,-40,0.15,60,1.0873698,0.15,0.8,0.65,True,163,ok,"active rows 35, active start 0.168846",valid_state_samples,nominal,lateral_velocity_asymmetry,exit_gate_floor,floor,1.297162771,2.145902173,1.446318327,4.931203313,1.175474195,0.4363510886,5.088114383,13.41120296,7.435705065,-6.420067836,0.4673125278,0.5187362495,-0.2814642868,0.9251533742,0.5,0.02173913043,0,21.21750538,False,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v003,v003,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n04/v003,C1_aileron_neg0p4,c1_a_n04,aileron,delta_a,-0.4,0.4,-40,0.15,60,1.1391425,0.15,0.8,0.65,True,186,ok,"active rows 41, active start 0.160127",valid_state_samples,nominal,clean,exit_gate_floor,floor,1.260940057,2.07265445,1.389817968,5.388856282,0.7037570893,0.7703060899,5.48893592,2.530304347,6.546141545,-5.020738903,-0.380216699,0.8565640196,-0.1688185715,0.9475806452,0.5,0.009345794393,0,17.83620197,False,kept,,heldout,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v001,v001,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n06/v001,C1_aileron_neg0p6,c1_a_n06,aileron,delta_a,-0.6,0.6,-60,0.15,60,1.2865927,0.15,0.8,0.65,True,212,ok,"active rows 48, active start 0.169183",valid_state_samples,nominal,lateral_velocity_asymmetry,exit_gate_floor,floor,1.306117374,2.070603333,1.503051822,5.713544109,1.185613574,0.449136771,5.852519942,11.86320063,7.045571385,-5.167649692,0.6001158798,0.6774848641,-0.4814324592,0.9393867925,0.5,0.01869158879,0.009345794393,89.82590411,True,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v002,v002,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n06/v002,C1_aileron_neg0p6,c1_a_n06,aileron,delta_a,-0.6,0.6,-60,0.15,60,1.1010575,0.15,0.8,0.65,True,184,ok,"active rows 40, active start 0.165242",valid_state_samples,nominal,clean,exit_gate_floor,floor,1.252329807,2.141526175,1.472721669,5.168278615,0.9345538684,0.2183350736,5.256630573,9.452126691,-0.06219160283,-2.423923625,0.2089230851,-0.1902417227,0.06361246493,0.9206521739,0.5,0.07407407407,0.03703703704,31.52440998,True,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v003,v003,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n06/v003,C1_aileron_neg0p6,c1_a_n06,aileron,delta_a,-0.6,0.6,-60,0.15,60,1.2173598,0.15,0.8,0.65,True,192,ok,"active rows 46, active start 0.151333",valid_state_samples,nominal,lateral_velocity_asymmetry,exit_gate_floor,floor,1.259345994,2.092045161,1.527335654,5.20245677,1.111785578,0.654060241,5.359983061,2.434064262,9.201099553,-4.953480244,0.09037363751,0.6383067971,-0.1715238127,0.94296875,0.5,0.02857142857,0.009523809524,19.53873452,False,kept,,train,exit_gate_triggered;controller_mode:open_loop_neutral
C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n08/bad/i001,i001,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30/20260604_222810/c1_a_n08/bad/i001,C1_aileron_neg0p8,c1_a_n08,aileron,delta_a,-0.8,0.8,-80,0.15,60,0,0.15,0,-0.15,False,0,missing_command_schedule,metrics/command_schedule.csv missing or empty,missing_state_samples,nominal,clean,,unknown,,,,,,,0,,,,,,,,,,,,False,filtered,invalid_or_cancelled_throw;missing_or_short_state_samples;missing_command_schedule;response_window_too_short;nonfinite_launch_velocity,excluded,cancelled:rejected_launch_attempt:side_velocity_outside_launch_gate;controller_mode:open_loop_neutral
