candidate_id,surface_axis,metric,heldout_count,baseline_abs_error,candidate_abs_error,improved,promotion_gate_status
P0_pairwise_response_gain_fit_basis,aileron,peak_p_rad_s,5,0.1848068848,0.2099364243,False,not_promoted_pairwise_gain_diagnostic_only
P0_pairwise_response_gain_fit_basis,elevator,peak_q_rad_s,4,0.5415352502,0.5260438822,True,not_promoted_pairwise_gain_diagnostic_only
P0_pairwise_response_gain_fit_basis,rudder,peak_r_rad_s,4,0.5716014072,0.2861098721,True,not_promoted_pairwise_gain_diagnostic_only
D0_launch_confidence_weighted_derivative_fit_basis,aileron,CY_delta_a_residual,985,0.2512200618,0.226674254,True,not_promoted_no_replay_neutral_or_closed_loop_gate
D1_alpha_regime_derivative_fit_basis,aileron,CY_delta_a_residual@normal,229,0.1378775225,0.1714494504,False,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,aileron,CY_delta_a_residual@transition,690,0.2314142842,0.2148967921,True,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,aileron,CY_delta_a_residual@post_stall,66,0.8345970198,0.2587670892,True,not_promoted_alpha_regime_diagnostic_only
D0_launch_confidence_weighted_derivative_fit_basis,aileron,Cl_delta_a_residual,985,0.01936537792,0.01595728473,True,not_promoted_no_replay_neutral_or_closed_loop_gate
D1_alpha_regime_derivative_fit_basis,aileron,Cl_delta_a_residual@normal,229,0.0132122793,0.01358156956,False,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,aileron,Cl_delta_a_residual@transition,690,0.018790668,0.01586562353,True,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,aileron,Cl_delta_a_residual@post_stall,66,0.04585556318,0.009175935016,True,not_promoted_alpha_regime_diagnostic_only
D0_launch_confidence_weighted_derivative_fit_basis,aileron,Cn_delta_a_residual,985,0.01912805222,0.01377962783,True,not_promoted_no_replay_neutral_or_closed_loop_gate
D1_alpha_regime_derivative_fit_basis,aileron,Cn_delta_a_residual@normal,229,0.009773210532,0.009051719248,True,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,aileron,Cn_delta_a_residual@transition,690,0.01899243757,0.01367764121,True,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,aileron,Cn_delta_a_residual@post_stall,66,0.05176281053,0.01191434733,True,not_promoted_alpha_regime_diagnostic_only
D0_launch_confidence_weighted_derivative_fit_basis,elevator,Cm_delta_e_residual,958,0.07969507425,0.07947109102,True,not_promoted_no_replay_neutral_or_closed_loop_gate
D1_alpha_regime_derivative_fit_basis,elevator,Cm_delta_e_residual@normal,207,0.1146261881,0.1113775303,True,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,elevator,Cm_delta_e_residual@transition,488,0.06561830131,0.06652222972,False,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,elevator,Cm_delta_e_residual@post_stall,263,0.07886193619,0.05447424106,True,not_promoted_alpha_regime_diagnostic_only
D0_launch_confidence_weighted_derivative_fit_basis,rudder,CY_delta_r_residual,817,0.2371454031,0.2394389883,False,not_promoted_no_replay_neutral_or_closed_loop_gate
D0_launch_confidence_weighted_derivative_fit_basis,rudder,Cn_delta_r_residual,817,0.01338416377,0.01290536735,True,not_promoted_no_replay_neutral_or_closed_loop_gate
D1_alpha_regime_derivative_fit_basis,rudder,Cn_delta_r_residual@normal,55,0.01219381698,0.01428393127,False,not_promoted_alpha_regime_diagnostic_only
D1_alpha_regime_derivative_fit_basis,rudder,Cn_delta_r_residual@transition,762,0.01346449988,0.01292318496,True,not_promoted_alpha_regime_diagnostic_only
D0_launch_confidence_weighted_derivative_fit_basis,rudder,Cl_delta_r_residual,817,0.01286848089,0.01276270234,True,not_promoted_no_replay_neutral_or_closed_loop_gate
