split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,elevator,0.8,peak_q_rad_s,5,6,-1.421633568,-2.993028582,,-2.207331075,-0.1840340842,-1.505983366,,-0.8450087251,,-1.36232235
all,elevator,0.8,q_impulse_rad,5,6,-0.4890267662,-1.233466594,,-0.8612466801,0.001317829717,-0.6120805165,,-0.3053813434,,-0.5558653367
all,elevator,0.8,theta_change_deg,5,6,1.995259226,-41.33725583,,-19.6709983,17.18017961,-18.66143807,,-0.7406292264,,-18.93036908
all,elevator,0.8,response_altitude_loss_m,5,6,0.4921894885,0.6492211764,,0.5707053324,0.6230399734,0.5508768661,,0.5869584198,,-0.01625308736
all,elevator,0.8,max_abs_alpha_deg,5,6,37.26913428,15.32153893,,26.29533661,42.02525981,16.40751963,,29.21638972,,-2.921053114
all,elevator,1,peak_q_rad_s,6,6,-1.331861344,-3.037272946,,-2.184567145,-0.1975229155,-2.135409171,,-1.166466043,,-1.018101102
all,elevator,1,q_impulse_rad,6,6,-0.3882009641,-1.1351103,,-0.7616556321,-0.02271341428,-0.798525726,,-0.4106195701,,-0.3510360619
all,elevator,1,theta_change_deg,6,6,3.339841448,-44.21663158,,-20.43839507,18.72124085,-33.28059056,,-7.279674851,,-13.15872022
all,elevator,1,response_altitude_loss_m,6,6,0.4740161066,0.8881346597,,0.6810753831,0.5809254057,0.8451491987,,0.7130373022,,-0.03196191913
all,elevator,1,max_abs_alpha_deg,6,6,41.14189809,15.5244327,,28.3331654,51.12146079,16.87498535,,33.99822307,,-5.665057673
all,rudder,0.2,peak_r_rad_s,6,5,0.3606797643,0.2103742887,,0.2855270265,0.3593264357,-0.05175498555,,0.1537857251,,0.1317413014
all,rudder,0.2,r_impulse_rad,6,5,0.1751674843,0.1584350773,,0.1668012808,0.163531132,-0.01093430411,,0.07629841396,,0.09050286681
all,rudder,0.2,psi_change_deg,6,5,11.97824894,9.537324585,,10.75778676,15.34386079,3.092906043,,9.218383414,,1.539403349
all,rudder,0.2,roll_coupling_phi_change_deg,6,5,-9.959654836,-22.50267672,,-16.23116578,0.407109432,0.004476035882,,0.205792734,,-16.43695851
all,rudder,0.2,response_dy_m,6,5,-0.0717327363,-0.1428720417,,-0.107302389,0.05904236233,-0.003568619947,,0.02773687119,,-0.1350392602
all,rudder,0.4,peak_r_rad_s,5,6,0.6100461587,0.038436329,,0.3242412438,0.5958061754,-0.5125908074,,0.041607684,,0.2826335599
all,rudder,0.4,r_impulse_rad,5,6,0.2281589816,0.08327352125,,0.1557162515,0.2511404914,-0.1630184671,,0.04406101218,,0.1116552393
all,rudder,0.4,psi_change_deg,5,6,11.28054947,1.568026114,,6.424287793,20.16433059,-3.038737977,,8.562796306,,-2.138508513
all,rudder,0.4,roll_coupling_phi_change_deg,5,6,-13.66430531,-22.18733999,,-17.92582265,4.356810447,-3.208251146,,0.5742796503,,-18.5001023
all,rudder,0.4,response_dy_m,5,6,-0.09139553602,-0.1371837583,,-0.1142896472,0.1312233169,0.07182975257,,0.1015265347,,-0.2158161819
all,rudder,0.6,peak_r_rad_s,6,6,0.6815665441,0.03670404456,,0.3591352943,0.814144953,-0.9604204993,,-0.07313777314,,0.4322730675
all,rudder,0.6,r_impulse_rad,6,6,0.2726438186,0.04407200842,,0.1583579135,0.3107611231,-0.3405124219,,-0.01487564942,,0.1732335629
all,rudder,0.6,psi_change_deg,6,6,12.59642646,-1.406664966,,5.594880747,23.53231792,-11.34683885,,6.092739536,,-0.4978587885
all,rudder,0.6,roll_coupling_phi_change_deg,6,6,-12.95861834,-19.01470838,,-15.98666336,9.38511079,-3.36187786,,3.011616465,,-18.99827982
all,rudder,0.6,response_dy_m,6,6,-0.1000359209,-0.1651395339,,-0.1325877274,0.1522417795,0.08236934392,,0.1173055617,,-0.2498932892
all,rudder,0.8,peak_r_rad_s,6,6,0.8845091582,-0.5101143405,,0.1871974089,1.128792251,-1.178869327,,-0.02503853776,,0.2122359466
all,rudder,0.8,r_impulse_rad,6,6,0.3645976536,-0.01392129796,,0.1753381778,0.4098247568,-0.3753968237,,0.01721396655,,0.1581242113
all,rudder,0.8,psi_change_deg,6,6,17.5449958,-3.680902166,,6.932046819,26.97226096,-15.5810433,,5.695608828,,1.236437991
all,rudder,0.8,roll_coupling_phi_change_deg,6,6,-10.84728573,-18.96503134,,-14.90615854,4.408848275,-6.868325778,,-1.229738752,,-13.67641979
all,rudder,0.8,response_dy_m,6,6,-0.1988098122,-0.05844554722,,-0.1286276797,0.2440602103,-0.06603139903,,0.08901440561,,-0.2176420853
all,rudder,1,peak_r_rad_s,6,6,0.9812264367,-0.2157159974,,0.3827552196,1.270034892,-1.51844616,,-0.1242056342,,0.5069608538
all,rudder,1,r_impulse_rad,6,6,0.4080800738,0.03657685711,,0.2223284655,0.4692890918,-0.4451811856,,0.01205395311,,0.2102745124
all,rudder,1,psi_change_deg,6,6,17.89795214,-4.459383386,,6.719284376,30.20794497,-20.39706514,,4.905439913,,1.813844462
all,rudder,1,roll_coupling_phi_change_deg,6,6,-7.394385162,-23.35894789,,-15.37666652,7.0583642,-6.053156494,,0.5026038531,,-15.87927038
all,rudder,1,response_dy_m,6,6,-0.09573969746,-0.08461328007,,-0.09017648877,0.1503563626,-0.100588386,,0.0248839883,,-0.1150604771
