candidate_id,surface_axis,primary_metric,raw_gain,bounded_gain,train_pair_count,train_command_count,train_baseline_abs_error,train_candidate_abs_error,heldout_baseline_abs_error,heldout_candidate_abs_error,heldout_improved,promotion_gate_status,claim_boundary
P0_pairwise_response_gain_fit_basis,aileron,peak_p_rad_s,0.80870729,0.846965832,24,5,0.1964623558,0.2222464922,0.1848068848,0.2099364243,False,not_promoted_pairwise_gain_diagnostic_only,pairwise signed response-gain diagnostic only; active calibrated model unchanged
P0_pairwise_response_gain_fit_basis,elevator,peak_q_rad_s,0.7130779523,0.7704623618,17,4,0.3319173493,0.1767896916,0.5415352502,0.5260438822,True,not_promoted_pairwise_gain_diagnostic_only,pairwise signed response-gain diagnostic only; active calibrated model unchanged
P0_pairwise_response_gain_fit_basis,rudder,peak_r_rad_s,0.448270301,0.5586162408,19,4,0.4883412967,0.1595236441,0.5716014072,0.2861098721,True,not_promoted_pairwise_gain_diagnostic_only,pairwise signed response-gain diagnostic only; active calibrated model unchanged
