start_state_family,primitive_id,entry_role,W_layer,row_count
inflight_boundary_near,glide,launch_capable,W0,16
inflight_boundary_near,glide,launch_capable,W1,34
inflight_boundary_near,mild_turn_left,inflight_only,W0,17
inflight_boundary_near,mild_turn_left,inflight_only,W1,33
inflight_boundary_near,mild_turn_right,inflight_only,W0,17
inflight_boundary_near,mild_turn_right,inflight_only,W1,33
inflight_boundary_near,recovery,terminal_or_recovery,W0,16
inflight_boundary_near,recovery,terminal_or_recovery,W1,34
inflight_lift_region,energy_retaining_bank,inflight_only,W0,17
inflight_lift_region,energy_retaining_bank,inflight_only,W1,33
inflight_lift_region,lift_dwell_arc,inflight_only,W0,17
inflight_lift_region,lift_dwell_arc,inflight_only,W1,33
inflight_lift_region,lift_entry,inflight_only,W0,17
inflight_lift_region,lift_entry,inflight_only,W1,33
inflight_lift_region,mild_turn_right,inflight_only,W0,17
inflight_lift_region,mild_turn_right,inflight_only,W1,33
inflight_lift_region,recovery,terminal_or_recovery,W0,17
inflight_lift_region,recovery,terminal_or_recovery,W1,33
inflight_lift_region,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,17
inflight_lift_region,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,33
inflight_nominal,energy_retaining_bank,inflight_only,W0,17
inflight_nominal,energy_retaining_bank,inflight_only,W1,33
inflight_nominal,glide,launch_capable,W0,34
inflight_nominal,glide,launch_capable,W1,66
inflight_nominal,lift_dwell_arc,inflight_only,W0,17
inflight_nominal,lift_dwell_arc,inflight_only,W1,33
inflight_nominal,lift_entry,inflight_only,W0,17
inflight_nominal,lift_entry,inflight_only,W1,33
inflight_nominal,mild_turn_left,inflight_only,W0,34
inflight_nominal,mild_turn_left,inflight_only,W1,66
inflight_nominal,mild_turn_right,inflight_only,W0,17
inflight_nominal,mild_turn_right,inflight_only,W1,33
inflight_nominal,recovery,terminal_or_recovery,W0,17
inflight_nominal,recovery,terminal_or_recovery,W1,33
inflight_nominal,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,17
inflight_nominal,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,33
inflight_recovery_edge,energy_retaining_bank,inflight_only,W0,17
inflight_recovery_edge,energy_retaining_bank,inflight_only,W1,33
inflight_recovery_edge,lift_dwell_arc,inflight_only,W0,16
inflight_recovery_edge,lift_dwell_arc,inflight_only,W1,34
inflight_recovery_edge,lift_entry,inflight_only,W0,16
inflight_recovery_edge,lift_entry,inflight_only,W1,34
inflight_recovery_edge,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,17
inflight_recovery_edge,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,33
launch_gate,energy_retaining_bank,inflight_only,W0,33
launch_gate,energy_retaining_bank,inflight_only,W1,67
launch_gate,glide,launch_capable,W0,34
launch_gate,glide,launch_capable,W1,66
launch_gate,lift_dwell_arc,inflight_only,W0,34
launch_gate,lift_dwell_arc,inflight_only,W1,66
launch_gate,lift_entry,inflight_only,W0,34
launch_gate,lift_entry,inflight_only,W1,66
launch_gate,mild_turn_left,inflight_only,W0,33
launch_gate,mild_turn_left,inflight_only,W1,67
launch_gate,mild_turn_right,inflight_only,W0,33
launch_gate,mild_turn_right,inflight_only,W1,67
launch_gate,recovery,terminal_or_recovery,W0,34
launch_gate,recovery,terminal_or_recovery,W1,66
launch_gate,safe_exit_or_recovery_handoff,terminal_or_recovery,W0,33
launch_gate,safe_exit_or_recovery_handoff,terminal_or_recovery,W1,67
