primitive_variant_id,controller_id,primitive_id,candidate_index,candidate_weight_label,bundle_status,blocked_reason
primvar_glide_launch_capable_52faeec40e88,lqrta_glide_accda8ef206a,glide,0,glide_w01_q0.5_r0.5_000,ready,
primvar_glide_launch_capable_95842b9301ac,lqrta_glide_822c13ccfca4,glide,1,glide_w01_q0.5_r0.75_001,ready,
primvar_glide_launch_capable_b42f9fd3b50c,lqrta_glide_34dfb234d334,glide,2,glide_w01_q0.5_r1_002,ready,
primvar_glide_launch_capable_b4ca226ff728,lqrta_glide_82d47082c07a,glide,3,glide_w01_q0.5_r1.5_003,ready,
primvar_glide_launch_capable_a2353d4c1bfd,lqrta_glide_d0fe695f5e27,glide,4,glide_w01_q0.5_r2_004,ready,
primvar_glide_launch_capable_ab6941e69049,lqrta_glide_2e8d855c03b2,glide,5,glide_w01_q0.5_r3_005,ready,
primvar_glide_launch_capable_7f34c20a71c2,lqrta_glide_e14856fd26f3,glide,6,glide_w01_q0.75_r0.5_006,ready,
primvar_glide_launch_capable_665367d67b57,lqrta_glide_afb58358f208,glide,7,glide_w01_q0.75_r0.75_007,ready,
primvar_glide_launch_capable_9cb3faca3ebb,lqrta_glide_c570efa6e96e,glide,8,glide_w01_q0.75_r1_008,ready,
primvar_glide_launch_capable_033f76f5331e,lqrta_glide_a92ba8b1f490,glide,9,glide_w01_q0.75_r1.5_009,ready,
primvar_glide_launch_capable_4cf45569d3d2,lqrta_glide_5f172ddbb6b7,glide,10,glide_w01_q0.75_r2_010,ready,
primvar_glide_launch_capable_fd348929d97d,lqrta_glide_c460394c78fe,glide,11,glide_w01_q0.75_r3_011,ready,
primvar_glide_launch_capable_557c6e4d2375,lqrta_glide_9ac6228ef550,glide,12,glide_w01_q1_r0.5_012,ready,
primvar_glide_launch_capable_dae081669bb6,lqrta_glide_de42160f741d,glide,13,glide_w01_q1_r0.75_013,ready,
primvar_glide_launch_capable_cfae85e075a2,lqrta_glide_480dedc02488,glide,14,glide_w01_q1_r1_014,ready,
primvar_glide_launch_capable_a88d2f4f83da,lqrta_glide_4df3afd149aa,glide,15,glide_w01_q1_r1.5_015,ready,
primvar_glide_launch_capable_ae800d158abe,lqrta_glide_3b5087a1988e,glide,16,glide_w01_q1_r2_016,ready,
primvar_glide_launch_capable_e10c02272552,lqrta_glide_c4a4d5d5704a,glide,17,glide_w01_q1_r3_017,ready,
primvar_glide_launch_capable_be81295c8871,lqrta_glide_9bc19d0ed82a,glide,18,glide_w01_q1.5_r0.5_018,ready,
primvar_glide_launch_capable_c7b0f847e2bd,lqrta_glide_1a49c701f546,glide,19,glide_w01_q1.5_r0.75_019,ready,
