episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,governor_config_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,episode_counted_for_claim,primitive_count,episode_duration_s,continuation_valid,episode_terminal_useful,hard_failure,termination_cause,no_viable_primitive,x_y_terminal,governor_rejection_count,prediction_actual_agreement_rate,belief_update_count_before,belief_update_count_after,observed_lift_evidence_m_s,energy_residual_m,lift_dwell_time_s,minimum_wall_margin_m,floor_margin_m,ceiling_margin_m,minimum_speed_m_s,claim_status
v49_r001_no_memory_baseline_p00004_rep00,24,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,no_memory_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5028001212283874,-0.8582184517714042,0.5600000000000002,-0.028846947381724775,1.8800299683231882,0.3547204038474123,4.285501315279751,simulation_only_paired_full_loop_validation_episode
v49_r001_static_map_baseline_p00004_rep00,25,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,static_map_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,False,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5028001212283874,-0.8582184517714042,0.5600000000000002,-0.028846947381724775,1.8800299683231882,0.3547204038474123,4.285501315279751,simulation_only_paired_full_loop_validation_episode
v49_r001_context_only_without_memory_p00004_rep00,26,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_only_without_memory,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5028001212283874,-0.8582184517714042,0.5600000000000002,-0.028846947381724775,1.8800299683231882,0.3547204038474123,4.285501315279751,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_5_p00004_rep00,27,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_plus_memory_lambda_0_5,v410_cfg_000_b0.05_h0.75_tb0,0.5,True,True,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,4,5,0.5028001212283874,-0.8582184517714042,0.5600000000000002,-0.028846947381724775,1.8800299683231882,0.3547204038474123,4.285501315279751,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_8_p00004_rep00,28,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_plus_memory_lambda_0_8,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,True,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,4,5,0.5028001212283874,-0.8582184517714042,0.5600000000000002,-0.028846947381724775,1.8800299683231882,0.3547204038474123,4.285501315279751,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_95_p00004_rep00,29,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_plus_memory_lambda_0_95,v410_cfg_000_b0.05_h0.75_tb0,0.95,True,True,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,4,5,0.5028001212283874,-0.8582184517714042,0.5600000000000002,-0.028846947381724775,1.8800299683231882,0.3547204038474123,4.285501315279751,simulation_only_paired_full_loop_validation_episode
v49_r001_no_memory_baseline_p00005_rep00,30,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,no_memory_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W3,w3_randomised_single,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,-0.0010285758048513033,0.01155695957717473,0.0,-0.07325409315839426,1.269218775143893,1.7406195514481353,5.919063468251366,simulation_only_paired_full_loop_validation_episode
v49_r001_static_map_baseline_p00005_rep00,31,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,static_map_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,False,W3,w3_randomised_single,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,-0.0010285758048513033,0.01155695957717473,0.0,-0.07325409315839426,1.269218775143893,1.7406195514481353,5.919063468251366,simulation_only_paired_full_loop_validation_episode
v49_r001_context_only_without_memory_p00005_rep00,32,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_only_without_memory,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W3,w3_randomised_single,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,-0.0010285758048513033,0.01155695957717473,0.0,-0.07325409315839426,1.269218775143893,1.7406195514481353,5.919063468251366,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_5_p00005_rep00,33,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_plus_memory_lambda_0_5,v410_cfg_000_b0.05_h0.75_tb0,0.5,True,True,W3,w3_randomised_single,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,5,6,-0.0010285758048513033,0.01155695957717473,0.0,-0.07325409315839426,1.269218775143893,1.7406195514481353,5.919063468251366,simulation_only_paired_full_loop_validation_episode
