ix,iy,x_w_m,y_w_m,W_layer,environment_mode,seed,w_wing_mean_m_s
0,0,1.875,0.55,W1,gaussian_single,1533000,-0.011346464985826444
0,0,1.875,0.55,W1,gaussian_four,1533001,0.2539390400288118
0,0,1.875,0.55,W2,annular_gp_single,1533002,-0.00011210824005733858
0,0,1.875,0.55,W2,annular_gp_four,1533003,0.22306166463075894
0,0,1.875,0.55,W3,w3_randomised_single,1533004,2.5071520912575703e-05
0,0,1.875,0.55,W3,w3_randomised_four,1533005,0.1861651238407142
0,1,1.875,1.6500000000000001,W1,gaussian_single,1533017,-0.011252222762757856
0,1,1.875,1.6500000000000001,W1,gaussian_four,1533018,0.3020206175944157
0,1,1.875,1.6500000000000001,W2,annular_gp_single,1533019,0.0002337369448574367
0,1,1.875,1.6500000000000001,W2,annular_gp_four,1533020,0.09371848147426923
0,1,1.875,1.6500000000000001,W3,w3_randomised_single,1533021,2.8132695461979642e-05
0,1,1.875,1.6500000000000001,W3,w3_randomised_four,1533022,0.8258967061303096
0,2,1.875,2.75,W1,gaussian_single,1533034,-0.01116800525010042
0,2,1.875,2.75,W1,gaussian_four,1533035,0.2330671583739767
0,2,1.875,2.75,W2,annular_gp_single,1533036,0.00014176855562174213
0,2,1.875,2.75,W2,annular_gp_four,1533037,-0.010538743270654018
0,2,1.875,2.75,W3,w3_randomised_single,1533038,0.00013036080225002728
0,2,1.875,2.75,W3,w3_randomised_four,1533039,0.014679625072376095
0,3,1.875,3.85,W1,gaussian_single,1533051,-0.01133784762781046
0,3,1.875,3.85,W1,gaussian_four,1533052,0.3704655130787619
0,3,1.875,3.85,W2,annular_gp_single,1533053,4.900758859244215e-05
0,3,1.875,3.85,W2,annular_gp_four,1533054,0.030412154488468415
0,3,1.875,3.85,W3,w3_randomised_single,1533055,-9.512835131670942e-05
0,3,1.875,3.85,W3,w3_randomised_four,1533056,1.1287460888020875
1,0,3.2249999999999996,0.55,W1,gaussian_single,1533101,-0.007936575216824966
1,0,3.2249999999999996,0.55,W1,gaussian_four,1533102,0.8711856101014243
1,0,3.2249999999999996,0.55,W2,annular_gp_single,1533103,-0.0017112872157786653
1,0,3.2249999999999996,0.55,W2,annular_gp_four,1533104,0.9694359232889842
1,0,3.2249999999999996,0.55,W3,w3_randomised_single,1533105,5.001238088916876e-06
1,0,3.2249999999999996,0.55,W3,w3_randomised_four,1533106,0.9412263933687662
1,1,3.2249999999999996,1.6500000000000001,W1,gaussian_single,1533118,0.22459796829881523
1,1,3.2249999999999996,1.6500000000000001,W1,gaussian_four,1533119,1.1036716945606975
1,1,3.2249999999999996,1.6500000000000001,W2,annular_gp_single,1533120,0.24276874117113598
1,1,3.2249999999999996,1.6500000000000001,W2,annular_gp_four,1533121,1.436406564141272
1,1,3.2249999999999996,1.6500000000000001,W3,w3_randomised_single,1533122,0.6520944691699712
1,1,3.2249999999999996,1.6500000000000001,W3,w3_randomised_four,1533123,1.0058848117436083
1,2,3.2249999999999996,2.75,W1,gaussian_single,1533135,0.43239740494376666
1,2,3.2249999999999996,2.75,W1,gaussian_four,1533136,0.9132967264358857
1,2,3.2249999999999996,2.75,W2,annular_gp_single,1533137,0.12847665886914458
1,2,3.2249999999999996,2.75,W2,annular_gp_four,1533138,1.1299809707742872
1,2,3.2249999999999996,2.75,W3,w3_randomised_single,1533139,0.16576865828332613
1,2,3.2249999999999996,2.75,W3,w3_randomised_four,1533140,1.0565934542371045
1,3,3.2249999999999996,3.85,W1,gaussian_single,1533152,0.013326011204756056
1,3,3.2249999999999996,3.85,W1,gaussian_four,1533153,1.7280363136819687
1,3,3.2249999999999996,3.85,W2,annular_gp_single,1533154,0.002573984329089661
1,3,3.2249999999999996,3.85,W2,annular_gp_four,1533155,1.732816661958269
1,3,3.2249999999999996,3.85,W3,w3_randomised_single,1533156,-0.001320068314060377
1,3,3.2249999999999996,3.85,W3,w3_randomised_four,1533157,1.4672281598377543
2,0,4.575,0.55,W1,gaussian_single,1533202,0.0027673725075209087
2,0,4.575,0.55,W1,gaussian_four,1533203,0.39870389161640213
2,0,4.575,0.55,W2,annular_gp_single,1533204,0.009870427077911859
2,0,4.575,0.55,W2,annular_gp_four,1533205,0.3813489737718194
2,0,4.575,0.55,W3,w3_randomised_single,1533206,0.008136202401391446
2,0,4.575,0.55,W3,w3_randomised_four,1533207,0.6412339681305719
2,1,4.575,1.6500000000000001,W1,gaussian_single,1533219,0.9649527266402624
2,1,4.575,1.6500000000000001,W1,gaussian_four,1533220,0.5543686034497367
2,1,4.575,1.6500000000000001,W2,annular_gp_single,1533221,1.0066955602463838
2,1,4.575,1.6500000000000001,W2,annular_gp_four,1533222,1.095955210501243
2,1,4.575,1.6500000000000001,W3,w3_randomised_single,1533223,1.3364482796879142
2,1,4.575,1.6500000000000001,W3,w3_randomised_four,1533224,1.2766336542982215
2,2,4.575,2.75,W1,gaussian_single,1533236,1.8247887385889938
2,2,4.575,2.75,W1,gaussian_four,1533237,0.5630281259984852
2,2,4.575,2.75,W2,annular_gp_single,1533238,2.127669121278485
2,2,4.575,2.75,W2,annular_gp_four,1533239,0.6523670397233651
2,2,4.575,2.75,W3,w3_randomised_single,1533240,1.794891640874276
2,2,4.575,2.75,W3,w3_randomised_four,1533241,0.6075209512769644
2,3,4.575,3.85,W1,gaussian_single,1533253,0.09074806103886125
2,3,4.575,3.85,W1,gaussian_four,1533254,0.8347402083254597
2,3,4.575,3.85,W2,annular_gp_single,1533255,0.0008332782640835429
2,3,4.575,3.85,W2,annular_gp_four,1533256,1.2446602812520866
2,3,4.575,3.85,W3,w3_randomised_single,1533257,0.11624979860108914
2,3,4.575,3.85,W3,w3_randomised_four,1533258,0.7840393444577838
3,0,5.925,0.55,W1,gaussian_single,1533303,-0.011249901172280523
3,0,5.925,0.55,W1,gaussian_four,1533304,0.6410222197404022
3,0,5.925,0.55,W2,annular_gp_single,1533305,4.0048996181535476e-05
3,0,5.925,0.55,W2,annular_gp_four,1533306,0.4517817146593794
3,0,5.925,0.55,W3,w3_randomised_single,1533307,-0.0008021971536063534
3,0,5.925,0.55,W3,w3_randomised_four,1533308,0.772063686903336
