blocker_scope,objective,evidence_status,failure_label,active_limiting_mechanism,blocker_count
future_archive_gap,widening_versus_growth_question,not_evaluated,not_evaluated_full_target_ladder_gap,missing_archive_evidence,288
future_mission_gap,objective_one_sustained_operation,not_evaluated,not_evaluated_sustained_operation,mission_campaign_absent,1
future_mission_gap,objective_two_volume_coverage,not_evaluated,not_evaluated_volume_coverage,mission_campaign_absent,1
future_transfer_gap,real_flight_transfer,not_evaluated,not_evaluated_real_flight_transfer,no_paired_real_logs_in_frozen_baseline,1
governor_rejection_summary,governor_seed_baseline,rejected_clearance,rejected_clearance,rejected_clearance,1
governor_rejection_summary,governor_seed_baseline,rejected_entry_envelope,rejected_entry_envelope,rejected_entry_envelope,1
governor_rejection_summary,governor_seed_baseline,rejected_lift_belief,rejected_lift_belief,rejected_lift_belief,1
governor_rejection_summary,governor_seed_baseline,rejected_model_region,rejected_model_region,rejected_model_region,1
governor_rejection_summary,governor_seed_baseline,rejected_recovery_class,rejected_recovery_class,rejected_recovery_class,1
governor_rejection_summary,governor_seed_baseline,rejected_target_steering_marginal,rejected_target_steering_marginal,rejected_target_steering_marginal,1
governor_rejection_summary,governor_seed_baseline,rejected_wind_fidelity,rejected_wind_fidelity,rejected_wind_fidelity,1
governor_seed,governor_seed_baseline,rejected_clearance,none,none,4
governor_seed,governor_seed_baseline,rejected_entry_envelope,none,none,4
governor_seed,governor_seed_baseline,rejected_lift_belief,none,none,8
governor_seed,governor_seed_baseline,rejected_model_region,none,none,4
governor_seed,governor_seed_baseline,rejected_recovery_class,none,none,4
governor_seed,governor_seed_baseline,rejected_target_steering_marginal,none,none,1
governor_seed,governor_seed_baseline,rejected_wind_fidelity,none,none,4
higher_target_request,widening_versus_growth_question,defer_boundary_only,"boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",30_deg_uncovered_region_is_boundary_or_entry_envelope_limited_not_library_growth,2
higher_target_request,widening_versus_growth_question,not_requested_boundary_only,"boundary_or_true_safety_limited_not_commandable,entry_clearance_or_footprint_limited_not_library_growth",targets_above_60_deg_are_not_next_step_without_specific_coverage_evidence,4
outer_loop_coverage_gap,objective_one_sustained_operation,clearance_limited,all_candidate_queries_rejected_for_clearance,blocked_by_clearance,1
outer_loop_coverage_gap,objective_one_sustained_operation,lift_belief_limited,all_candidate_queries_rejected_for_lift_belief,blocked_by_lift_confidence,1
outer_loop_coverage_gap,objective_one_sustained_operation,partial_short_mission_clearance_limited,accepted_baseline_or_updraft_support_primitive,partial_short_mission_clearance_limited,2
outer_loop_mission,objective_one_sustained_operation,no_go_clearance_limited,no_candidate_accepted_by_governor_clearance,energy_gain_not_demonstrated,1
outer_loop_mission,objective_one_sustained_operation,no_go_lift_belief_rejection,no_candidate_accepted_by_governor_lift_belief,energy_gain_not_demonstrated,1
outer_loop_mission,objective_one_sustained_operation,partial_governed_transit_then_clearance_limited,no_candidate_accepted_by_governor_clearance,clearance_limited_after_first_step,2
primitive_evidence,primitive_archive_baseline,evaluated,target_miss,turn_authority_limited,14
primitive_evidence,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,60
selected_w3_stress,robustness_baseline,w3_marginal,target_miss,turn_authority_limited,1
shortlist_selection,selected_w3_planning,boundary_only,true_safety_violation,safety_limited,15
shortlist_selection,selected_w3_planning,governor_reject_entry_envelope,true_safety_violation,safety_limited,45
shortlist_selection,selected_w3_planning,needs_seed_refinement,target_miss,turn_authority_limited,14
shortlist_selection,selected_w3_planning,selected_for_governor_seed,success,none,3
shortlist_selection,selected_w3_planning,selected_for_w3_stress,success,none,13
