surface_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg
0,False,25.40725137,0.3523554291,0.4667272851,0.2745177729,0.2562159116,18.4644018,22.30210092,20.20547027
0.25,False,19.80815518,0.2094843631,0.2008388518,0.2341284101,0.2185192725,17.69097884,18.91742353,12.16498647
0.5,False,17.21294467,0.09514029639,0.05973401619,0.2644606734,0.2468293102,11.18100297,15.60263374,8.757842242
0.75,True,15.78781686,0.02610560802,0.03994901215,0.3149818623,0.2939822954,2.372244748,12.36351981,4.222398671
1,False,24.35988337,0.01258089914,0.1673467348,0.2595355529,0.2422325432,4.033076201,39.96559568,51.67508765
