event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
65,2,Aileron_R,0.25,94.9767592,96.2267592,negative_first,positive,outbound,2,9
66,2,Aileron_R,0.5,96.2267592,97.4767592,negative_first,positive,outbound,3,9
67,2,Aileron_R,0.75,97.4767592,98.7267592,negative_first,positive,outbound,4,9
68,2,Aileron_R,1,98.7267592,99.9767592,negative_first,positive,outbound,5,9
69,2,Aileron_R,0.75,99.9767592,101.2267592,negative_first,positive,return,6,9
70,2,Aileron_R,0.5,101.2267592,102.4767592,negative_first,positive,return,7,9
71,2,Aileron_R,0.25,102.4767592,103.7267592,negative_first,positive,return,8,9
72,2,Aileron_R,0,103.7267592,104.9767592,negative_first,positive,return,9,9
73,3,Rudder,0,104.9767592,106.2267592,positive_first,positive,outbound,1,9
74,3,Rudder,0.25,106.2267592,107.4767592,positive_first,positive,outbound,2,9
75,3,Rudder,0.5,107.4767592,108.7267592,positive_first,positive,outbound,3,9
76,3,Rudder,0.75,108.7267592,109.9767592,positive_first,positive,outbound,4,9
77,3,Rudder,1,109.9767592,111.2267592,positive_first,positive,outbound,5,9
78,3,Rudder,0.75,111.2267592,112.4767592,positive_first,positive,return,6,9
79,3,Rudder,0.5,112.4767592,113.7267592,positive_first,positive,return,7,9
80,3,Rudder,0.25,113.7267592,114.9767592,positive_first,positive,return,8,9
81,3,Rudder,0,114.9767592,116.2267592,positive_first,positive,return,9,9
82,3,Rudder,-0,116.2267592,117.4767592,positive_first,negative,outbound,1,9
83,3,Rudder,-0.25,117.4767592,118.7267592,positive_first,negative,outbound,2,9
84,3,Rudder,-0.5,118.7267592,119.9767592,positive_first,negative,outbound,3,9
85,3,Rudder,-0.75,119.9767592,121.2267592,positive_first,negative,outbound,4,9
86,3,Rudder,-1,121.2267592,122.4767592,positive_first,negative,outbound,5,9
87,3,Rudder,-0.75,122.4767592,123.7267592,positive_first,negative,return,6,9
88,3,Rudder,-0.5,123.7267592,124.9767592,positive_first,negative,return,7,9
89,3,Rudder,-0.25,124.9767592,126.2267592,positive_first,negative,return,8,9
90,3,Rudder,-0,126.2267592,127.4767592,positive_first,negative,return,9,9
91,3,Rudder,-0,127.4767592,128.7267592,negative_first,negative,outbound,1,9
