t (s),x (m),y (m),ψ (rad),ψ (deg),p (rad/s),ϕ (deg),δ_A_roll (deg)
0.0,0.0,2.5,-0.6933178508921466,-39.72418671720052,1.9913326524525963e-24,3.978150841194705e-39,3.1919221557517195e-22
0.010168163877837033,0.03240858714472258,2.473070753894561,-0.6933178508921466,-39.72418671720052,3.2460092838365218e-24,1.1601362152201486e-24,-5.876312902972406e-07
0.020336327755674066,0.06481717428944517,2.4461415077891218,-0.6933178508921466,-39.72418671720052,-6.127574761099191e-09,3.051238099811734e-24,-1.1122355698596759e-07
0.0305044916335111,0.09722576143416775,2.419212261683682,-0.6933178508921466,-39.72418671720052,-6.1153542819499e-09,-3.569881400507104e-09,-1.1069597466174475e-07
0.04067265551134813,0.12963434857889033,2.392283015578243,-0.6933178508936464,-39.72418671728645,-6.099969789301497e-09,-7.132643236925398e-09,-1.1010321145392456e-07
0.050840819389185166,0.16204293572357253,2.3653537694727556,-0.6933178508966429,-39.72418671745814,-6.081346780867611e-09,-1.0686442177532062e-08,-1.0944228367968208e-07
0.0610089832670222,0.19445152286817402,2.338424523367171,-0.6933178509011325,-39.72418671771537,-6.059393891715964e-09,-1.4229391486102949e-08,-1.0870978870702029e-07
0.07117714714485923,0.2268601100126546,2.3114952772614403,-0.6933178509071106,-39.724186718057894,-6.034001750937847e-09,-1.7759551197855313e-08,-1.0790185949450555e-07
0.08134531102269627,0.2592686971569742,2.2845660311555167,-0.6933178509145717,-39.72418671848538,-6.005041582959946e-09,-2.1274917629294185e-08,-1.0701411116498555e-07
0.0915134749005333,0.2916772843010929,2.257636785049351,-0.6933178509235096,-39.72418671899749,-5.9723635192744685e-09,-2.4773412073193015e-08,-1.0604157817838299e-07
0.10168163877837033,0.32408587144497086,2.230707538942896,-0.6933178509339173,-39.7241867195938,-5.935794577946541e-09,-2.8252868510000373e-08,-1.0497864034501347e-07
0.11184980265620736,0.3564944585885686,2.203778292836103,-0.6933178509457868,-39.72418672027388,-5.89513625807631e-09,-3.1711020142121936e-08,-1.0381893551477455e-07
0.1220179665340444,0.3889030457318467,2.1768490467289254,-0.6933178509591092,-39.72418672103719,-5.8501616839244e-09,-3.5145484526753336e-08,-1.0255525626471101e-07
0.13218613041188143,0.42131163287476603,2.1499198006213165,-0.6933178509738745,-39.724186721883186,-5.800612217977787e-09,-3.855374704490082e-08,-1.0117942725707516e-07
0.14235429428971846,0.45372022001728773,2.1229905545132284,-0.6933178509900717,-39.72418672281121,-5.746193442971132e-09,-4.1933142397198136e-08,-9.968215910951535e-08
0.1525224581675555,0.4861288071593733,2.0960613084046162,-0.6933178510076885,-39.72418672382058,-5.686570388640887e-09,-4.5280833758877844e-08,-9.805287355124323e-08
0.16269062204539253,0.5185373943009844,2.0691320622954326,-0.6933178510267117,-39.72418672491053,-5.621361848253344e-09,-4.859378915388339e-08,-9.627949325612365e-08
0.17285878592322956,0.5509459814420832,2.0422028161856325,-0.6933178510471268,-39.724186726080234,-5.550133590670032e-09,-5.1868754517831045e-08,-9.434818793897883e-08
0.1830269498010666,0.5833545685826323,2.0152735700751707,-0.6933178510689177,-39.72418672732876,-5.4723902231306116e-09,-5.510222280636944e-08,-9.224306592747263e-08
0.19319511367890363,0.6157631557225947,1.9883443239640028,-0.6933178510920672,-39.72418672865513,-5.3875653942708664e-09,-5.8290398362854425e-08,-8.994579727264821e-08
0.20336327755674066,0.6481717428619336,1.9614150778520847,-0.6933178511165561,-39.724186730058236,-5.2950099409504765e-09,-6.142915557837194e-08,-8.743515024569149e-08
0.2135314414345777,0.6805803300006129,1.934485831739373,-0.6933178511423636,-39.724186731536896,-5.1939774690030215e-09,-6.451399064618731e-08,-8.468641737183146e-08
0.22369960531241473,0.7129889171385974,1.9075565856258248,-0.693317851169467,-39.7241867330898,-5.083606706857903e-09,-6.753996491564208e-08,-8.167069937551367e-08
0.23386776919025176,0.7453975042758519,1.8806273395113982,-0.6933178511978417,-39.72418673471556,-4.962899767640701e-09,-7.050163796539689e-08,-7.835400467888861e-08
0.2440359330680888,0.7778060914123425,1.853698093396052,-0.6933178512274607,-39.7241867364126,-4.8306951789988165e-09,-7.339298801232856e-08,-7.469610711211266e-08
0.25420409694592583,0.8102146785480352,1.826768847279746,-0.6933178512582945,-39.72418673817925,-4.685634160156253e-09,-7.620731660779614e-08,-7.064908331239731e-08
0.26437226082376286,0.8426232656828977,1.7998396011624405,-0.6933178512903105,-39.72418674001363,-4.526118097718985e-09,-7.893713368715916e-08,-6.61554209403762e-08
0.2745404247015999,0.8750318528168981,1.7729103550440974,-0.6933178513234735,-39.72418674191373,-4.350254428296187e-09,-8.157401784500292e-08,-6.114554472468864e-08
0.2847085885794369,0.9074404399500053,1.74598110892468,-0.6933178513577442,-39.72418674387729,-4.155787074705711e-09,-8.41084450819645e-08,-5.553454219514032e-08
0.29487675245727396,0.9398490270821898,1.7190518628041511,-0.6933178513930796,-39.72418674590186,-3.940006044865526e-09,-8.652957702418799e-08,-4.9217773095089846e-08
0.305044916335111,0.9722576142134225,1.6921226166824779,-0.6933178514294321,-39.72418674798471,-3.6996285383689405e-09,-8.882499647573751e-08,-4.206489667309785e-08
0.315213080212948,1.0046662013436765,1.665193370559626,-0.6933178514667491,-39.72418675012281,-3.4306405127357763e-09,-9.098037370454824e-08,-3.3911617059399515e-08
0.32538124409078506,1.0370747884729252,1.638264124435565,-0.6933178515049716,-39.724186752312804,-3.1280824773046362e-09,-9.297904042600405e-08,-2.4548073070071074e-08
