scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,onset_latency_s,half_response_s,actuator_tau_s,vicon_filter_cutoff_hz,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m
s7_single_annular_gp,nominal_glide,trim,0.0,4.2,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.779693380153399,0.2569987049192539,0.0,-0.30508150033267273,0.6578564029119558,single_annular_gp_grid,panel,True,1.15,2.45,0.5499999999999998
s7_single_annular_gp,nominal_glide,trim,0.02,4.329539152666755,2.3999718661893237,2.6899902256651846,-0.0014171725206389815,-0.03445852493342494,-5.460771873961194e-05,6.494376439653333,-0.002319747072067811,0.12505024337138895,-0.11346969777313365,1.3166339329867145,-0.001966306726344508,0.0,-0.10060848524273196,0.0,0.012338990541760651,0.0,-0.2156529622820638,-0.10060848524273196,0.00022511649814152714,0.0,0.0,-0.4,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.806004957025697,0.27330482398928246,-0.0006973162633778561,-0.3077640237257617,0.34872151714904803,single_annular_gp_grid,panel,True,1.1499718661893237,2.4399902256651846,0.5600097743348154
s7_single_annular_gp,nominal_glide,trim,0.04,4.4593811029157715,2.399906961297854,2.6858866231099907,-0.0036720405583083216,0.003399368122578135,-0.00010387488391311431,6.495365405980936,-0.0034990518196901877,0.0871873334111728,-0.10277878525097058,2.4532669682636503,0.008529125088260741,0.0,-0.10060848524273196,0.0,0.012848306915912884,0.0,-0.3330692979754175,-0.10060848524273196,-0.00035015214857445553,0.0,0.0,-0.6,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.816859212587856,0.3116110130393163,-0.0015921526464556229,-0.3082152076989826,0.06511899482509775,single_annular_gp_grid,panel,True,1.1499069612978539,2.4358866231099907,0.5641133768900093
s7_single_annular_gp,nominal_glide,trim,0.06,4.589247733067669,2.3998183825179926,2.6873580349511386,-0.005520825947923145,0.06221181941012318,-7.950976154908627e-05,6.488105601460389,-0.005612643739738017,0.1879381957221158,-0.08392294834470104,3.346878131986207,0.019973750310024917,0.0,-0.10060848524273196,0.0,0.012256872998016305,0.0,-0.4459317893678005,-0.10060848524273196,-0.0009390138982755529,0.0,0.0,-0.8,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.759380886722956,0.34692800116438854,-0.0025540000812481877,-0.2847245018265345,-0.2157738465493597,single_annular_gp_grid,panel,True,1.1498183825179926,2.4373580349511386,0.5626419650488614
s7_single_annular_gp,nominal_glide,trim,0.08,4.718683007227304,2.399695831771628,2.694714454937717,-0.007182979598574659,0.13377452993825212,-0.0001162393198556623,6.4632199530317225,-0.009083857200841669,0.3410869240146974,-0.08502779726906289,3.7469667936060587,0.02027090406160741,0.0,-0.10060848524273196,0.0,0.01353086544590855,0.0,-0.5235987755982988,-0.10471975511965978,-0.0007951996519818265,0.0,0.0,-1.0,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.6266241841791045,0.36451477810543376,-0.0035618208576215014,-0.23075544131131856,-0.5239422796792544,single_annular_gp_grid,panel,True,1.149695831771628,2.444714454937717,0.5552855450622829
s7_single_annular_gp,nominal_glide,trim,0.1,4.847046265201464,2.3995166431207298,2.708408978029524,-0.008882993950773873,0.21027562224433133,-0.0003583642890355082,6.4147826064611,-0.012770415675047641,0.505625598688629,-0.07253755337406946,3.862549352456038,0.018320496582988524,0.0,-0.10192219518572027,0.0,0.013471851102948657,0.0,-0.5235987755982988,-0.20943951023931956,-0.0005038434975534338,0.0,0.0,-1.0,0.0,0.0,-12.000000000000002,0.0,0.0,-0.0,-12.000000000000002,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.448776408258036,0.35743754492654367,-0.004391785213488311,-0.14718541520714615,-0.8443742762912902,single_annular_gp_grid,panel,True,1.1495166431207298,2.458408978029524,0.541591021970476
s7_single_annular_gp,nominal_glide,trim,0.12,4.973576439971007,2.3992736681512725,2.7282902169943926,-0.009924274339857368,0.28623724469460377,-0.000696968378359757,6.333417973936542,-0.016060468211670276,0.6808438492628082,-0.020331742944214803,3.672661896557414,0.021229390303967026,0.0,-0.1362781411726247,0.0,0.008980166332321637,0.0,-0.5235987755982988,-0.3141592653589793,-0.0005173741521493824,0.0,0.0,-1.0,0.0,0.0,-18.0,0.0,0.0,-0.0,-18.0,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.274441638546447,0.33150580979683275,-0.004712853545894854,-0.04529758463491564,-1.1349430560444096,single_annular_gp_grid,panel,True,1.1492736681512725,2.4782902169943926,0.5217097830056074
s7_single_annular_gp,nominal_glide,trim,0.14,5.097547067412422,2.3989701356054685,2.753444640041438,-0.009946963052758538,0.3556576029312941,-0.0009616609967957523,6.218862920636482,-0.019214814342440274,0.847083115794848,0.02198040176008194,3.244877117144122,0.022545149127049368,0.0,-0.19311804915944208,0.0,0.004764833960922782,0.0,-0.5235987755982988,-0.4188790204786391,-0.0004342639666930345,0.0,0.0,-1.0,0.0,0.0,-24.000000000000004,0.0,0.0,-0.0,-24.000000000000004,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.136312230724082,0.2940807111846347,-0.004641471066295487,0.06154633467616906,-1.3712403155077468,single_annular_gp_grid,panel,True,1.1489701356054685,2.503444640041438,0.4965553599585619
s7_single_annular_gp,nominal_glide,trim,0.16,5.218408882853045,2.3986075790155534,2.782822960650305,-0.009354295311676647,0.4159808669010136,-0.0011221889986065174,6.080280977465188,-0.02205032442567351,0.9806390257085551,0.03921897574526288,2.7985321232399065,0.020523177513106967,0.0,-0.2652574225499215,0.0,0.0026261091436473637,0.0,-0.5235987755982988,-0.5235987755982988,-0.00015731580007628506,0.0,0.0,-1.0,0.0,0.0,-29.999999999999996,0.0,0.0,-0.0,-29.999999999999996,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,6.034180097281442,0.25698730796101843,-0.004511610874955107,0.1589631324390846,-1.5598046349801102,single_annular_gp_grid,panel,True,1.1486075790155534,2.532822960650305,0.467177039349695
s7_single_annular_gp,nominal_glide,trim,0.18,5.335755385801561,2.3981895106379767,2.815590610712655,-0.008591109470759332,0.46822638050633675,-0.001230207532447011,5.924994053167304,-0.024359806964252335,1.077327991234139,0.03986316016400478,2.4504352237406786,0.016433785787820277,0.0,-0.34780748964459585,0.0,0.0020274606131310546,0.0,-0.5235987755982988,-0.5235987755982988,0.00022747838749726445,0.0,0.0,-1.0,0.0,0.0,-29.999999999999996,0.0,0.0,-0.0,-29.999999999999996,0.0,nominal,0.075,0.111,0.051937021472002694,20.0,5.943137840103862,0.2287569121190903,-0.004489664854207555,0.23943926453926367,-1.7124485255349202,single_annular_gp_grid,panel,True,1.1481895106379767,2.565590610712655,0.43440938928734507
