case_name,role,required,speed_m_s,altitude_m,wind_mode,wind_x_w_m_s,wind_y_w_m_s,wind_z_w_m_s,status,converged,linearisation_status,error,x_trim_x_w,x_trim_y_w,x_trim_z_w,x_trim_phi,x_trim_theta,x_trim_psi,x_trim_u,x_trim_v,x_trim_w,x_trim_p,x_trim_q,x_trim_r,x_trim_delta_a,x_trim_delta_e,x_trim_delta_r,u_trim_delta_a_cmd,u_trim_delta_e_cmd,u_trim_delta_r_cmd,alpha_rad,theta_rad,gamma_rad,sink_rate_m_s,solver_return_status,solver_success,solver_iter_count,x_force_b,y_force_b,z_force_b,l_moment_b,m_moment_b,n_moment_b
natural_glide_6p5_none,required,True,6.5,1.5,none,,,,converged,True,linearised,,0.0,0.0,1.5,0.0,-0.01716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0,0.0,-0.011856491496375332,0.0,0.07272599606803873,-0.01716286502821539,-0.08988886109625413,0.5834910870634678,Solve_Succeeded,True,3.0,4.90597493185696e-11,-1.734723475976807e-18,-6.232592220101196e-10,2.6020852139652106e-18,-6.483108456545664e-13,3.2526065174565133e-19
natural_glide_5p5_none,optional,False,5.5,1.5,none,,,,converged,True,linearised,,0.0,0.0,1.5,0.0,0.017870926240893925,0.0,5.471437400783714,0.0,0.5597970786857985,0.0,0.0,0.0,0.0,-0.016697164450929693,0.0,0.0,-0.016697164450929693,0.0,0.10195784403503332,0.017870926240893925,-0.08408691779413939,0.46193324021093884,Solve_Succeeded,True,3.0,1.1077701603245949e-10,3.469446951953614e-18,-5.254516821651123e-10,1.734723475976807e-18,2.75371969692996e-13,4.1335207826009857e-19
natural_glide_7p5_none,optional,False,7.5,1.5,none,,,,converged,True,linearised,,0.0,0.0,1.5,0.0,-0.04860645154519318,0.0,7.488799706031821,0.0,0.40973035393746254,0.0,0.0,0.0,0.0,-0.008985397000255614,0.0,0.0,-0.008985397000255614,0.0,0.05465792478254772,-0.04860645154519318,-0.1032643763277409,0.7731071025128817,Solve_Succeeded,True,3.0,3.696670747288522e-11,-1.734723475976807e-18,-6.294607057810708e-10,-1.3877787807814457e-17,-7.719921978153327e-13,2.168404344971009e-19
natural_glide_4p5_none,diagnostic,False,4.5,1.5,none,,,,converged,True,linearised,,0.0,0.0,1.5,0.0,0.01322651470486861,0.0,4.439308240977797,0.0,0.7365747359138867,0.0,0.0,0.0,0.0,-0.29276851855306507,0.0,0.0,-0.29276851855306507,0.0,0.16442313619555965,0.01322651470486861,-0.15119662149069107,0.6777954446490986,Solve_Succeeded,True,14.0,1.1374989145052083e-10,-5.204170427930421e-18,-5.909306377560597e-10,1.734723475976807e-18,1.4279526183453434e-12,6.505213034913027e-19
uniform_cg_updraft_6p5,optional_wind,False,6.5,1.5,cg,0.0,0.0,0.5,converged,True,not_run_nonzero_wind,,0.0,0.0,1.5,0.0,-0.018005593394583852,0.0,6.499933103170841,0.0,-0.029489901727196403,0.0,0.0,0.0,0.0,-0.01176517485231181,0.0,0.0,-0.01176517485231181,0.0,0.07214889530410973,-0.018005593394583852,-0.09015448869869357,0.08754370730088082,Solve_Succeeded,True,4.0,4.867203515224183e-11,1.734723475976807e-18,-6.234650573588851e-10,-2.6020852139652106e-18,-6.506714925972462e-13,1.8973538018496328e-19
mild_bank_segment,future_trajectory_knot,False,,,not_available_yet,,,,not_available_yet,False,not_available_yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recovery_segment,future_trajectory_knot,False,,,not_available_yet,,,,not_available_yet,False,not_available_yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile_reversal_knots,future_trajectory_knot,False,,,not_available_yet,,,,not_available_yet,False,not_available_yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_alpha_braking_segment,future_trajectory_knot,False,,,not_available_yet,,,,not_available_yet,False,not_available_yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
