variable,value,lower,upper,pass_check,units,reason
p,0.0,-1.0,1.0,True,rad/s,inside_bounds
phi,0.0,-0.35,0.35,True,rad,inside_bounds
q,0.0,-1.0,1.0,True,rad/s,inside_bounds
r,0.0,-1.0,1.0,True,rad/s,inside_bounds
speed_m_s,6.5,4.5,8.5,True,m/s,inside_bounds
theta,0.0,-0.35,0.35,True,rad,inside_bounds
x_w,2.5,1.2,6.6,True,m,inside_bounds
y_w,2.2,0.0,4.4,True,m,inside_bounds
z_w,1.5,0.0,3.0,True,m,inside_bounds
